CONKPOS,CONIDX,DEPTH,WELLMODEL,WELL,DRAWDOWN,SGAS,CONIPOS,CONBPRES,PRESSURE,DATE,SWAT,CONJPOS
1,1,1638.6119384765625,STANDARD,R_A2,0,0.0,22,300.54412841796875,300.54412841796875,2018-01-01,0.05421896278858185,30
2,2,1640.4539794921875,STANDARD,R_A2,0,0.0,22,300.66766357421875,300.66766357421875,2018-01-01,0.05665481463074684,30
3,3,1642.296142578125,STANDARD,R_A2,0,0.0,22,300.7911682128906,300.7911682128906,2018-01-01,0.05885989964008331,30
4,4,1644.13818359375,STANDARD,R_A2,0,0.0,22,300.9147033691406,300.9147033691406,2018-01-01,0.06346030533313751,30
5,5,1645.9803466796875,STANDARD,R_A2,0,0.0,22,301.0382080078125,301.0382080078125,2018-01-01,0.0667649507522583,30
6,6,1647.8223876953125,STANDARD,R_A2,0,0.0,22,301.1617431640625,301.1617431640625,2018-01-01,0.3034481108188629,30
7,7,1649.6644287109375,STANDARD,R_A2,0,0.0,22,301.2852783203125,301.2852783203125,2018-01-01,0.8795242309570312,30
8,8,1651.5064697265625,STANDARD,R_A2,0,0.0,22,301.4088134765625,301.4088134765625,2018-01-01,0.8658273816108704,30
9,9,1653.3486328125,STANDARD,R_A2,0,0.0,22,301.5323486328125,301.5323486328125,2018-01-01,0.8791497945785522,30
10,10,1655.190673828125,STANDARD,R_A2,0,0.0,22,301.6559143066406,301.6559143066406,2018-01-01,0.8925521969795227,30
11,11,1657.1632080078125,STANDARD,R_A2,0,0.0,22,301.7882080078125,301.7882080078125,2018-01-01,0.0714062973856926,30
13,12,1661.369140625,STANDARD,R_A2,0,0.0,22,302.0703125,302.0703125,2018-01-01,0.43998074531555176,30
14,13,1663.47216796875,STANDARD,R_A2,0,0.0,22,302.21136474609375,302.21136474609375,2018-01-01,0.49262624979019165,30
15,14,1665.5750732421875,STANDARD,R_A2,0,0.0,22,302.3524169921875,302.3524169921875,2018-01-01,0.6459686756134033,30
16,15,1667.677978515625,STANDARD,R_A2,0,0.0,22,302.4934997558594,302.4934997558594,2018-01-01,0.9482812285423279,30
17,16,1669.781005859375,STANDARD,R_A2,0,0.0,22,302.63458251953125,302.63458251953125,2018-01-01,0.9180673360824585,30
18,17,1672.5291748046875,STANDARD,R_A2,0,0.0,22,302.8189392089844,302.8189392089844,2018-01-01,0.954292893409729,29
19,18,1673.5267333984375,STANDARD,R_A2,0,0.0,22,302.8858642578125,302.8858642578125,2018-01-01,0.9668766260147095,29
26,19,1674.5260009765625,STANDARD,R_A2,0,0.0,22,302.9529113769531,302.9529113769531,2018-01-01,0.35443276166915894,29
27,20,1676.314208984375,STANDARD,R_A2,0,0.0,22,303.0728759765625,303.0728759765625,2018-01-01,1.0,29
28,21,1678.1025390625,STANDARD,R_A2,0,0.0,22,303.19287109375,303.19287109375,2018-01-01,1.0,29
