CONBPRES,SWAT,PRESSURE,DRAWDOWN,CONIPOS,WELLMODEL,SGAS,DATE,DEPTH,CONJPOS,CONKPOS,CONIDX,WELL
300.6733093261719,0.11639835685491562,300.6733093261719,0,22,STANDARD,0.0,2018-01-01,1641.094970703125,30,1,1,R_A2
300.7936096191406,0.05913596972823143,300.7936096191406,0,22,STANDARD,0.0,2018-01-01,1642.8890380859375,30,2,2,R_A2
300.9139099121094,0.1264522522687912,300.9139099121094,0,22,STANDARD,0.0,2018-01-01,1644.68310546875,30,3,3,R_A2
301.0342102050781,0.10851117223501205,301.0342102050781,0,22,STANDARD,0.0,2018-01-01,1646.4771728515625,30,4,4,R_A2
301.1545104980469,0.11078716069459915,301.1545104980469,0,22,STANDARD,0.0,2018-01-01,1648.2713623046875,30,5,5,R_A2
301.27484130859375,0.31581538915634155,301.27484130859375,0,22,STANDARD,0.0,2018-01-01,1650.0654296875,30,6,6,R_A2
301.3951721191406,0.8967062830924988,301.3951721191406,0,22,STANDARD,0.0,2018-01-01,1651.859619140625,30,7,7,R_A2
301.5154724121094,0.8729602694511414,301.5154724121094,0,22,STANDARD,0.0,2018-01-01,1653.6536865234375,30,8,8,R_A2
301.63580322265625,0.9158713817596436,301.63580322265625,0,22,STANDARD,0.0,2018-01-01,1655.44775390625,30,9,9,R_A2
301.7561340332031,0.9034853577613831,301.7561340332031,0,22,STANDARD,0.0,2018-01-01,1657.2418212890625,30,10,10,R_A2
301.88323974609375,0.07596161216497421,301.88323974609375,0,22,STANDARD,0.0,2018-01-01,1659.1368408203125,30,11,11,R_A2
302.01708984375,0.08016353845596313,302.01708984375,0,22,STANDARD,0.0,2018-01-01,1661.132568359375,30,12,12,R_A2
302.1509704589844,0.45490843057632446,302.1509704589844,0,22,STANDARD,0.0,2018-01-01,1663.12841796875,30,13,13,R_A2
302.28485107421875,0.5153446793556213,302.28485107421875,0,22,STANDARD,0.0,2018-01-01,1665.1241455078125,30,14,14,R_A2
302.4187316894531,0.712632954120636,302.4187316894531,0,22,STANDARD,0.0,2018-01-01,1667.1199951171875,30,15,15,R_A2
