PROPERTY,ZONE,REGION,FACIES,Avg,Avg_Weighted,Max,Min,P10,P90,Stddev,SOURCE,ID
PERM,LowerReek,Dorne,Background,15.309262,,100.0,0.15566014,1.6574843,39.69097,21.94378,geogrid,geogrid
PORO,LowerReek,Dorne,Background,0.106991135,,0.29049549,0.0,0.04451663,0.17193674,0.049068388,geogrid,geogrid
SW,LowerReek,Dorne,Background,0.9991982,,1.0,0.0,1.0,1.0,0.020550504,geogrid,geogrid
PERM,LowerReek,Dorne,Channel,3152.736,,10000.0,31.105433,439.2068,9069.264,3011.9907,geogrid,geogrid
PORO,LowerReek,Dorne,Channel,0.25180507,,0.43719205,0.044099495,0.18723075,0.31802133,0.05111256,geogrid,geogrid
SW,LowerReek,Dorne,Channel,0.9728238,,1.0,0.08581927,1.0,1.0,0.1388494,geogrid,geogrid
PERM,LowerReek,Dorne,Crevasse,190.7193,,1000.0,2.2860775,24.296638,490.0887,224.72672,geogrid,geogrid
PORO,LowerReek,Dorne,Crevasse,0.20437942,,0.36017597,0.0,0.1417227,0.26705945,0.049623374,geogrid,geogrid
SW,LowerReek,Dorne,Crevasse,0.9871919,,1.0,0.2546558,1.0,1.0,0.08003796,geogrid,geogrid
PERM,LowerReek,IronIslands,Background,9.775603,,100.0,0.13381554,1.2782254,23.192205,12.914985,geogrid,geogrid
PORO,LowerReek,IronIslands,Background,0.099569365,,0.26701137,0.0,0.032576244,0.16380222,0.050028827,geogrid,geogrid
SW,LowerReek,IronIslands,Background,0.67707556,,1.0,0.0,0.2678011,1.0,0.32921186,geogrid,geogrid
PERM,LowerReek,IronIslands,Channel,3355.4958,,10000.0,15.574832,450.98065,9911.22,3102.1562,geogrid,geogrid
PORO,LowerReek,IronIslands,Channel,0.25616282,,0.4966358,0.0600345,0.18769121,0.32286274,0.05247983,geogrid,geogrid
SW,LowerReek,IronIslands,Channel,0.3427115,,1.0,0.019071922,0.031818457,1.0,0.4196262,geogrid,geogrid
PERM,LowerReek,IronIslands,Crevasse,158.96306,,1000.0,2.0375118,20.17667,402.19583,193.50299,geogrid,geogrid
PORO,LowerReek,IronIslands,Crevasse,0.19675662,,0.36477172,0.01644826,0.12947191,0.26294395,0.051027186,geogrid,geogrid
SW,LowerReek,IronIslands,Crevasse,0.46530077,,1.0,0.054512043,0.09797476,1.0,0.3966061,geogrid,geogrid
PERM,LowerReek,North,Background,7.84616,,100.0,0.059328664,1.0447515,17.511148,10.9685755,geogrid,geogrid
PORO,LowerReek,North,Background,0.08970012,,0.26768735,0.0,0.03288886,0.14656329,0.04376801,geogrid,geogrid
SW,LowerReek,North,Background,0.9973106,,1.0,0.0,1.0,1.0,0.04057361,geogrid,geogrid
PERM,LowerReek,North,Channel,3087.7368,,10000.0,18.751862,437.93192,8619.659,2930.058,geogrid,geogrid
PORO,LowerReek,North,Channel,0.24932773,,0.42490956,0.03754224,0.18369979,0.31355348,0.050489116,geogrid,geogrid
SW,LowerReek,North,Channel,0.9863937,,1.0,0.029711192,1.0,1.0,0.11163836,geogrid,geogrid
PERM,LowerReek,North,Crevasse,171.56187,,1000.0,1.8132918,22.331656,422.47293,211.1235,geogrid,geogrid
PORO,LowerReek,North,Crevasse,0.19897075,,0.3785541,0.034104407,0.13683352,0.26045093,0.04860652,geogrid,geogrid
SW,LowerReek,North,Crevasse,0.9907879,,1.0,0.08721175,1.0,1.0,0.08676208,geogrid,geogrid
PERM,LowerReek,Reach,Background,11.787434,,100.0,0.06577966,1.1864111,28.687672,16.944143,geogrid,geogrid
PORO,LowerReek,Reach,Background,0.104973175,,0.30401906,0.0,0.036428202,0.1743633,0.05276542,geogrid,geogrid
SW,LowerReek,Reach,Background,0.9039167,,1.0,0.0,0.56851625,1.0,0.20929167,geogrid,geogrid
PERM,LowerReek,Reach,Channel,3301.2112,,10000.0,18.698088,492.37897,9302.674,3011.4768,geogrid,geogrid
PORO,LowerReek,Reach,Channel,0.25256565,,0.43623045,0.05689591,0.18911281,0.31624958,0.049910255,geogrid,geogrid
SW,LowerReek,Reach,Channel,0.49358746,,1.0,0.022278175,0.04904721,1.0,0.44937032,geogrid,geogrid
PERM,LowerReek,Reach,Crevasse,180.32251,,1000.0,2.206957,23.770632,440.03174,211.26201,geogrid,geogrid
PORO,LowerReek,Reach,Crevasse,0.20375872,,0.3734236,0.037672743,0.14183535,0.26617193,0.049010284,geogrid,geogrid
SW,LowerReek,Reach,Crevasse,0.59016454,,1.0,0.052443277,0.13790956,1.0,0.38395116,geogrid,geogrid
PERM,LowerReek,Stormlands,Background,5.2420106,,55.305836,0.342467,1.2633221,10.9958515,5.0689564,geogrid,geogrid
PORO,LowerReek,Stormlands,Background,0.0783779,,0.2353687,0.0,0.024638314,0.12913121,0.040651523,geogrid,geogrid
SW,LowerReek,Stormlands,Background,0.28305545,,0.6259466,0.0,0.19124533,0.39372873,0.09640715,geogrid,geogrid
PERM,LowerReek,Stormlands,Channel,3813.8542,,10000.0,75.92976,455.25156,10000.0,3255.896,geogrid,geogrid
PORO,LowerReek,Stormlands,Channel,0.26329443,,0.44838852,0.11003837,0.19077963,0.32965526,0.054593276,geogrid,geogrid
SW,LowerReek,Stormlands,Channel,0.0383638,,0.09683509,0.019076139,0.023123508,0.058514986,0.014130947,geogrid,geogrid
PERM,LowerReek,Stormlands,Crevasse,114.06324,,986.58496,6.9246182,23.372889,256.68497,116.49995,geogrid,geogrid
PORO,LowerReek,Stormlands,Crevasse,0.19291851,,0.33086646,0.0761126,0.1350149,0.24471474,0.043854296,geogrid,geogrid
SW,LowerReek,Stormlands,Crevasse,0.124989346,,0.29050466,0.052011423,0.07836414,0.17747007,0.04391414,geogrid,geogrid
PERM,LowerReek,Vale,Background,7.1698537,,100.0,0.055802386,0.7499047,16.195475,10.19524,geogrid,geogrid
PORO,LowerReek,Vale,Background,0.08765851,,0.2628137,0.0,0.026086394,0.14570703,0.044284414,geogrid,geogrid
SW,LowerReek,Vale,Background,0.9120693,,1.0,0.0,0.4562632,1.0,0.21512884,geogrid,geogrid
PERM,LowerReek,Vale,Channel,3358.8506,,10000.0,40.359905,511.82184,9442.732,3008.1377,geogrid,geogrid
PORO,LowerReek,Vale,Channel,0.25762093,,0.40525556,0.09582572,0.19630173,0.31915718,0.047773764,geogrid,geogrid
SW,LowerReek,Vale,Channel,0.3287982,,1.0,0.021327179,0.029873814,1.0,0.4324446,geogrid,geogrid
PERM,LowerReek,Vale,Crevasse,181.09683,,1000.0,2.304962,19.343697,432.50598,215.9755,geogrid,geogrid
PORO,LowerReek,Vale,Crevasse,0.20285262,,0.35394153,0.061152965,0.1406723,0.26353434,0.0488637,geogrid,geogrid
SW,LowerReek,Vale,Crevasse,0.48689508,,1.0,0.050404884,0.08873575,1.0,0.4096311,geogrid,geogrid
PERM,LowerReek,Westerlands,Background,8.376005,,100.0,0.045636114,0.9167062,19.715487,11.564993,geogrid,geogrid
PORO,LowerReek,Westerlands,Background,0.09256746,,0.2620602,0.0,0.03024374,0.15443552,0.04735349,geogrid,geogrid
SW,LowerReek,Westerlands,Background,0.9977117,,1.0,0.0,1.0,1.0,0.027930839,geogrid,geogrid
PERM,LowerReek,Westerlands,Channel,2980.0447,,10000.0,18.320108,442.6627,8095.4233,2858.6304,geogrid,geogrid
PORO,LowerReek,Westerlands,Channel,0.24880801,,0.43466276,0.05728887,0.18464419,0.31326652,0.05030133,geogrid,geogrid
SW,LowerReek,Westerlands,Channel,0.96362334,,1.0,0.034682557,1.0,1.0,0.17610134,geogrid,geogrid
PERM,LowerReek,Westerlands,Crevasse,176.22095,,1000.0,1.5656365,22.561316,435.74127,213.18512,geogrid,geogrid
PORO,LowerReek,Westerlands,Crevasse,0.20579681,,0.39803764,0.0009861588,0.14221123,0.2690291,0.050639294,geogrid,geogrid
SW,LowerReek,Westerlands,Crevasse,0.97441226,,1.0,0.10184109,1.0,1.0,0.13550472,geogrid,geogrid
PERM,MidReek,Dorne,Background,11.264299,,100.0,0.15303953,1.6908641,25.84515,13.235168,geogrid,geogrid
PORO,MidReek,Dorne,Background,0.10297869,,0.2753107,0.0,0.038591653,0.16388887,0.047748186,geogrid,geogrid
SW,MidReek,Dorne,Background,0.9929008,,1.0,0.0,1.0,1.0,0.063101806,geogrid,geogrid
PERM,MidReek,Dorne,Channel,3085.072,,10000.0,24.379103,402.1129,8787.137,2962.9712,geogrid,geogrid
PORO,MidReek,Dorne,Channel,0.2505931,,0.42409092,0.060554743,0.18358769,0.31601435,0.051150624,geogrid,geogrid
SW,MidReek,Dorne,Channel,0.9093662,,1.0,0.046280894,0.32080102,1.0,0.26431578,geogrid,geogrid
PERM,MidReek,Dorne,Crevasse,183.22618,,1000.0,0.84262925,23.891228,440.89337,216.66104,geogrid,geogrid
PORO,MidReek,Dorne,Crevasse,0.20312461,,0.43725955,0.020593047,0.14165042,0.26569468,0.049566276,geogrid,geogrid
SW,MidReek,Dorne,Crevasse,0.9145084,,1.0,0.14940065,0.43022117,1.0,0.22557639,geogrid,geogrid
PERM,MidReek,IronIslands,Background,18.601944,,100.0,0.10664853,2.4421546,46.576893,21.984161,geogrid,geogrid
PORO,MidReek,IronIslands,Background,0.1260358,,0.29584935,0.0,0.060098626,0.19331537,0.051546227,geogrid,geogrid
