WELLMODEL,DEPTH,CONJPOS,CONIPOS,SWAT,WELL,CONKPOS,DRAWDOWN,SGAS,CONBPRES,DATE,PRESSURE,CONIDX
STANDARD,1641.094970703125,30,22,0.05649875849485397,R_A2,1,0,0.0,300.6733093261719,2018-01-01,300.6733093261719,1
STANDARD,1642.8890380859375,30,22,0.05709094554185867,R_A2,2,0,0.0,300.7936096191406,2018-01-01,300.7936096191406,2
STANDARD,1644.68310546875,30,22,0.06132970005273819,R_A2,3,0,0.0,300.9139099121094,2018-01-01,300.9139099121094,3
STANDARD,1646.4771728515625,30,22,0.06751589477062225,R_A2,4,0,0.0,301.0342102050781,2018-01-01,301.0342102050781,4
STANDARD,1648.2713623046875,30,22,0.07101739197969437,R_A2,5,0,0.0,301.1545104980469,2018-01-01,301.1545104980469,5
STANDARD,1650.0654296875,30,22,0.3220924139022827,R_A2,6,0,0.0,301.27484130859375,2018-01-01,301.27484130859375,6
STANDARD,1651.859619140625,30,22,0.6901668310165405,R_A2,7,0,0.0,301.3951721191406,2018-01-01,301.3951721191406,7
STANDARD,1653.6536865234375,30,22,0.6481541991233826,R_A2,8,0,0.0,301.5154724121094,2018-01-01,301.5154724121094,8
STANDARD,1655.44775390625,30,22,0.6481541991233826,R_A2,9,0,0.0,301.63580322265625,2018-01-01,301.63580322265625,9
STANDARD,1657.2418212890625,30,22,0.9162277579307556,R_A2,10,0,0.0,301.7561340332031,2018-01-01,301.7561340332031,10
STANDARD,1659.1368408203125,30,22,0.07591938227415085,R_A2,11,0,0.0,301.88323974609375,2018-01-01,301.88323974609375,11
STANDARD,1661.132568359375,30,22,0.08079689741134644,R_A2,12,0,0.0,302.01708984375,2018-01-01,302.01708984375,12
STANDARD,1663.12841796875,30,22,0.45630839467048645,R_A2,13,0,0.0,302.1509704589844,2018-01-01,302.1509704589844,13
STANDARD,1665.1241455078125,30,22,0.503816545009613,R_A2,14,0,0.0,302.28485107421875,2018-01-01,302.28485107421875,14
STANDARD,1667.1199951171875,30,22,0.6866241097450256,R_A2,15,0,0.0,302.4187316894531,2018-01-01,302.4187316894531,15
STANDARD,1669.11572265625,30,22,0.9751048684120178,R_A2,16,0,0.0,302.5526123046875,2018-01-01,302.5526123046875,16
STANDARD,1671.111572265625,30,22,0.9595911502838135,R_A2,17,0,0.0,302.6864929199219,2018-01-01,302.6864929199219,17
STANDARD,1672.9881591796875,30,22,0.980763852596283,R_A2,18,0,0.0,302.8123779296875,2018-01-01,302.8123779296875,18
STANDARD,1674.229736328125,29,22,0.999263346195221,R_A2,18,0,0.0,302.89569091796875,2018-01-01,302.89569091796875,19
STANDARD,1676.1676025390625,29,22,1.0,R_A2,27,0,0.0,303.02569580078125,2018-01-01,303.02569580078125,20
STANDARD,1677.9368896484375,29,22,1.0,R_A2,28,0,0.0,303.47802734375,2018-01-01,303.47802734375,21
STANDARD,1679.7061767578125,29,22,1.0,R_A2,29,0,0.0,303.64569091796875,2018-01-01,303.64569091796875,22
STANDARD,1681.4754638671875,29,22,1.0,R_A2,30,0,0.0,303.8133544921875,2018-01-01,303.8133544921875,23
STANDARD,1683.2447509765625,29,22,1.0,R_A2,31,0,0.0,303.98101806640625,2018-01-01,303.98101806640625,24
STANDARD,1609.243408203125,41,28,0.6481541991233826,R_A3,1,0,0.0,298.53814697265625,2018-01-01,298.53814697265625,1
STANDARD,1611.3077392578125,41,28,0.22876429557800293,R_A3,2,0,0.0,298.676513671875,2018-01-01,298.676513671875,2
