DEPTH,PRESSURE,SGAS,CONIPOS,CONBPRES,CONJPOS,WELLMODEL,CONKPOS,DRAWDOWN,DATE,CONIDX,SWAT,WELL
1640.1754150390625,300.6683349609375,0.0,22,300.6683349609375,30,STANDARD,1,0,2018-01-01,1,0.05391262099146843,R_A2
1641.8768310546875,300.78240966796875,0.0,22,300.78240966796875,30,STANDARD,2,0,2018-01-01,2,0.056765466928482056,R_A2
1643.5782470703125,300.896484375,0.0,22,300.896484375,30,STANDARD,3,0,2018-01-01,3,0.060520049184560776,R_A2
1645.2796630859375,301.0105895996094,0.0,22,301.0105895996094,30,STANDARD,4,0,2018-01-01,4,0.0649397149682045,R_A2
1646.98095703125,301.1246643066406,0.0,22,301.1246643066406,30,STANDARD,5,0,2018-01-01,5,0.06703147292137146,R_A2
1648.6822509765625,301.23876953125,0.0,22,301.23876953125,30,STANDARD,6,0,2018-01-01,6,0.30763521790504456,R_A2
1650.3836669921875,301.3528747558594,0.0,22,301.3528747558594,30,STANDARD,7,0,2018-01-01,7,0.8770047426223755,R_A2
1652.0850830078125,301.46697998046875,0.0,22,301.46697998046875,30,STANDARD,8,0,2018-01-01,8,0.8604726195335388,R_A2
1653.7864990234375,301.5810852050781,0.0,22,301.5810852050781,30,STANDARD,9,0,2018-01-01,9,0.8769303560256958,R_A2
1655.4879150390625,301.6951904296875,0.0,22,301.6951904296875,30,STANDARD,10,0,2018-01-01,10,0.8814787864685059,R_A2
1657.3509521484375,301.8201599121094,0.0,22,301.8201599121094,30,STANDARD,11,0,2018-01-01,11,0.07036937028169632,R_A2
1661.400146484375,302.09173583984375,0.0,22,302.09173583984375,30,STANDARD,13,0,2018-01-01,12,0.4385714530944824,R_A2
1663.4248046875,302.2275390625,0.0,22,302.2275390625,30,STANDARD,14,0,2018-01-01,13,0.48021042346954346,R_A2
1665.449462890625,302.3633728027344,0.0,22,302.3633728027344,30,STANDARD,15,0,2018-01-01,14,0.9507132172584534,R_A2
1667.47412109375,302.4991760253906,0.0,22,302.4991760253906,30,STANDARD,16,0,2018-01-01,15,0.9265180230140686,R_A2
1671.0802001953125,302.7410888671875,0.0,22,302.7410888671875,29,STANDARD,16,0,2018-01-01,16,0.9603690505027771,R_A2
1673.1815185546875,302.882080078125,0.0,22,302.882080078125,29,STANDARD,17,0,2018-01-01,17,0.9454597234725952,R_A2
1674.8831787109375,302.9962463378906,0.0,22,302.9962463378906,29,STANDARD,18,0,2018-01-01,18,0.9895602464675903,R_A2
1676.4173583984375,303.0991516113281,0.0,22,303.0991516113281,29,STANDARD,25,0,2018-01-01,19,1.0,R_A2
1678.1834716796875,303.2176513671875,0.0,22,303.2176513671875,29,STANDARD,26,0,2018-01-01,20,1.0,R_A2
1679.9495849609375,303.66876220703125,0.0,22,303.66876220703125,29,STANDARD,27,0,2018-01-01,21,1.0,R_A2
1681.7156982421875,303.83612060546875,0.0,22,303.83612060546875,29,STANDARD,28,0,2018-01-01,22,1.0,R_A2
1683.4818115234375,304.00347900390625,0.0,22,304.00347900390625,29,STANDARD,29,0,2018-01-01,23,1.0,R_A2
1600.9127197265625,298.0365295410156,0.0,29,298.0365295410156,41,STANDARD,1,0,2018-01-01,1,0.6481541991233826,R_A3
1602.97998046875,298.1750793457031,0.0,29,298.1750793457031,41,STANDARD,2,0,2018-01-01,2,0.11823459714651108,R_A3
1605.0472412109375,298.3135986328125,0.0,29,298.3135986328125,41,STANDARD,3,0,2018-01-01,3,0.11823459714651108,R_A3
1607.1143798828125,298.4521179199219,0.0,29,298.4521179199219,41,STANDARD,4,0,2018-01-01,4,0.097018763422966,R_A3
1609.181640625,298.5906677246094,0.0,29,298.5906677246094,41,STANDARD,5,0,2018-01-01,5,0.17575743794441223,R_A3
1611.248779296875,298.72918701171875,0.0,29,298.72918701171875,41,STANDARD,6,0,2018-01-01,6,0.23134514689445496,R_A3
1613.31591796875,298.86773681640625,0.0,29,298.86773681640625,41,STANDARD,7,0,2018-01-01,7,0.19650088250637054,R_A3
1615.3831787109375,299.00628662109375,0.0,29,299.00628662109375,41,STANDARD,8,0,2018-01-01,8,0.19795547425746918,R_A3
1617.450439453125,299.14483642578125,0.0,29,299.14483642578125,41,STANDARD,9,0,2018-01-01,9,0.7977339625358582,R_A3
1619.517578125,299.2834167480469,0.0,29,299.2834167480469,41,STANDARD,10,0,2018-01-01,10,0.29265379905700684,R_A3
1621.6937255859375,299.4292907714844,0.0,29,299.4292907714844,41,STANDARD,11,0,2018-01-01,11,0.049133408814668655,R_A3
1623.978759765625,299.58245849609375,0.0,29,299.58245849609375,41,STANDARD,12,0,2018-01-01,12,0.05425386503338814,R_A3
1626.263916015625,299.7356262207031,0.0,29,299.7356262207031,41,STANDARD,13,0,2018-01-01,13,0.3683755397796631,R_A3
1628.5489501953125,299.8888244628906,0.0,29,299.8888244628906,41,STANDARD,14,0,2018-01-01,14,0.1492612361907959,R_A3
