PRESSURE,DEPTH,SWAT,CONIDX,WELL,CONJPOS,DRAWDOWN,DATE,CONIPOS,CONBPRES,SGAS,WELLMODEL,CONKPOS
301.21881103515625,1647.696044921875,0.18032348155975342,5,R_A2,30,0,2018-01-01,22,301.21881103515625,0.0,STANDARD,5
301.3373718261719,1649.4638671875,0.6481541991233826,6,R_A2,30,0,2018-01-01,22,301.3373718261719,0.0,STANDARD,6
301.4559326171875,1651.2318115234375,0.8764068484306335,7,R_A2,30,0,2018-01-01,22,301.4559326171875,0.0,STANDARD,7
301.5744934082031,1652.999755859375,0.843360960483551,8,R_A2,30,0,2018-01-01,22,301.5744934082031,0.0,STANDARD,8
301.69305419921875,1654.767578125,0.8846189379692078,9,R_A2,30,0,2018-01-01,22,301.69305419921875,0.0,STANDARD,9
301.8116455078125,1656.5355224609375,0.8834951519966125,10,R_A2,30,0,2018-01-01,22,301.8116455078125,0.0,STANDARD,10
301.9428405761719,1658.491455078125,0.06913058459758759,11,R_A2,30,0,2018-01-01,22,301.9428405761719,0.0,STANDARD,11
302.0866394042969,1660.6353759765625,0.06843983381986618,12,R_A2,30,0,2018-01-01,22,302.0866394042969,0.0,STANDARD,12
302.2304382324219,1662.7794189453125,0.434232234954834,13,R_A2,30,0,2018-01-01,22,302.2304382324219,0.0,STANDARD,13
302.374267578125,1664.92333984375,0.4781397581100464,14,R_A2,30,0,2018-01-01,22,302.374267578125,0.0,STANDARD,14
302.5180969238281,1667.0673828125,0.91667640209198,15,R_A2,30,0,2018-01-01,22,302.5180969238281,0.0,STANDARD,15
302.66192626953125,1669.21142578125,0.9308425784111023,16,R_A2,30,0,2018-01-01,22,302.66192626953125,0.0,STANDARD,16
302.8057556152344,1671.3553466796875,0.9075935482978821,17,R_A2,30,0,2018-01-01,22,302.8057556152344,0.0,STANDARD,17
302.9102478027344,1672.9129638671875,0.9552940130233765,18,R_A2,30,0,2018-01-01,22,302.9102478027344,0.0,STANDARD,18
303.0020446777344,1674.281005859375,0.7030413746833801,19,R_A2,30,0,2018-01-01,22,303.0020446777344,0.0,STANDARD,25
303.1204528808594,1676.046142578125,1.0,20,R_A2,30,0,2018-01-01,22,303.1204528808594,0.0,STANDARD,26
303.2610778808594,1678.14208984375,1.0,21,R_A2,29,0,2018-01-01,22,303.2610778808594,0.0,STANDARD,26
303.3848571777344,1679.9869384765625,0.8288604617118835,22,R_A2,29,0,2018-01-01,22,303.3848571777344,0.0,STANDARD,27
303.8471374511719,1681.831787109375,1.0,23,R_A2,29,0,2018-01-01,22,303.8471374511719,0.0,STANDARD,28
304.0219421386719,1683.6766357421875,1.0,24,R_A2,29,0,2018-01-01,22,304.0219421386719,0.0,STANDARD,29
298.76312255859375,1611.06640625,0.36359190940856934,1,R_A3,41,0,2018-01-01,28,298.76312255859375,0.0,STANDARD,1
297.9924011230469,1599.565673828125,0.6481541991233826,2,R_A3,41,0,2018-01-01,29,297.9924011230469,0.0,STANDARD,1
298.13446044921875,1601.6854248046875,0.14578582346439362,3,R_A3,41,0,2018-01-01,29,298.13446044921875,0.0,STANDARD,2
298.2765197753906,1603.8052978515625,0.11823459714651108,4,R_A3,41,0,2018-01-01,29,298.2765197753906,0.0,STANDARD,3
298.4185485839844,1605.925048828125,0.6481541991233826,5,R_A3,41,0,2018-01-01,29,298.4185485839844,0.0,STANDARD,4
298.5606384277344,1608.044921875,0.8080568909645081,6,R_A3,41,0,2018-01-01,29,298.5606384277344,0.0,STANDARD,5
298.70269775390625,1610.164794921875,0.6481541991233826,7,R_A3,41,0,2018-01-01,29,298.70269775390625,0.0,STANDARD,6
298.8447570800781,1612.28466796875,0.19531358778476715,8,R_A3,41,0,2018-01-01,29,298.8447570800781,0.0,STANDARD,7
298.9868469238281,1614.404541015625,0.19660018384456635,9,R_A3,41,0,2018-01-01,29,298.9868469238281,0.0,STANDARD,8
299.1289367675781,1616.5244140625,0.8011043667793274,10,R_A3,41,0,2018-01-01,29,299.1289367675781,0.0,STANDARD,9
299.2710266113281,1618.6441650390625,0.7937920093536377,11,R_A3,41,0,2018-01-01,29,299.2710266113281,0.0,STANDARD,10
299.41949462890625,1620.8592529296875,0.04804108291864395,12,R_A3,41,0,2018-01-01,29,299.41949462890625,0.0,STANDARD,11
299.5743713378906,1623.169677734375,0.05499584600329399,13,R_A3,41,0,2018-01-01,29,299.5743713378906,0.0,STANDARD,12
299.729248046875,1625.4801025390625,0.36742687225341797,14,R_A3,41,0,2018-01-01,29,299.729248046875,0.0,STANDARD,13
299.8841247558594,1627.7906494140625,0.20088569819927216,15,R_A3,41,0,2018-01-01,29,299.8841247558594,0.0,STANDARD,14
300.0390319824219,1630.10107421875,0.4877246022224426,16,R_A3,41,0,2018-01-01,29,300.0390319824219,0.0,STANDARD,15
300.16021728515625,1631.9085693359375,0.8043806552886963,17,R_A3,41,0,2018-01-01,29,300.16021728515625,0.0,STANDARD,16
300.3277587890625,1634.407470703125,1.0,18,R_A3,41,0,2018-01-01,29,300.3277587890625,0.0,STANDARD,25
300.5656433105469,1637.95556640625,0.04315328225493431,19,R_A3,41,0,2018-01-01,29,300.5656433105469,0.0,STANDARD,26
300.8035583496094,1641.5035400390625,0.048974040895700455,20,R_A3,41,0,2018-01-01,29,300.8035583496094,0.0,STANDARD,27
301.0414733886719,1645.0516357421875,0.28051838278770447,21,R_A3,41,0,2018-01-01,29,301.0414733886719,0.0,STANDARD,28
301.2794189453125,1648.5997314453125,0.061401981860399246,22,R_A3,41,0,2018-01-01,29,301.2794189453125,0.0,STANDARD,29
300.06658935546875,1630.511962890625,0.15743082761764526,1,R_A4,52,0,2018-01-01,30,300.06658935546875,0.0,STANDARD,1
299.7821960449219,1626.2698974609375,0.6481541991233826,2,R_A4,52,0,2018-01-01,31,299.7821960449219,0.0,STANDARD,1
299.9205627441406,1628.333740234375,0.6481541991233826,3,R_A4,52,0,2018-01-01,31,299.9205627441406,0.0,STANDARD,2
300.05889892578125,1630.3975830078125,0.15288715064525604,4,R_A4,52,0,2018-01-01,31,300.05889892578125,0.0,STANDARD,3
300.197265625,1632.46142578125,0.05182884261012077,5,R_A4,52,0,2018-01-01,31,300.197265625,0.0,STANDARD,4
300.3356628417969,1634.5252685546875,0.054485879838466644,6,R_A4,52,0,2018-01-01,31,300.3356628417969,0.0,STANDARD,5
300.2735900878906,1633.5997314453125,0.05507158860564232,7,R_A4,52,0,2018-01-01,32,300.2735900878906,0.0,STANDARD,5
300.4853210449219,1636.757568359375,0.12888723611831665,8,R_A4,51,0,2018-01-01,32,300.4853210449219,0.0,STANDARD,5
300.36468505859375,1634.9583740234375,0.05690339580178261,9,R_A4,51,0,2018-01-01,32,300.36468505859375,0.0,STANDARD,4
300.5661926269531,1637.9637451171875,0.05821136757731438,10,R_A4,51,0,2018-01-01,33,300.5661926269531,0.0,STANDARD,4
300.443359375,1636.131591796875,0.23280739784240723,11,R_A4,51,0,2018-01-01,33,300.443359375,0.0,STANDARD,3
300.9291076660156,1643.376220703125,0.0645533874630928,12,R_A4,50,0,2018-01-01,33,300.9291076660156,0.0,STANDARD,4
300.81976318359375,1641.74560546875,0.06270341575145721,13,R_A4,50,0,2018-01-01,34,300.81976318359375,0.0,STANDARD,4
300.6947937011719,1639.8814697265625,0.05982516333460808,14,R_A4,50,0,2018-01-01,34,300.6947937011719,0.0,STANDARD,3
300.8054504394531,1641.53173828125,0.059474457055330276,15,R_A4,50,0,2018-01-01,35,300.8054504394531,0.0,STANDARD,3
300.6843566894531,1639.72607421875,0.3000820577144623,16,R_A4,50,0,2018-01-01,35,300.6843566894531,0.0,STANDARD,2
301.0472412109375,1645.137451171875,0.23485611379146576,17,R_A4,49,0,2018-01-01,35,301.0472412109375,0.0,STANDARD,2
300.9287109375,1643.3699951171875,0.23168165981769562,18,R_A4,49,0,2018-01-01,35,300.9287109375,0.0,STANDARD,1
301.138671875,1646.5008544921875,0.08562727272510529,19,R_A4,49,0,2018-01-01,36,301.138671875,0.0,STANDARD,28
300.7241516113281,1640.3194580078125,0.055730100721120834,20,R_A4,49,0,2018-01-01,36,300.7241516113281,0.0,STANDARD,27
300.5854797363281,1638.251220703125,0.050885703414678574,21,R_A4,48,0,2018-01-01,36,300.5854797363281,0.0,STANDARD,27
301.0220947265625,1644.7625732421875,0.09359969943761826,22,R_A4,48,0,2018-01-01,37,301.0220947265625,0.0,STANDARD,27
