DATE,DRAWDOWN,CONIDX,WELLMODEL,CONIPOS,CONBPRES,SGAS,PRESSURE,CONKPOS,CONJPOS,DEPTH,WELL,SWAT
2018-01-01,0,1,STANDARD,22,300.82098388671875,0.0,300.82098388671875,1,30,1641.4091796875,R_A2,0.05354646220803261
2018-01-01,0,2,STANDARD,22,300.9421691894531,0.0,300.9421691894531,2,30,1643.216064453125,R_A2,0.05551518499851227
2018-01-01,0,3,STANDARD,22,301.0633239746094,0.0,301.0633239746094,3,30,1645.02294921875,R_A2,0.05961481109261513
2018-01-01,0,4,STANDARD,22,301.18450927734375,0.0,301.18450927734375,4,30,1646.8299560546875,R_A2,0.06330102682113647
2018-01-01,0,5,STANDARD,22,301.3056640625,0.0,301.3056640625,5,30,1648.636962890625,R_A2,0.06671556085348129
2018-01-01,0,6,STANDARD,22,301.4268493652344,0.0,301.4268493652344,6,30,1650.44384765625,R_A2,0.3246443569660187
2018-01-01,0,7,STANDARD,22,301.54803466796875,0.0,301.54803466796875,7,30,1652.2508544921875,R_A2,0.8759827017784119
2018-01-01,0,8,STANDARD,22,301.6692199707031,0.0,301.6692199707031,8,30,1654.0577392578125,R_A2,0.8657360672950745
2018-01-01,0,9,STANDARD,22,301.7904357910156,0.0,301.7904357910156,9,30,1655.8646240234375,R_A2,0.8761653900146484
2018-01-01,0,10,STANDARD,22,301.91162109375,0.0,301.91162109375,10,30,1657.671630859375,R_A2,0.8896927237510681
2018-01-01,0,11,STANDARD,22,302.0362243652344,0.0,302.0362243652344,11,30,1659.5291748046875,R_A2,0.0694403350353241
2018-01-01,0,12,STANDARD,22,302.1642150878906,0.0,302.1642150878906,12,30,1661.4373779296875,R_A2,0.068574920296669
2018-01-01,0,13,STANDARD,22,302.2922058105469,0.0,302.2922058105469,13,30,1663.3455810546875,R_A2,0.4129830300807953
2018-01-01,0,14,STANDARD,22,302.4201965332031,0.0,302.4201965332031,14,30,1665.2537841796875,R_A2,0.45683982968330383
2018-01-01,0,15,STANDARD,22,302.5482177734375,0.0,302.5482177734375,15,30,1667.1619873046875,R_A2,0.6416305899620056
2018-01-01,0,16,STANDARD,22,302.6762390136719,0.0,302.6762390136719,16,30,1669.0701904296875,R_A2,0.9173097610473633
2018-01-01,0,17,STANDARD,22,302.53411865234375,0.0,302.53411865234375,16,29,1666.951904296875,R_A2,0.8883172273635864
2018-01-01,0,18,STANDARD,22,302.66937255859375,0.0,302.66937255859375,17,29,1668.9678955078125,R_A2,0.9070261120796204
2018-01-01,0,19,STANDARD,22,302.8045959472656,0.0,302.8045959472656,18,29,1670.98388671875,R_A2,0.8872464299201965
2018-01-01,0,20,STANDARD,22,302.9099426269531,0.0,302.9099426269531,19,29,1672.553955078125,R_A2,0.9471091032028198
2018-01-01,0,21,STANDARD,22,303.0130615234375,0.0,303.0130615234375,26,29,1674.0909423828125,R_A2,0.7344639897346497
2018-01-01,0,22,STANDARD,22,303.137451171875,0.0,303.137451171875,27,29,1675.945068359375,R_A2,1.0
2018-01-01,0,23,STANDARD,22,303.2618713378906,0.0,303.2618713378906,28,29,1677.79931640625,R_A2,1.0
2018-01-01,0,24,STANDARD,22,303.3862609863281,0.0,303.3862609863281,29,29,1679.6534423828125,R_A2,1.0
2018-01-01,0,25,STANDARD,22,303.51068115234375,0.0,303.51068115234375,30,29,1681.507568359375,R_A2,1.0
2018-01-01,0,1,STANDARD,28,298.720703125,0.0,298.720703125,1,41,1610.0789794921875,R_A3,0.15285195410251617
2018-01-01,0,2,STANDARD,28,298.86468505859375,0.0,298.86468505859375,2,41,1612.22705078125,R_A3,0.11823459714651108
2018-01-01,0,3,STANDARD,28,299.0086364746094,0.0,299.0086364746094,3,41,1614.375244140625,R_A3,0.1915437877178192
2018-01-01,0,4,STANDARD,29,298.2283935546875,0.0,298.2283935546875,3,41,1602.732666015625,R_A3,0.1800984889268875
2018-01-01,0,5,STANDARD,29,298.36529541015625,0.0,298.36529541015625,4,41,1604.7755126953125,R_A3,0.3628373444080353
2018-01-01,0,6,STANDARD,29,298.502197265625,0.0,298.502197265625,5,41,1606.818359375,R_A3,0.8095743060112
2018-01-01,0,7,STANDARD,29,298.63909912109375,0.0,298.63909912109375,6,41,1608.861328125,R_A3,0.6481541991233826
