CONIPOS,DATE,WELL,SWAT,PRESSURE,WELLMODEL,DEPTH,CONBPRES,CONJPOS,SGAS,CONIDX,CONKPOS,DRAWDOWN
22,2018-01-01,R_A2,0.053166817873716354,300.7529296875,STANDARD,1640.740478515625,300.7529296875,30,0.0,1,1,0
22,2018-01-01,R_A2,0.05656656250357628,300.8719177246094,STANDARD,1642.514892578125,300.8719177246094,30,0.0,2,2,0
22,2018-01-01,R_A2,0.05778753012418747,300.99090576171875,STANDARD,1644.2894287109375,300.99090576171875,30,0.0,3,3,0
22,2018-01-01,R_A2,0.0613984577357769,301.1098937988281,STANDARD,1646.0638427734375,301.1098937988281,30,0.0,4,4,0
22,2018-01-01,R_A2,0.06570567935705185,301.2289123535156,STANDARD,1647.83837890625,301.2289123535156,30,0.0,5,5,0
22,2018-01-01,R_A2,0.31200987100601196,301.347900390625,STANDARD,1649.6129150390625,301.347900390625,30,0.0,6,6,0
22,2018-01-01,R_A2,0.8776193857192993,301.4669189453125,STANDARD,1651.387451171875,301.4669189453125,30,0.0,7,7,0
22,2018-01-01,R_A2,0.8606367707252502,301.5859375,STANDARD,1653.161865234375,301.5859375,30,0.0,8,8,0
22,2018-01-01,R_A2,0.8951000571250916,301.7049255371094,STANDARD,1654.936279296875,301.7049255371094,30,0.0,9,9,0
22,2018-01-01,R_A2,0.9048133492469788,301.8239440917969,STANDARD,1656.7108154296875,301.8239440917969,30,0.0,10,10,0
22,2018-01-01,R_A2,0.0689437985420227,301.9481506347656,STANDARD,1658.5626220703125,301.9481506347656,30,0.0,11,11,0
22,2018-01-01,R_A2,0.07081562280654907,302.0775451660156,STANDARD,1660.49169921875,302.0775451660156,30,0.0,12,12,0
22,2018-01-01,R_A2,0.41232264041900635,302.2069396972656,STANDARD,1662.4208984375,302.2069396972656,30,0.0,13,13,0
22,2018-01-01,R_A2,0.45853814482688904,302.33636474609375,STANDARD,1664.35009765625,302.33636474609375,30,0.0,14,14,0
22,2018-01-01,R_A2,0.6116466522216797,302.46575927734375,STANDARD,1666.279296875,302.46575927734375,30,0.0,15,15,0
22,2018-01-01,R_A2,0.9284584522247314,302.5951843261719,STANDARD,1668.2083740234375,302.5951843261719,30,0.0,16,16,0
22,2018-01-01,R_A2,0.8903871178627014,302.724609375,STANDARD,1670.137451171875,302.724609375,30,0.0,17,17,0
22,2018-01-01,R_A2,0.9293320178985596,302.84490966796875,STANDARD,1671.930908203125,302.84490966796875,30,0.0,18,18,0
22,2018-01-01,R_A2,0.9538584351539612,302.96923828125,STANDARD,1673.7841796875,302.96923828125,29,0.0,19,18,0
22,2018-01-01,R_A2,0.6481541991233826,303.1091003417969,STANDARD,1675.8685302734375,303.1091003417969,29,0.0,20,27,0
22,2018-01-01,R_A2,1.0,303.2261657714844,STANDARD,1677.61328125,303.2261657714844,29,0.0,21,28,0
22,2018-01-01,R_A2,1.0,303.34320068359375,STANDARD,1679.35791015625,303.34320068359375,29,0.0,22,29,0
22,2018-01-01,R_A2,1.0,303.7780456542969,STANDARD,1681.1026611328125,303.7780456542969,29,0.0,23,30,0
22,2018-01-01,R_A2,1.0,303.943359375,STANDARD,1682.847412109375,303.943359375,29,0.0,24,31,0
28,2018-01-01,R_A3,0.2982918322086334,298.9162292480469,STANDARD,1613.3424072265625,298.9162292480469,41,0.0,1,1,0
28,2018-01-01,R_A3,0.19958101212978363,299.0572509765625,STANDARD,1615.446533203125,299.0572509765625,41,0.0,2,2,0
28,2018-01-01,R_A3,0.19445917010307312,299.1982727050781,STANDARD,1617.550537109375,299.1982727050781,41,0.0,3,3,0
28,2018-01-01,R_A3,0.1973361372947693,299.33929443359375,STANDARD,1619.6546630859375,299.33929443359375,41,0.0,4,4,0
28,2018-01-01,R_A3,0.8236960768699646,299.4803466796875,STANDARD,1621.7586669921875,299.4803466796875,41,0.0,5,5,0
28,2018-01-01,R_A3,0.3147890865802765,299.62139892578125,STANDARD,1623.86279296875,299.62139892578125,41,0.0,6,6,0
29,2018-01-01,R_A3,0.6481541991233826,298.553466796875,STANDARD,1607.9300537109375,298.553466796875,41,0.0,7,6,0
