ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL
Valysar,WestLowland,4908777,593672,252540,176109,24796131
Valysar,CentralSouth,60358268,10806528,7824662,5456529,768279244
Valysar,CentralNorth,33496707,6025585,4479131,3123523,439791984
Valysar,NorthHorst,4025607,487750,210644,129388,25347141
Valysar,CentralRamp,13747335,1960538,1220879,851380,119874278
Valysar,CentralHorst,83965845,13389656,10052370,7010021,987010982
Valysar,EastLowland,288978,53442,16668,11624,1636606
Therys,WestLowland,2193689,401916,197936,138031,19434735
Therys,CentralSouth,8219316,1891013,1119941,780991,109963541
Therys,CentralNorth,17576284,3688248,2110422,1471703,207215824
Therys,NorthHorst,6910232,966372,393759,241867,47381692
Therys,CentralRamp,6771661,1510767,1128882,787226,110841379
Therys,CentralHorst,27416911,7198887,5474631,3817735,537537030
Therys,EastLowland,0,0,0,0,0
Volon,WestLowland,252999,48498,22705,15833,2229301
Volon,CentralSouth,26486060,4454279,2991768,2086309,293752380
Volon,CentralNorth,4038314,502557,231700,161576,22749946
Volon,NorthHorst,4982967,841455,579980,356253,69790030
Volon,CentralRamp,11700895,2120874,1571528,1095905,154303457
Volon,CentralHorst,77883766,14167584,10943358,7631352,1074494316
Volon,EastLowland,0,0,0,0,0
