FIPNUM,STOIIP_OIL,ASSOCIATEDOIL_GAS,STOIIP_TOTAL,WIIP_TOTAL,GIIP_GAS,ASSOCIATEDGAS_OIL,GIIP_TOTAL,PORV_TOTAL,HCPV_OIL,WATPV_TOTAL,HCPV_GAS,HCPV_TOTAL,REGION,ZONE
1,168895.0,0.0,168895.0,83042077.0,-0.0,23783743.0,23783743.0,86113527.0,242252.0,85871275.0,0.0,242252.0,WestLowland,Valysar
2,5437560.0,0.0,5437560.0,16174816.0,0.0,765717166.0,765717166.0,24523094.0,7796088.0,16727006.0,0.0,7796088.0,CentralSouth,Valysar
3,3087073.0,0.0,3087073.0,11457449.0,0.0,434721629.0,434721629.0,16274235.0,4426304.0,11847931.0,0.0,4426304.0,CentralNorth,Valysar
4,122879.0,63562.0,186441.0,3549964.0,414513313.0,24075670.0,438588983.0,5656049.0,200084.0,3671684.0,1784280.0,1984365.0,NorthHorst,Valysar
5,821647.0,0.0,821647.0,757941.0,0.0,115704275.0,115704275.0,1962701.0,1178653.0,784047.0,0.0,1178653.0,CentralRamp,Valysar
6,6895003.0,0.0,6895003.0,6125804.0,0.0,970954372.0,970954372.0,16228336.0,9892221.0,6336115.0,0.0,9892221.0,CentralHorst,Valysar
7,14007.0,0.0,14007.0,36828233.0,0.0,1972471.0,1972471.0,38089072.0,20084.0,38068989.0,0.0,20084.0,EastLowland,Valysar
8,149223.0,0.0,149223.0,107550110.0,0.0,21013619.0,21013619.0,111427634.0,214000.0,111213634.0,0.0,214000.0,WestLowland,Therys
9,796428.0,0.0,796428.0,5948392.0,0.0,112152955.0,112152955.0,7293565.0,1141670.0,6151895.0,0.0,1141670.0,CentralSouth,Therys
10,1484883.0,0.0,1484883.0,12482697.0,0.0,209101183.0,209101183.0,15036326.0,2128681.0,12907646.0,0.0,2128681.0,CentralNorth,Therys
11,234397.0,63058.0,297454.0,3866228.0,409272049.0,45925269.0,455197318.0,6140606.0,381679.0,3998610.0,1760318.0,2141996.0,NorthHorst,Therys
12,787749.0,0.0,787749.0,370114.0,0.0,110930813.0,110930813.0,1512522.0,1129678.0,382844.0,0.0,1129678.0,CentralRamp,Therys
13,3819292.0,0.0,3819292.0,5081497.0,0.0,537832746.0,537832746.0,10733884.0,5478476.0,5255409.0,0.0,5478476.0,CentralHorst,Therys
14,0.0,0.0,0.0,18416005.0,0.0,0.0,0.0,19032234.0,0.0,19032234.0,0.0,0.0,EastLowland,Therys
15,17319.0,0.0,17319.0,78918202.0,0.0,2438905.0,2438905.0,81620357.0,24834.0,81595523.0,0.0,24834.0,WestLowland,Volon
16,2089628.0,0.0,2089628.0,35579150.0,0.0,294261459.0,294261459.0,39785747.0,2995376.0,36790371.0,0.0,2995376.0,CentralSouth,Volon
17,151836.0,0.0,151836.0,5488286.0,0.0,21381525.0,21381525.0,5892609.0,217637.0,5674972.0,0.0,217637.0,CentralNorth,Volon
18,349058.0,17201.0,366259.0,1655721.0,111200707.0,68390961.0,179591668.0,2758684.0,568405.0,1712305.0,477974.0,1046379.0,NorthHorst,Volon
19,1082887.0,0.0,1082887.0,891592.0,0.0,152492104.0,152492104.0,2474628.0,1552460.0,922168.0,0.0,1552460.0,CentralRamp,Volon
20,7405429.0,0.0,7405429.0,8856048.0,-0.0,1042832553.0,1042832553.0,19779690.0,10620414.0,9159276.0,0.0,10620414.0,CentralHorst,Volon
21,0.0,0.0,0.0,32819737.0,0.0,0.0,0.0,33927300.0,0.0,33927300.0,0.0,0.0,EastLowland,Volon
