ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL,BULK_GAS,PORV_GAS,HCPV_GAS,GIIP_GAS,ASSOCIATEDOIL_GAS
Valysar,WestLowland,15522940,2292673,1050453,732533,103140687,0,0,0,0,0
Valysar,CentralSouth,70485168,13441565,10285916,7172884,1009942125,0,0,0,0,0
Valysar,CentralNorth,45738004,7460353,5197478,3624461,510324177,0,0,0,0,0
Valysar,NorthHorst,4836936,735544,374611,230105,45077566,23870671,3277656,2106227,489820126,74942
Valysar,CentralRamp,13408403,2280683,1719636,1199189,168845755,0,0,0,0,0
Valysar,CentralHorst,86009664,15338002,12159878,8479692,1193940649,0,0,0,0,0
Valysar,EastLowland,10221664,1746578,1115363,777798,109514020,0,0,0,0,0
Therys,WestLowland,2181224,445823,221069,154162,21706039,0,0,0,0,0
Therys,CentralSouth,14315973,3742006,2492293,1738001,244710552,0,0,0,0,0
Therys,CentralNorth,20131441,4054850,2413675,1683177,236991267,0,0,0,0,0
Therys,NorthHorst,7971171,1070767,433447,266245,52157410,15330533,2629449,1704421,396376924,60646
Therys,CentralRamp,6673583,1384063,1101982,768467,108200225,0,0,0,0,0
Therys,CentralHorst,29855971,6994420,5496518,3832997,539686002,0,0,0,0,0
Therys,EastLowland,50375,17015,7956,5548,781216,0,0,0,0,0
Volon,WestLowland,128949,22651,11857,8268,1164183,0,0,0,0,0
Volon,CentralSouth,31858501,5734069,4176288,2912335,410056721,0,0,0,0,0
Volon,CentralNorth,5226806,756443,412677,287780,40519466,0,0,0,0,0
Volon,NorthHorst,5440974,1027756,799235,490930,96173257,1853219,381579,351619,81771853,12511
Volon,CentralRamp,13275321,2465803,1945833,1356927,191055279,0,0,0,0,0
Volon,CentralHorst,83367912,14801359,11392078,7944267,1118552753,0,0,0,0,0
Volon,EastLowland,0,0,0,0,0,0,0,0,0,0
