SGAS,WELL,CONKPOS,CONJPOS,PRESSURE,CONIPOS,DRAWDOWN,CONBPRES,SWAT,DEPTH,DATE,CONIDX,WELLMODEL
0.0,R_A2,7,30,301.42218017578125,22,0,301.42218017578125,0.8758233189582825,1650.901611328125,2018-01-01,7,STANDARD
0.0,R_A2,8,30,301.54241943359375,22,0,301.54241943359375,0.8585712909698486,1652.6944580078125,2018-01-01,8,STANDARD
0.0,R_A2,9,30,301.66265869140625,22,0,301.66265869140625,0.8738985657691956,1654.4874267578125,2018-01-01,9,STANDARD
0.0,R_A2,10,30,301.78289794921875,22,0,301.78289794921875,0.9047698974609375,1656.2802734375,2018-01-01,10,STANDARD
0.0,R_A2,11,30,301.90960693359375,22,0,301.90960693359375,0.07022465765476227,1658.169189453125,2018-01-01,11,STANDARD
0.0,R_A2,13,30,302.1759033203125,22,0,302.1759033203125,0.43672651052474976,1662.139404296875,2018-01-01,12,STANDARD
0.0,R_A2,14,30,302.3090515136719,22,0,302.3090515136719,0.46634605526924133,1664.12451171875,2018-01-01,13,STANDARD
0.0,R_A2,15,30,302.4422302246094,22,0,302.4422302246094,0.9076501727104187,1666.1094970703125,2018-01-01,14,STANDARD
0.0,R_A2,16,30,302.57537841796875,22,0,302.57537841796875,0.927227795124054,1668.0946044921875,2018-01-01,15,STANDARD
0.0,R_A2,17,30,302.70855712890625,22,0,302.70855712890625,0.8814782500267029,1670.0797119140625,2018-01-01,16,STANDARD
0.0,R_A2,17,29,302.9049377441406,22,0,302.9049377441406,0.9210322499275208,1673.0072021484375,2018-01-01,17,STANDARD
0.0,R_A2,18,29,303.03564453125,22,0,303.03564453125,0.9695815443992615,1674.955078125,2018-01-01,18,STANDARD
0.0,R_A2,29,29,303.15570068359375,22,0,303.15570068359375,1.0,1676.7447509765625,2018-01-01,19,STANDARD
0.0,R_A2,30,29,303.2726745605469,22,0,303.2726745605469,1.0,1678.4881591796875,2018-01-01,20,STANDARD
0.0,R_A2,31,29,303.3896484375,22,0,303.3896484375,1.0,1680.2315673828125,2018-01-01,21,STANDARD
0.0,R_A2,32,29,303.8606872558594,22,0,303.8606872558594,1.0,1681.9749755859375,2018-01-01,22,STANDARD
0.0,R_A2,33,29,304.0259094238281,22,0,304.0259094238281,1.0,1683.7183837890625,2018-01-01,23,STANDARD
0.0,R_A3,1,41,298.6933288574219,28,0,298.6933288574219,0.6481541991233826,1610.197998046875,2018-01-01,1,STANDARD
0.0,R_A3,2,41,298.8207702636719,28,0,298.8207702636719,0.17503781616687775,1612.099609375,2018-01-01,2,STANDARD
