CONIPOS,CONJPOS,CONKPOS,DEPTH,PRESSURE,SWAT,SGAS,CONIDX,Drawdown,DATE,WELL,WELLMODEL,CONBPRES
27,30,5,1611.4000244140625,303.6737060546875,0.032837074249982834,0.0,1,0,2000-02-01,OP_1,MULTISEG,303.6737060546875
27,30,6,1614.2462158203125,303.85528564453125,0.03501921892166138,0.0,2,0,2000-02-01,OP_1,MULTISEG,303.85528564453125
27,30,7,1617.0882568359375,304.0365905761719,0.026715941727161407,0.0,3,0,2000-02-01,OP_1,MULTISEG,304.0365905761719
27,30,8,1619.9302978515625,304.2178955078125,0.03363236039876938,0.0,4,0,2000-02-01,OP_1,MULTISEG,304.2178955078125
27,30,9,1622.7723388671875,304.3992004394531,0.03390214219689369,0.0,5,0,2000-02-01,OP_1,MULTISEG,304.3992004394531
27,30,10,1625.614501953125,304.5805358886719,0.03703619912266731,0.0,6,0,2000-02-01,OP_1,MULTISEG,304.5805358886719
20,13,6,1652.7496337890625,305.7557678222656,0.13378234207630157,0.0,1,0,2000-02-01,OP_2,MULTISEG,305.7557678222656
20,13,7,1655.4801025390625,305.9315490722656,0.11613604426383972,0.0,2,0,2000-02-01,OP_2,MULTISEG,305.9315490722656
20,13,8,1658.2105712890625,306.1061706542969,0.04889027401804924,0.0,3,0,2000-02-01,OP_2,MULTISEG,306.1061706542969
20,13,9,1660.94091796875,306.2805480957031,0.06774239242076874,0.0,4,0,2000-02-01,OP_2,MULTISEG,306.2805480957031
20,13,10,1663.6712646484375,306.454833984375,0.16769133508205414,0.0,5,0,2000-02-01,OP_2,MULTISEG,306.454833984375
28,47,9,1657.7891845703125,306.64703369140625,0.1930902898311615,0.0,1,0,2000-02-01,OP_3,MULTISEG,306.64703369140625
28,47,10,1660.69580078125,306.8326110839844,0.2413395494222641,0.0,2,0,2000-02-01,OP_3,MULTISEG,306.8326110839844
28,47,11,1663.4716796875,307.00982666015625,0.08151839673519135,0.0,3,0,2000-02-01,OP_3,MULTISEG,307.00982666015625
28,47,12,1666.1168212890625,307.1787109375,0.04967432841658592,0.0,4,0,2000-02-01,OP_3,MULTISEG,307.1787109375
28,47,13,1668.7620849609375,307.34759521484375,0.04913788661360741,0.0,5,0,2000-02-01,OP_3,MULTISEG,307.34759521484375
28,47,14,1671.4073486328125,307.5165100097656,0.04858265444636345,0.0,6,0,2000-02-01,OP_3,MULTISEG,307.5165100097656
14,38,2,1702.900146484375,309.4853210449219,1.0000014305114746,0.0,1,0,2000-02-01,WI_1,MULTISEG,309.4853210449219
14,38,3,1705.78955078125,309.75341796875,1.0000009536743164,0.0,2,0,2000-02-01,WI_1,MULTISEG,309.75341796875
14,38,4,1708.6787109375,310.07763671875,1.0,9.756429442120407e-09,3,0,2000-02-01,WI_1,MULTISEG,310.07763671875
14,38,5,1711.568115234375,310.3445739746094,1.0,1.004081351396735e-08,4,0,2000-02-01,WI_1,MULTISEG,310.3445739746094
28,20,7,1690.86572265625,278.3432922363281,0.3680971562862396,0.0,1,0,2000-06-01,WI_2,MULTISEG,278.3432922363281
28,20,8,1693.6455078125,278.6844482421875,0.4046953618526459,0.0,2,0,2000-06-01,WI_2,MULTISEG,278.6844482421875
28,20,9,1696.42529296875,279.06878662109375,0.7626076936721802,0.0,3,0,2000-06-01,WI_2,MULTISEG,279.06878662109375
28,20,10,1699.205078125,279.3100280761719,0.9154297113418579,0.0,4,0,2000-06-01,WI_2,MULTISEG,279.3100280761719
18,29,2,1651.0101318359375,276.7808837890625,0.034989167004823685,0.0,1,0,2001-01-01,OP_4,MULTISEG,276.7808837890625
18,29,3,1653.5028076171875,276.9387512207031,0.03893199935555458,0.0,2,0,2001-01-01,OP_4,MULTISEG,276.9387512207031
18,29,4,1655.9952392578125,277.0968017578125,0.08389555662870407,0.0,3,0,2001-01-01,OP_4,MULTISEG,277.0968017578125
18,29,5,1658.4879150390625,277.25543212890625,0.0941445454955101,0.0,4,0,2001-01-01,OP_4,MULTISEG,277.25543212890625
18,29,10,1671.4375,278.2497253417969,0.36020103096961975,0.0,5,0,2001-01-01,OP_4,MULTISEG,278.2497253417969
18,29,11,1674.09033203125,278.4209289550781,0.08776751905679703,0.0,6,0,2001-01-01,OP_4,MULTISEG,278.4209289550781
18,29,12,1676.795166015625,278.5921325683594,0.11192404478788376,0.0,7,0,2001-01-01,OP_4,MULTISEG,278.5921325683594
18,29,13,1679.5,278.7638244628906,0.17167377471923828,0.0,8,0,2001-01-01,OP_4,MULTISEG,278.7638244628906
18,29,14,1682.2047119140625,278.93572998046875,0.26068559288978577,0.0,9,0,2001-01-01,OP_4,MULTISEG,278.93572998046875
24,37,1,1612.149658203125,271.5328369140625,0.03305188938975334,0.0,1,0,2001-01-01,OP_5,MULTISEG,271.5328369140625
24,37,2,1615.7716064453125,271.7607421875,0.04221699386835098,0.0,2,0,2001-01-01,OP_5,MULTISEG,271.7607421875
24,37,3,1619.393798828125,271.9893798828125,0.03791409730911255,0.0,3,0,2001-01-01,OP_5,MULTISEG,271.9893798828125
24,37,4,1623.0159912109375,272.2184143066406,0.04189961031079292,0.0,4,0,2001-01-01,OP_5,MULTISEG,272.2184143066406
24,37,5,1626.637939453125,272.4470520019531,0.047329820692539215,0.0,5,0,2001-01-01,OP_5,MULTISEG,272.4470520019531
25,37,11,1635.0120849609375,272.5442199707031,0.03955531865358353,0.0,6,0,2001-01-01,OP_5,MULTISEG,272.5442199707031
25,37,12,1638.0489501953125,272.7362976074219,0.04160591587424278,0.0,7,0,2001-01-01,OP_5,MULTISEG,272.7362976074219
25,37,13,1641.0860595703125,272.9284973144531,0.04260473698377609,0.0,8,0,2001-01-01,OP_5,MULTISEG,272.9284973144531
25,37,14,1644.123046875,273.1206359863281,0.04791712388396263,0.0,9,0,2001-01-01,OP_5,MULTISEG,273.1206359863281
16,10,6,1714.9407958984375,276.19439697265625,1.0,3.3660910170318914e-10,1,0,2001-03-01,WI_3,MULTISEG,276.19439697265625
16,10,7,1717.1810302734375,276.33642578125,1.0,-1.9586653479675142e-11,2,0,2001-03-01,WI_3,MULTISEG,276.33642578125
16,10,8,1719.421142578125,276.54443359375,1.0,7.92388210602013e-10,3,0,2001-03-01,WI_3,MULTISEG,276.54443359375
16,10,9,1721.66162109375,276.7525329589844,1.0,8.925015726468644e-10,4,0,2001-03-01,WI_3,MULTISEG,276.7525329589844
16,10,10,1723.902099609375,276.9608154296875,1.0,6.118210937877677e-10,5,0,2001-03-01,WI_3,MULTISEG,276.9608154296875
