CONBPRES,DRAWDOWN,PRESSURE,DATE,CONKPOS,SWAT,WELLMODEL,CONIDX,CONIPOS,WELL,CONJPOS,DEPTH,SGAS
300.86541748046875,0,300.86541748046875,2018-01-01,2,0.05853821709752083,STANDARD,2,22,R_A2,30,1643.3291015625,0.0
300.9897155761719,0,300.9897155761719,2018-01-01,3,0.06140279024839401,STANDARD,3,22,R_A2,30,1645.182861328125,0.0
301.1140441894531,0,301.1140441894531,2018-01-01,4,0.06677734851837158,STANDARD,4,22,R_A2,30,1647.03662109375,0.0
301.23834228515625,0,301.23834228515625,2018-01-01,5,0.0701945573091507,STANDARD,5,22,R_A2,30,1648.8905029296875,0.0
301.3626708984375,0,301.3626708984375,2018-01-01,6,0.30043333768844604,STANDARD,6,22,R_A2,30,1650.7442626953125,0.0
301.48699951171875,0,301.48699951171875,2018-01-01,7,0.8942426443099976,STANDARD,7,22,R_A2,30,1652.5980224609375,0.0
301.611328125,0,301.611328125,2018-01-01,8,0.8824984431266785,STANDARD,8,22,R_A2,30,1654.4517822265625,0.0
301.73565673828125,0,301.73565673828125,2018-01-01,9,0.902656078338623,STANDARD,9,22,R_A2,30,1656.3055419921875,0.0
301.8599853515625,0,301.8599853515625,2018-01-01,10,0.9068346619606018,STANDARD,10,22,R_A2,30,1658.1593017578125,0.0
301.9903564453125,0,301.9903564453125,2018-01-01,11,0.07573383301496506,STANDARD,11,22,R_A2,30,1660.10302734375,0.0
302.12677001953125,0,302.12677001953125,2018-01-01,12,0.15166723728179932,STANDARD,12,22,R_A2,30,1662.1365966796875,0.0
302.26318359375,0,302.26318359375,2018-01-01,13,0.4548760950565338,STANDARD,13,22,R_A2,30,1664.170166015625,0.0
302.39959716796875,0,302.39959716796875,2018-01-01,14,0.5100532174110413,STANDARD,14,22,R_A2,30,1666.203857421875,0.0
302.2123107910156,0,302.2123107910156,2018-01-01,14,0.4898194968700409,STANDARD,15,22,R_A2,29,1663.412109375,0.0
302.3623046875,0,302.3623046875,2018-01-01,15,0.9186163544654846,STANDARD,16,22,R_A2,29,1665.64794921875,0.0
302.51226806640625,0,302.51226806640625,2018-01-01,16,0.9510767459869385,STANDARD,17,22,R_A2,29,1667.8837890625,0.0
302.6622619628906,0,302.6622619628906,2018-01-01,17,0.9061416983604431,STANDARD,18,22,R_A2,29,1670.1195068359375,0.0
302.8023376464844,0,302.8023376464844,2018-01-01,18,0.9581354260444641,STANDARD,19,22,R_A2,29,1672.2076416015625,0.0
302.93768310546875,0,302.93768310546875,2018-01-01,27,1.0,STANDARD,20,22,R_A2,29,1674.224853515625,0.0
