CONKPOS,CONBPRES,DEPTH,WELLMODEL,DATE,PRESSURE,WELL,SGAS,SWAT,CONJPOS,CONIDX,CONIPOS,DRAWDOWN
1,300.5567626953125,1639.0640869140625,STANDARD,2018-01-01,300.5567626953125,R_A2,0.0,0.05413757264614105,30,1,22,0
2,300.6799011230469,1640.900390625,STANDARD,2018-01-01,300.6799011230469,R_A2,0.0,0.05641736090183258,30,2,22,0
3,300.8030090332031,1642.7366943359375,STANDARD,2018-01-01,300.8030090332031,R_A2,0.0,0.058919403702020645,30,3,22,0
4,300.9261474609375,1644.572998046875,STANDARD,2018-01-01,300.9261474609375,R_A2,0.0,0.06460520625114441,30,4,22,0
5,301.0492858886719,1646.4091796875,STANDARD,2018-01-01,301.0492858886719,R_A2,0.0,0.06928034126758575,30,5,22,0
6,301.17242431640625,1648.2454833984375,STANDARD,2018-01-01,301.17242431640625,R_A2,0.0,0.2982481122016907,30,6,22,0
7,301.2955627441406,1650.081787109375,STANDARD,2018-01-01,301.2955627441406,R_A2,0.0,0.8844298124313354,30,7,22,0
8,301.4187316894531,1651.9180908203125,STANDARD,2018-01-01,301.4187316894531,R_A2,0.0,0.8604380488395691,30,8,22,0
9,301.5418701171875,1653.7542724609375,STANDARD,2018-01-01,301.5418701171875,R_A2,0.0,0.6481541991233826,30,9,22,0
10,301.6650085449219,1655.590576171875,STANDARD,2018-01-01,301.6650085449219,R_A2,0.0,0.9113845825195312,30,10,22,0
11,301.7926330566406,1657.4931640625,STANDARD,2018-01-01,301.7926330566406,R_A2,0.0,0.07356243580579758,30,11,22,0
12,301.9246826171875,1659.4617919921875,STANDARD,2018-01-01,301.9246826171875,R_A2,0.0,0.0744614526629448,30,12,22,0
13,302.0567321777344,1661.4305419921875,STANDARD,2018-01-01,302.0567321777344,R_A2,0.0,0.432929664850235,30,13,22,0
14,302.18878173828125,1663.3992919921875,STANDARD,2018-01-01,302.18878173828125,R_A2,0.0,0.48572710156440735,30,14,22,0
15,302.3208312988281,1665.3680419921875,STANDARD,2018-01-01,302.3208312988281,R_A2,0.0,0.6679051518440247,30,15,22,0
16,302.4529113769531,1667.3367919921875,STANDARD,2018-01-01,302.4529113769531,R_A2,0.0,0.9865660071372986,30,16,22,0
17,302.7122497558594,1671.20263671875,STANDARD,2018-01-01,302.7122497558594,R_A2,0.0,0.9446235299110413,29,17,22,0
