,RWI_3_OBS,RWI_2_OBS,ROP_5_OBS,ROP_4_OBS,WBP9_OP_1,WBP9_OP_2,WBP9_OP_3,WBP9_OP_4,WBP9_OP_5,WGOR_OP_1,WGOR_OP_2,WGOR_OP_3,WGOR_OP_4,WGOR_OP_5,WWCT_OP_1,WWCT_OP_2,WWCT_OP_3,WWCT_OP_4,WWCT_OP_5,All_obs,All_obs-RWI_3_OBS,All_obs-RWI_2_OBS,All_obs-ROP_5_OBS,All_obs-ROP_4_OBS,All_obs-WBP9_OP_1,All_obs-WBP9_OP_2,All_obs-WBP9_OP_3,All_obs-WBP9_OP_4,All_obs-WBP9_OP_5,All_obs-WGOR_OP_1,All_obs-WGOR_OP_2,All_obs-WGOR_OP_3,All_obs-WGOR_OP_4,All_obs-WGOR_OP_5,All_obs-WWCT_OP_1,All_obs-WWCT_OP_2,All_obs-WWCT_OP_3,All_obs-WWCT_OP_4,All_obs-WWCT_OP_5
INTERPOLATE_RELPERM:INTERPOLATE_GO,0.16,0.28,0.48,0.2,0.2,0.32,0.08,0.12,0.16,0.28,0.08,0.16,0.12,0.12,0.12,0.36,0.36,0.08,0.4,0.68,0.68,0.36,0.52,0.64,0.64,0.6,0.6,0.56,0.6,0.68,0.6,0.6,0.68,0.64,0.64,0.72,0.64,0.6,0.64
INTERPOLATE_RELPERM:INTERPOLATE_WO,0.16,0.28,0.4,0.2,0.04,0.12,0.08,0.12,0.08,0.28,0.16,0.08,0.04,0.16,0.24,0.4,0.16,0.08,0.2,0.56,0.4,0.2,0.56,0.52,0.6,0.64,0.68,0.56,0.6,0.76,0.8,0.64,0.6,0.56,0.6,0.48,0.6,0.6,0.4
MULTFLT:MULTFLT_F1,0.16,0.72,0.2,0.32,0.04,0.16,0.08,0.08,0.08,0.12,0.08,0.04,0.08,0.08,0.12,0.08,0.12,0.12,0.28,0.76,0.8,0.36,0.84,0.8,0.8,0.84,0.8,0.8,0.76,0.84,0.88,0.76,0.84,0.84,0.84,0.4,0.8,0.76,0.68
MULTFLT:MULTFLT_F2,0.12,0.6,0.48,0.44,0.12,0.16,0.08,0.08,0.08,0.12,0.12,0.12,0.16,0.16,0.12,0.2,0.12,0.12,0.28,0.56,0.52,0.44,0.52,0.72,0.6,0.56,0.56,0.56,0.56,0.56,0.64,0.56,0.56,0.56,0.56,0.52,0.6,0.56,0.52
MULTFLT:MULTFLT_F3,0.16,0.4,0.2,0.16,0.08,0.16,0.08,0.08,0.08,0.12,0.08,0.08,0.08,0.2,0.16,0.2,0.08,0.08,0.2,0.72,0.8,0.32,0.72,0.68,0.68,0.72,0.68,0.72,0.72,0.76,0.8,0.72,0.72,0.68,0.72,0.68,0.76,0.68,0.72
MULTFLT:MULTFLT_F4,0.2,0.48,0.08,0.16,0.08,0.36,0.08,0.04,0.08,0.2,0.08,0.08,0.08,0.08,0.12,0.16,0.2,0.12,0.2,0.84,0.72,0.36,0.84,0.8,0.84,0.84,0.8,0.84,0.8,0.96,0.88,0.84,0.8,0.84,0.8,0.68,0.88,0.8,0.84
MULTFLT:MULTFLT_F5,0.28,0.52,0.24,0.16,0.16,0.28,0.12,0.08,0.08,0.12,0.08,0.08,0.12,0.16,0.12,0.16,0.12,0.2,0.16,0.56,0.68,0.16,0.56,0.64,0.6,0.52,0.56,0.56,0.52,0.6,0.64,0.56,0.56,0.56,0.6,0.72,0.68,0.6,0.52
MULTZ:MULTZ_LOWREEK,0.24,0.76,0.4,0.2,0.08,0.16,0.08,0.08,0.08,0.08,0.16,0.12,0.08,0.08,0.12,0.2,0.24,0.12,0.16,0.76,0.76,0.28,0.8,0.84,0.84,0.76,0.8,0.8,0.84,0.88,0.84,0.8,0.8,0.84,0.84,0.48,0.8,0.8,0.76
MULTZ:MULTZ_MIDREEK,0.24,0.76,0.68,0.28,0.12,0.16,0.12,0.16,0.12,0.2,0.08,0.08,0.08,0.08,0.08,0.28,0.16,0.12,0.16,0.68,0.56,0.28,0.76,0.6,0.68,0.68,0.68,0.72,0.68,0.68,0.76,0.68,0.68,0.72,0.76,0.36,0.68,0.64,0.6
RMSGLOBPARAMS:FWL,0.2,0.64,0.24,0.2,0.04,0.12,0.08,0.04,0.12,0.24,0.08,0.12,0.08,0.04,0.12,0.28,0.2,0.24,0.4,0.36,0.24,0.76,0.4,0.36,0.36,0.36,0.32,0.36,0.28,0.32,0.36,0.32,0.32,0.36,0.28,0.64,0.36,0.36,0.4
FIELD_G1,0.28,0.88,0.48,0.4,0.16,0.32,0.24,0.16,0.2,0.36,0.16,0.16,0.2,0.2,0.2,0.44,0.4,0.32,0.6,0.92,0.92,0.72,0.88,0.92,0.92,0.92,0.88,0.92,0.88,0.96,0.92,0.92,0.92,0.92,0.92,0.92,0.88,0.92,0.88
FIELD_G2,0.32,0.84,0.48,0.4,0.28,0.32,0.16,0.16,0.2,0.4,0.16,0.12,0.12,0.24,0.24,0.48,0.32,0.24,0.56,0.88,0.88,0.76,0.92,0.96,0.92,0.88,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.96,0.92,0.88,0.88
