DRAWDOWN,WELLMODEL,DEPTH,CONKPOS,WELL,CONJPOS,PRESSURE,CONIPOS,DATE,SWAT,CONBPRES,SGAS,CONIDX
0,STANDARD,1641.094970703125,1,R_A2,30,300.6733093261719,22,2018-01-01,0.055880606174468994,300.6733093261719,0.0,1
0,STANDARD,1642.8890380859375,2,R_A2,30,300.7936096191406,22,2018-01-01,0.05794878676533699,300.7936096191406,0.0,2
0,STANDARD,1644.68310546875,3,R_A2,30,300.9139099121094,22,2018-01-01,0.06058797240257263,300.9139099121094,0.0,3
0,STANDARD,1646.4771728515625,4,R_A2,30,301.0342102050781,22,2018-01-01,0.0678098052740097,301.0342102050781,0.0,4
0,STANDARD,1648.2713623046875,5,R_A2,30,301.1545104980469,22,2018-01-01,0.07152793556451797,301.1545104980469,0.0,5
0,STANDARD,1650.0654296875,6,R_A2,30,301.27484130859375,22,2018-01-01,0.14327770471572876,301.27484130859375,0.0,6
0,STANDARD,1651.859619140625,7,R_A2,30,301.3951721191406,22,2018-01-01,0.2598637044429779,301.3951721191406,0.0,7
0,STANDARD,1653.6536865234375,8,R_A2,30,301.5154724121094,22,2018-01-01,0.6481541991233826,301.5154724121094,0.0,8
0,STANDARD,1655.44775390625,9,R_A2,30,301.63580322265625,22,2018-01-01,0.6481541991233826,301.63580322265625,0.0,9
0,STANDARD,1657.2418212890625,10,R_A2,30,301.7561340332031,22,2018-01-01,0.9135551452636719,301.7561340332031,0.0,10
0,STANDARD,1659.1368408203125,11,R_A2,30,301.88323974609375,22,2018-01-01,0.07876349240541458,301.88323974609375,0.0,11
0,STANDARD,1661.132568359375,12,R_A2,30,302.01708984375,22,2018-01-01,0.0862409919500351,302.01708984375,0.0,12
0,STANDARD,1663.12841796875,13,R_A2,30,302.1509704589844,22,2018-01-01,0.4577699303627014,302.1509704589844,0.0,13
0,STANDARD,1665.1241455078125,14,R_A2,30,302.28485107421875,22,2018-01-01,0.519985556602478,302.28485107421875,0.0,14
0,STANDARD,1667.1199951171875,15,R_A2,30,302.4187316894531,22,2018-01-01,0.6918675303459167,302.4187316894531,0.0,15
0,STANDARD,1669.11572265625,16,R_A2,30,302.5526123046875,22,2018-01-01,0.9727101922035217,302.5526123046875,0.0,16
0,STANDARD,1671.111572265625,17,R_A2,30,302.6864929199219,22,2018-01-01,0.9494145512580872,302.6864929199219,0.0,17
0,STANDARD,1672.9881591796875,18,R_A2,30,302.8123779296875,22,2018-01-01,0.9820622205734253,302.8123779296875,0.0,18
0,STANDARD,1674.229736328125,18,R_A2,29,302.89569091796875,22,2018-01-01,0.9921741485595703,302.89569091796875,0.0,19
0,STANDARD,1676.1676025390625,27,R_A2,29,303.02569580078125,22,2018-01-01,0.4947701394557953,303.02569580078125,0.0,20
0,STANDARD,1677.9368896484375,28,R_A2,29,303.47802734375,22,2018-01-01,1.0,303.47802734375,0.0,21
0,STANDARD,1679.7061767578125,29,R_A2,29,303.64569091796875,22,2018-01-01,1.0,303.64569091796875,0.0,22
0,STANDARD,1681.4754638671875,30,R_A2,29,303.8133544921875,22,2018-01-01,1.0,303.8133544921875,0.0,23
0,STANDARD,1683.2447509765625,31,R_A2,29,303.98101806640625,22,2018-01-01,1.0,303.98101806640625,0.0,24
0,STANDARD,1609.243408203125,1,R_A3,41,298.53814697265625,28,2018-01-01,0.30849525332450867,298.53814697265625,0.0,1
0,STANDARD,1611.3077392578125,2,R_A3,41,298.676513671875,28,2018-01-01,0.19968974590301514,298.676513671875,0.0,2
0,STANDARD,1613.3720703125,3,R_A3,41,298.8148498535156,28,2018-01-01,0.19958947598934174,298.8148498535156,0.0,3
0,STANDARD,1615.4365234375,4,R_A3,41,298.9532165527344,28,2018-01-01,0.37015843391418457,298.9532165527344,0.0,4
0,STANDARD,1617.5008544921875,5,R_A3,41,299.0915832519531,28,2018-01-01,0.8261942863464355,299.0915832519531,0.0,5
0,STANDARD,1619.565185546875,6,R_A3,41,299.2299499511719,28,2018-01-01,0.2662692070007324,299.2299499511719,0.0,6
0,STANDARD,1609.3663330078125,6,R_A3,41,298.54638671875,29,2018-01-01,0.6481541991233826,298.54638671875,0.0,7
0,STANDARD,1611.4163818359375,7,R_A3,41,298.68377685546875,29,2018-01-01,0.19361057877540588,298.68377685546875,0.0,8
0,STANDARD,1613.46630859375,8,R_A3,41,298.8211669921875,29,2018-01-01,0.19695129990577698,298.8211669921875,0.0,9
0,STANDARD,1615.516357421875,9,R_A3,41,298.95855712890625,29,2018-01-01,0.7978300452232361,298.95855712890625,0.0,10
0,STANDARD,1617.5662841796875,10,R_A3,41,299.095947265625,29,2018-01-01,0.8037355542182922,299.095947265625,0.0,11
0,STANDARD,1619.750732421875,11,R_A3,41,299.24237060546875,29,2018-01-01,0.0496298223733902,299.24237060546875,0.0,12
0,STANDARD,1622.0697021484375,12,R_A3,41,299.3978271484375,29,2018-01-01,0.053643446415662766,299.3978271484375,0.0,13
0,STANDARD,1624.388671875,13,R_A3,41,299.5532531738281,29,2018-01-01,0.37673479318618774,299.5532531738281,0.0,14
0,STANDARD,1629.026611328125,15,R_A3,41,299.8641662597656,29,2018-01-01,0.5016454458236694,299.8641662597656,0.0,15
0,STANDARD,1630.9468994140625,16,R_A3,41,299.992919921875,29,2018-01-01,0.8152031302452087,299.992919921875,0.0,16
0,STANDARD,1633.5262451171875,27,R_A3,41,300.16583251953125,29,2018-01-01,0.7525281310081482,300.16583251953125,0.0,17
0,STANDARD,1637.1630859375,28,R_A3,41,300.40966796875,29,2018-01-01,0.04628218337893486,300.40966796875,0.0,18
0,STANDARD,1640.8001708984375,29,R_A3,41,300.6535339355469,29,2018-01-01,0.05226979777216911,300.6535339355469,0.0,19
0,STANDARD,1644.4371337890625,30,R_A3,41,300.89739990234375,29,2018-01-01,0.8057911992073059,300.89739990234375,0.0,20
0,STANDARD,1648.0740966796875,31,R_A3,41,301.14129638671875,29,2018-01-01,0.13994601368904114,301.14129638671875,0.0,21
0,STANDARD,1631.1873779296875,1,R_A4,52,300.009033203125,30,2018-01-01,0.05151934176683426,300.009033203125,0.0,1
0,STANDARD,1627.4293212890625,1,R_A4,52,299.7571105957031,31,2018-01-01,0.04863721504807472,299.7571105957031,0.0,2
0,STANDARD,1629.4896240234375,2,R_A4,52,299.89520263671875,31,2018-01-01,0.0520753338932991,299.89520263671875,0.0,3
0,STANDARD,1631.5498046875,3,R_A4,52,300.0333251953125,31,2018-01-01,0.05323897302150726,300.0333251953125,0.0,4
0,STANDARD,1633.610107421875,4,R_A4,52,300.17144775390625,31,2018-01-01,0.0529385581612587,300.17144775390625,0.0,5
0,STANDARD,1632.3968505859375,4,R_A4,52,300.0901184082031,32,2018-01-01,0.056289657950401306,300.0901184082031,0.0,6
0,STANDARD,1635.880615234375,4,R_A4,51,300.3236999511719,32,2018-01-01,0.057290755212306976,300.3236999511719,0.0,7
0,STANDARD,1637.321044921875,4,R_A4,51,300.4202575683594,33,2018-01-01,0.05848418176174164,300.4202575683594,0.0,8
