CONJPOS,DATE,CONBPRES,PRESSURE,SGAS,DRAWDOWN,CONKPOS,WELL,CONIPOS,DEPTH,WELLMODEL,SWAT,CONIDX
30,2018-01-01,300.7296447753906,300.7296447753906,0.0,0,1,R_A2,22,1639.976806640625,STANDARD,0.05257798358798027,1
30,2018-01-01,300.84771728515625,300.84771728515625,0.0,0,2,R_A2,22,1641.737548828125,STANDARD,0.054012347012758255,2
30,2018-01-01,300.9657897949219,300.9657897949219,0.0,0,3,R_A2,22,1643.4981689453125,STANDARD,0.05781162157654762,3
30,2018-01-01,301.0838317871094,301.0838317871094,0.0,0,4,R_A2,22,1645.2589111328125,STANDARD,0.06205658242106438,4
30,2018-01-01,301.201904296875,301.201904296875,0.0,0,5,R_A2,22,1647.0196533203125,STANDARD,0.06481073796749115,5
30,2018-01-01,301.32000732421875,301.32000732421875,0.0,0,6,R_A2,22,1648.7802734375,STANDARD,0.30394628643989563,6
30,2018-01-01,301.4380798339844,301.4380798339844,0.0,0,7,R_A2,22,1650.541015625,STANDARD,0.8635062575340271,7
30,2018-01-01,301.55615234375,301.55615234375,0.0,0,8,R_A2,22,1652.3017578125,STANDARD,0.8491631150245667,8
30,2018-01-01,301.67425537109375,301.67425537109375,0.0,0,9,R_A2,22,1654.0625,STANDARD,0.6481541991233826,9
30,2018-01-01,301.7923278808594,301.7923278808594,0.0,0,10,R_A2,22,1655.8231201171875,STANDARD,0.21873103082180023,10
30,2018-01-01,301.919189453125,301.919189453125,0.0,0,11,R_A2,22,1657.7142333984375,STANDARD,0.06722477823495865,11
30,2018-01-01,302.0547790527344,302.0547790527344,0.0,0,12,R_A2,22,1659.7357177734375,STANDARD,0.07039224356412888,12
30,2018-01-01,302.19036865234375,302.19036865234375,0.0,0,13,R_A2,22,1661.7572021484375,STANDARD,0.4203638434410095,13
30,2018-01-01,302.3259582519531,302.3259582519531,0.0,0,14,R_A2,22,1663.778564453125,STANDARD,0.46971678733825684,14
30,2018-01-01,302.4615478515625,302.4615478515625,0.0,0,15,R_A2,22,1665.800048828125,STANDARD,0.8978968858718872,15
29,2018-01-01,302.7317810058594,302.7317810058594,0.0,0,15,R_A2,22,1669.828369140625,STANDARD,0.9295269846916199,16
29,2018-01-01,302.87530517578125,302.87530517578125,0.0,0,16,R_A2,22,1671.9676513671875,STANDARD,0.9487263560295105,17
29,2018-01-01,303.01885986328125,303.01885986328125,0.0,0,17,R_A2,22,1674.1070556640625,STANDARD,0.9135450124740601,18
29,2018-01-01,303.1474609375,303.1474609375,0.0,0,18,R_A2,22,1676.0240478515625,STANDARD,0.9776027798652649,19
29,2018-01-01,303.2637634277344,303.2637634277344,0.0,0,25,R_A2,22,1677.75732421875,STANDARD,0.6481541991233826,20
29,2018-01-01,303.381591796875,303.381591796875,0.0,0,26,R_A2,22,1679.5135498046875,STANDARD,0.7657334208488464,21
29,2018-01-01,303.4994201660156,303.4994201660156,0.0,0,27,R_A2,22,1681.2696533203125,STANDARD,0.6481541991233826,22
29,2018-01-01,303.96026611328125,303.96026611328125,0.0,0,28,R_A2,22,1683.02587890625,STANDARD,1.0,23
29,2018-01-01,303.8209228515625,303.8209228515625,0.0,0,29,R_A2,22,1684.781982421875,STANDARD,1.0,24
41,2018-01-01,298.6511535644531,298.6511535644531,0.0,0,1,R_A3,28,1608.9713134765625,STANDARD,0.6481541991233826,1
41,2018-01-01,298.7849426269531,298.7849426269531,0.0,0,2,R_A3,28,1610.96728515625,STANDARD,0.19300219416618347,2
41,2018-01-01,298.9187316894531,298.9187316894531,0.0,0,3,R_A3,28,1612.96337890625,STANDARD,0.15447476506233215,3
41,2018-01-01,298.54901123046875,298.54901123046875,0.0,0,4,R_A3,29,1607.44677734375,STANDARD,0.6481541991233826,4
41,2018-01-01,298.6825866699219,298.6825866699219,0.0,0,5,R_A3,29,1609.43994140625,STANDARD,0.8072816133499146,5
41,2018-01-01,298.816162109375,298.816162109375,0.0,0,6,R_A3,29,1611.4329833984375,STANDARD,0.6481541991233826,6
41,2018-01-01,298.9497375488281,298.9497375488281,0.0,0,7,R_A3,29,1613.426025390625,STANDARD,0.19240161776542664,7
41,2018-01-01,299.08331298828125,299.08331298828125,0.0,0,8,R_A3,29,1615.4190673828125,STANDARD,0.19581566751003265,8
41,2018-01-01,299.2168884277344,299.2168884277344,0.0,0,9,R_A3,29,1617.412109375,STANDARD,0.798278272151947,9
41,2018-01-01,299.3504943847656,299.3504943847656,0.0,0,10,R_A3,29,1619.4052734375,STANDARD,0.7886410355567932,10
