ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL
Valysar,WestLowland,4908777,855841,615242,429039,60408656
Valysar,CentralSouth,60358268,11327093,8432613,5880483,827972048
Valysar,CentralNorth,33496707,5752366,4222823,2944786,414625882
Valysar,NorthHorst,2756996,247369,91988,56504,11069080
Valysar,CentralRamp,13747335,2101422,1440925,1004829,141479915
Valysar,CentralHorst,83965845,14456905,11129071,7760859,1092728947
Valysar,EastLowland,288978,72408,25597,17850,2513251
Therys,WestLowland,2193689,419783,200514,139828,19687829
Therys,CentralSouth,8219316,1815911,1108528,773032,108842920
Therys,CentralNorth,17576284,3476470,2015869,1405766,197931870
Therys,NorthHorst,4776451,769296,295459,181486,35553131
Therys,CentralRamp,6771661,1512117,1141398,795954,112070304
Therys,CentralHorst,27416911,6779027,5172348,3606938,507856819
Therys,EastLowland,0,0,0,0,0
Volon,WestLowland,252999,32899,7778,5424,763672
Volon,CentralSouth,26486060,4747904,3044732,2123244,298952746
Volon,CentralNorth,4038314,497048,183002,127616,17968388
Volon,NorthHorst,3010848,559798,399645,245482,48089960
Volon,CentralRamp,11700895,2096601,1584261,1104784,155553638
Volon,CentralHorst,77883766,13908804,10739475,7489174,1054475670
Volon,EastLowland,0,0,0,0,0
