date,amount,phase,containment,zone,region,plume_group
2020-01-01,2135542026.5014682,total,total,all,all,all
2040-01-01,2327591067.47373,total,total,all,all,all
2060-01-01,2531047883.6664314,total,total,all,all,all
2080-01-01,2747323764.405325,total,total,all,all,all
2100-01-01,2977356999.213049,total,total,all,all,all
2120-01-01,3221560904.6193676,total,total,all,all,all
2140-01-01,3479849163.0665483,total,total,all,all,all
2160-01-01,3751747432.99113,total,total,all,all,all
2180-01-01,4036569161.394387,total,total,all,all,all
2200-01-01,4333612742.470046,total,total,all,all,all
2020-01-01,85094021.60202092,aqueous,total,all,all,all
2040-01-01,92647635.08049972,aqueous,total,all,all,all
2060-01-01,100611138.10685953,aqueous,total,all,all,all
2080-01-01,109031672.41634652,aqueous,total,all,all,all
2100-01-01,117939818.01266225,aqueous,total,all,all,all
2120-01-01,127348660.68665889,aqueous,total,all,all,all
2140-01-01,137254823.69576275,aqueous,total,all,all,all
2160-01-01,147642098.34635538,aqueous,total,all,all,all
2180-01-01,158487278.12120748,aqueous,total,all,all,all
2200-01-01,169766858.20713398,aqueous,total,all,all,all
2020-01-01,2050448004.8994472,gas,total,all,all,all
2040-01-01,2234943432.3932304,gas,total,all,all,all
2060-01-01,2430436745.559572,gas,total,all,all,all
2080-01-01,2638292091.9889784,gas,total,all,all,all
2100-01-01,2859417181.200386,gas,total,all,all,all
2120-01-01,3094212243.9327087,gas,total,all,all,all
2140-01-01,3342594339.370785,gas,total,all,all,all
2160-01-01,3604105334.6447744,gas,total,all,all,all
2180-01-01,3878081883.2731795,gas,total,all,all,all
2200-01-01,4163845884.2629123,gas,total,all,all,all
2020-01-01,2087965638.3737245,total,contained,all,all,all
2040-01-01,2251678077.2978234,total,contained,all,all,all
2060-01-01,2415666013.848387,total,contained,all,all,all
2080-01-01,2579081168.274601,total,contained,all,all,all
2100-01-01,2741153829.7049084,total,contained,all,all,all
2120-01-01,2901410024.246522,total,contained,all,all,all
2140-01-01,3059690049.6270003,total,contained,all,all,all
2160-01-01,3216045084.490621,total,contained,all,all,all
2180-01-01,3370609022.283971,total,contained,all,all,all
2200-01-01,3523495224.9857445,total,contained,all,all,all
2020-01-01,83389498.2101489,aqueous,contained,all,all,all
2040-01-01,89927871.19950205,aqueous,contained,all,all,all
2060-01-01,96477247.05614704,aqueous,contained,all,all,all
2080-01-01,103003747.05073021,aqueous,contained,all,all,all
2100-01-01,109476630.35008538,aqueous,contained,all,all,all
2120-01-01,115876967.3107558,aqueous,contained,all,all,all
2140-01-01,122198379.7184083,aqueous,contained,all,all,all
2160-01-01,128442911.55374205,aqueous,contained,all,all,all
2180-01-01,134615910.2741669,aqueous,contained,all,all,all
2200-01-01,140721903.34811714,aqueous,contained,all,all,all
2020-01-01,2004576140.1635756,gas,contained,all,all,all
2040-01-01,2161750206.098321,gas,contained,all,all,all
2060-01-01,2319188766.7922397,gas,contained,all,all,all
2080-01-01,2476077421.2238708,gas,contained,all,all,all
2100-01-01,2631677199.354823,gas,contained,all,all,all
2120-01-01,2785533056.935766,gas,contained,all,all,all
2140-01-01,2937491669.908592,gas,contained,all,all,all
2160-01-01,3087602172.936879,gas,contained,all,all,all
