WELLMODEL,CONJPOS,DRAWDOWN,CONIPOS,WELL,DEPTH,SWAT,DATE,SGAS,CONBPRES,CONIDX,CONKPOS,PRESSURE
STANDARD,30,0,22,R_A2,1641.094970703125,0.055880606174468994,2018-01-01,0.0,300.6733093261719,1,1,300.6733093261719
STANDARD,30,0,22,R_A2,1642.8890380859375,0.05794878676533699,2018-01-01,0.0,300.7936096191406,2,2,300.7936096191406
STANDARD,30,0,22,R_A2,1644.68310546875,0.06058797240257263,2018-01-01,0.0,300.9139099121094,3,3,300.9139099121094
STANDARD,30,0,22,R_A2,1646.4771728515625,0.0678098052740097,2018-01-01,0.0,301.0342102050781,4,4,301.0342102050781
STANDARD,30,0,22,R_A2,1648.2713623046875,0.07152793556451797,2018-01-01,0.0,301.1545104980469,5,5,301.1545104980469
STANDARD,30,0,22,R_A2,1650.0654296875,0.14327770471572876,2018-01-01,0.0,301.27484130859375,6,6,301.27484130859375
STANDARD,30,0,22,R_A2,1651.859619140625,0.2598637044429779,2018-01-01,0.0,301.3951721191406,7,7,301.3951721191406
STANDARD,30,0,22,R_A2,1653.6536865234375,0.6481541991233826,2018-01-01,0.0,301.5154724121094,8,8,301.5154724121094
STANDARD,30,0,22,R_A2,1655.44775390625,0.6481541991233826,2018-01-01,0.0,301.63580322265625,9,9,301.63580322265625
STANDARD,30,0,22,R_A2,1657.2418212890625,0.9135551452636719,2018-01-01,0.0,301.7561340332031,10,10,301.7561340332031
STANDARD,30,0,22,R_A2,1659.1368408203125,0.07876349240541458,2018-01-01,0.0,301.88323974609375,11,11,301.88323974609375
STANDARD,30,0,22,R_A2,1661.132568359375,0.0862409919500351,2018-01-01,0.0,302.01708984375,12,12,302.01708984375
STANDARD,30,0,22,R_A2,1663.12841796875,0.4577699303627014,2018-01-01,0.0,302.1509704589844,13,13,302.1509704589844
STANDARD,30,0,22,R_A2,1665.1241455078125,0.519985556602478,2018-01-01,0.0,302.28485107421875,14,14,302.28485107421875
STANDARD,30,0,22,R_A2,1667.1199951171875,0.6918675303459167,2018-01-01,0.0,302.4187316894531,15,15,302.4187316894531
STANDARD,30,0,22,R_A2,1669.11572265625,0.9727101922035217,2018-01-01,0.0,302.5526123046875,16,16,302.5526123046875
STANDARD,30,0,22,R_A2,1671.111572265625,0.9494145512580872,2018-01-01,0.0,302.6864929199219,17,17,302.6864929199219
STANDARD,30,0,22,R_A2,1672.9881591796875,0.9820622205734253,2018-01-01,0.0,302.8123779296875,18,18,302.8123779296875
