DATE,DRAWDOWN,WELL,DEPTH,SWAT,CONIPOS,SGAS,CONJPOS,CONKPOS,WELLMODEL,PRESSURE,CONIDX,CONBPRES
2018-01-01,0,R_A2,1641.0413818359375,0.21657080948352814,22,0.0,30,1,STANDARD,300.8007507324219,1,300.8007507324219
2018-01-01,0,R_A2,1642.7857666015625,0.056786950677633286,22,0.0,30,2,STANDARD,300.917724609375,2,300.917724609375
2018-01-01,0,R_A2,1644.5302734375,0.05907762795686722,22,0.0,30,3,STANDARD,301.0346984863281,3,301.0346984863281
2018-01-01,0,R_A2,1646.274658203125,0.06377188116312027,22,0.0,30,4,STANDARD,301.1517028808594,4,301.1517028808594
2018-01-01,0,R_A2,1648.0191650390625,0.0652642473578453,22,0.0,30,5,STANDARD,301.2686767578125,5,301.2686767578125
2018-01-01,0,R_A2,1649.763671875,0.6481541991233826,22,0.0,30,6,STANDARD,301.3856506347656,6,301.3856506347656
2018-01-01,0,R_A2,1651.508056640625,0.8741024732589722,22,0.0,30,7,STANDARD,301.5026550292969,7,301.5026550292969
2018-01-01,0,R_A2,1653.2525634765625,0.8540837168693542,22,0.0,30,8,STANDARD,301.6196594238281,8,301.6196594238281
2018-01-01,0,R_A2,1654.9970703125,0.6481541991233826,22,0.0,30,9,STANDARD,301.7366638183594,9,301.7366638183594
2018-01-01,0,R_A2,1656.741455078125,0.8787515759468079,22,0.0,30,10,STANDARD,301.8536682128906,10,301.8536682128906
2018-01-01,0,R_A2,1658.6214599609375,0.06797335296869278,22,0.0,30,11,STANDARD,301.979736328125,11,301.979736328125
2018-01-01,0,R_A2,1660.636962890625,0.07026609033346176,22,0.0,30,12,STANDARD,302.11492919921875,12,302.11492919921875
2018-01-01,0,R_A2,1662.65234375,0.4279898405075073,22,0.0,30,13,STANDARD,302.2501220703125,13,302.2501220703125
2018-01-01,0,R_A2,1664.66796875,0.4734821319580078,22,0.0,30,14,STANDARD,302.3853454589844,14,302.3853454589844
