DRAWDOWN,CONIPOS,SGAS,DATE,CONJPOS,WELL,SWAT,WELLMODEL,DEPTH,PRESSURE,CONIDX,CONBPRES,CONKPOS
0,22,0.0,2018-01-01,30,R_A2,0.07572369277477264,STANDARD,1660.804443359375,302.1206359863281,12,302.1206359863281,12
0,22,0.0,2018-01-01,30,R_A2,0.42952266335487366,STANDARD,1662.855224609375,302.2582092285156,13,302.2582092285156,13
0,22,0.0,2018-01-01,30,R_A2,0.45849689841270447,STANDARD,1664.9058837890625,302.395751953125,14,302.395751953125,14
0,22,0.0,2018-01-01,30,R_A2,0.9043474197387695,STANDARD,1666.9566650390625,302.5333251953125,15,302.5333251953125,15
0,22,0.0,2018-01-01,30,R_A2,0.9204286932945251,STANDARD,1669.00732421875,302.6708984375,16,302.6708984375,16
0,22,0.0,2018-01-01,30,R_A2,0.8632332682609558,STANDARD,1671.05810546875,302.8084716796875,17,302.8084716796875,17
0,22,0.0,2018-01-01,29,R_A2,0.9379727840423584,STANDARD,1675.115234375,303.0806884765625,18,303.0806884765625,17
0,22,0.0,2018-01-01,29,R_A2,0.9814952611923218,STANDARD,1676.9560546875,303.2041931152344,19,303.2041931152344,18
0,22,0.0,2018-01-01,29,R_A2,0.8963003754615784,STANDARD,1678.61669921875,303.31561279296875,20,303.31561279296875,25
0,22,0.0,2018-01-01,29,R_A2,0.8287540674209595,STANDARD,1680.3116455078125,303.4293212890625,21,303.4293212890625,26
0,22,0.0,2018-01-01,29,R_A2,1.0,STANDARD,1682.0064697265625,303.8636779785156,22,303.8636779785156,27
0,22,0.0,2018-01-01,29,R_A2,1.0,STANDARD,1683.701416015625,304.0242919921875,23,304.0242919921875,28
0,22,0.0,2018-01-01,29,R_A2,1.0,STANDARD,1685.3963623046875,303.8791198730469,24,303.8791198730469,29
0,28,0.0,2018-01-01,41,R_A3,0.6481541991233826,STANDARD,1609.523681640625,298.682373046875,1,298.682373046875,1
0,28,0.0,2018-01-01,41,R_A3,0.1923508197069168,STANDARD,1611.530517578125,298.81689453125,2,298.81689453125,2
0,28,0.0,2018-01-01,41,R_A3,0.16927535831928253,STANDARD,1613.537353515625,298.9513854980469,3,298.9513854980469,3
0,29,0.0,2018-01-01,41,R_A3,0.18345019221305847,STANDARD,1602.7911376953125,298.231201171875,4,298.231201171875,3
0,29,0.0,2018-01-01,41,R_A3,0.355380654335022,STANDARD,1604.9249267578125,298.37420654296875,5,298.37420654296875,4
0,29,0.0,2018-01-01,41,R_A3,0.8034929037094116,STANDARD,1607.058837890625,298.5171813964844,6,298.5171813964844,5
0,29,0.0,2018-01-01,41,R_A3,0.6481541991233826,STANDARD,1609.192626953125,298.6601867675781,7,298.6601867675781,6
0,29,0.0,2018-01-01,41,R_A3,0.19187691807746887,STANDARD,1611.3265380859375,298.80322265625,8,298.80322265625,7
0,29,0.0,2018-01-01,41,R_A3,0.1948765069246292,STANDARD,1613.46044921875,298.94622802734375,9,298.94622802734375,8
0,29,0.0,2018-01-01,41,R_A3,0.7936868667602539,STANDARD,1615.59423828125,299.0892333984375,10,299.0892333984375,9
0,29,0.0,2018-01-01,41,R_A3,0.18959344923496246,STANDARD,1617.72802734375,299.2322692871094,11,299.2322692871094,10
0,29,0.0,2018-01-01,41,R_A3,0.04839954152703285,STANDARD,1619.9471435546875,299.3810119628906,12,299.3810119628906,11
0,29,0.0,2018-01-01,41,R_A3,0.05293744429945946,STANDARD,1622.25146484375,299.5354919433594,13,299.5354919433594,12
0,29,0.0,2018-01-01,41,R_A3,0.22614189982414246,STANDARD,1624.5557861328125,299.68994140625,14,299.68994140625,13
0,29,0.0,2018-01-01,41,R_A3,0.18440355360507965,STANDARD,1626.860107421875,299.84442138671875,15,299.84442138671875,14
0,29,0.0,2018-01-01,41,R_A3,0.48941394686698914,STANDARD,1629.1644287109375,299.9989013671875,16,299.9989013671875,15
0,29,0.0,2018-01-01,41,R_A3,0.7984084486961365,STANDARD,1631.1273193359375,300.1304931640625,17,300.1304931640625,16
0,29,0.0,2018-01-01,41,R_A3,0.6481541991233826,STANDARD,1633.9110107421875,300.317138671875,18,300.317138671875,25
0,29,0.0,2018-01-01,41,R_A3,0.044592998921871185,STANDARD,1637.5665283203125,300.5622253417969,19,300.5622253417969,26
0,29,0.0,2018-01-01,41,R_A3,0.04826978221535683,STANDARD,1641.22216796875,300.8073425292969,20,300.8073425292969,27
0,29,0.0,2018-01-01,41,R_A3,0.6481541991233826,STANDARD,1644.877685546875,301.0524597167969,21,301.0524597167969,28
0,29,0.0,2018-01-01,41,R_A3,0.19755451381206512,STANDARD,1648.533203125,301.297607421875,22,301.297607421875,29
0,30,0.0,2018-01-01,52,R_A4,0.04942541569471359,STANDARD,1631.989501953125,300.18829345703125,1,300.18829345703125,1
0,31,0.0,2018-01-01,52,R_A4,0.0478704534471035,STANDARD,1627.0677490234375,299.85833740234375,2,299.85833740234375,1
0,31,0.0,2018-01-01,52,R_A4,0.048273716121912,STANDARD,1629.076904296875,299.9930419921875,3,299.9930419921875,2
0,31,0.0,2018-01-01,52,R_A4,0.050164952874183655,STANDARD,1631.0860595703125,300.12774658203125,4,300.12774658203125,3
