CONIPOS,DATE,CONBPRES,DEPTH,SGAS,WELLMODEL,SWAT,CONIDX,CONKPOS,DRAWDOWN,PRESSURE,WELL,CONJPOS
22,2018-01-01,300.82965087890625,1643.3646240234375,0.0,STANDARD,0.058775633573532104,1,1,0,300.82965087890625,R_A2,30
22,2018-01-01,300.94818115234375,1645.132568359375,0.0,STANDARD,0.05979630723595619,2,2,0,300.94818115234375,R_A2,30
22,2018-01-01,301.0667419433594,1646.9002685546875,0.0,STANDARD,0.06345751136541367,3,3,0,301.0667419433594,R_A2,30
22,2018-01-01,301.1852722167969,1648.66796875,0.0,STANDARD,0.06938081234693527,4,4,0,301.1852722167969,R_A2,30
22,2018-01-01,301.3038330078125,1650.435791015625,0.0,STANDARD,0.07282285392284393,5,5,0,301.3038330078125,R_A2,30
22,2018-01-01,301.4223937988281,1652.20361328125,0.0,STANDARD,0.31823402643203735,6,6,0,301.4223937988281,R_A2,30
22,2018-01-01,301.54095458984375,1653.971435546875,0.0,STANDARD,0.8942761421203613,7,7,0,301.54095458984375,R_A2,30
22,2018-01-01,301.6595153808594,1655.7392578125,0.0,STANDARD,0.8854195475578308,8,8,0,301.6595153808594,R_A2,30
22,2018-01-01,301.778076171875,1657.507080078125,0.0,STANDARD,0.9048735499382019,9,9,0,301.778076171875,R_A2,30
22,2018-01-01,301.8966369628906,1659.2747802734375,0.0,STANDARD,0.2020527571439743,10,10,0,301.8966369628906,R_A2,30
22,2018-01-01,302.02276611328125,1661.155029296875,0.0,STANDARD,0.07980559766292572,11,11,0,302.02276611328125,R_A2,30
22,2018-01-01,302.15643310546875,1663.1478271484375,0.0,STANDARD,0.31255337595939636,12,12,0,302.15643310546875,R_A2,30
22,2018-01-01,302.29010009765625,1665.140625,0.0,STANDARD,0.4777488708496094,13,13,0,302.29010009765625,R_A2,30
22,2018-01-01,302.42376708984375,1667.13330078125,0.0,STANDARD,0.5294480323791504,14,14,0,302.42376708984375,R_A2,30
22,2018-01-01,302.55743408203125,1669.1260986328125,0.0,STANDARD,0.9795082211494446,15,15,0,302.55743408203125,R_A2,30
22,2018-01-01,302.6911315917969,1671.118896484375,0.0,STANDARD,0.9954913854598999,16,16,0,302.6911315917969,R_A2,30
22,2018-01-01,302.8617248535156,1673.6617431640625,0.0,STANDARD,1.0,17,16,0,302.8617248535156,R_A2,29
22,2018-01-01,303.002197265625,1675.75537109375,0.0,STANDARD,1.0,18,17,0,303.002197265625,R_A2,29
22,2018-01-01,303.2914123535156,1677.5364990234375,0.0,STANDARD,1.0,19,18,0,303.2914123535156,R_A2,29
22,2018-01-01,303.5898742675781,1679.116943359375,0.0,STANDARD,1.0,20,28,0,303.5898742675781,R_A2,29
22,2018-01-01,303.7502136230469,1680.8089599609375,0.0,STANDARD,1.0,21,29,0,303.7502136230469,R_A2,29
22,2018-01-01,303.9105529785156,1682.5010986328125,0.0,STANDARD,1.0,22,30,0,303.9105529785156,R_A2,29
22,2018-01-01,304.0708923339844,1684.1932373046875,0.0,STANDARD,1.0,23,31,0,304.0708923339844,R_A2,29
22,2018-01-01,304.23126220703125,1685.8853759765625,0.0,STANDARD,1.0,24,32,0,304.23126220703125,R_A2,29
28,2018-01-01,298.66925048828125,1611.1376953125,0.0,STANDARD,0.37198182940483093,1,1,0,298.66925048828125,R_A3,41
28,2018-01-01,298.8023986816406,1613.12451171875,0.0,STANDARD,0.19785454869270325,2,2,0,298.8023986816406,R_A3,41
28,2018-01-01,298.9355773925781,1615.111328125,0.0,STANDARD,0.23151031136512756,3,3,0,298.9355773925781,R_A3,41
28,2018-01-01,299.0687255859375,1617.09814453125,0.0,STANDARD,0.20325717329978943,4,4,0,299.0687255859375,R_A3,41
29,2018-01-01,298.43682861328125,1607.6695556640625,0.0,STANDARD,0.1994219571352005,5,4,0,298.43682861328125,R_A3,41
29,2018-01-01,298.56787109375,1609.6248779296875,0.0,STANDARD,0.8102025389671326,6,5,0,298.56787109375,R_A3,41
29,2018-01-01,298.6988830566406,1611.580078125,0.0,STANDARD,0.6481541991233826,7,6,0,298.6988830566406,R_A3,41
29,2018-01-01,298.8299255371094,1613.5352783203125,0.0,STANDARD,0.19945494830608368,8,7,0,298.8299255371094,R_A3,41
29,2018-01-01,298.9609680175781,1615.490478515625,0.0,STANDARD,0.20047754049301147,9,8,0,298.9609680175781,R_A3,41
29,2018-01-01,299.092041015625,1617.4456787109375,0.0,STANDARD,0.8075610399246216,10,9,0,299.092041015625,R_A3,41
29,2018-01-01,299.22308349609375,1619.4010009765625,0.0,STANDARD,0.808010458946228,11,10,0,299.22308349609375,R_A3,41
29,2018-01-01,299.361572265625,1621.4671630859375,0.0,STANDARD,0.047637466341257095,12,11,0,299.361572265625,R_A3,41
29,2018-01-01,299.50750732421875,1623.6441650390625,0.0,STANDARD,0.055185407400131226,13,12,0,299.50750732421875,R_A3,41
29,2018-01-01,299.6534423828125,1625.8212890625,0.0,STANDARD,0.37179309129714966,14,13,0,299.6534423828125,R_A3,41
29,2018-01-01,299.9453430175781,1630.1754150390625,0.0,STANDARD,0.5030891299247742,15,15,0,299.9453430175781,R_A3,41
29,2018-01-01,300.05682373046875,1631.83837890625,0.0,STANDARD,0.8135742545127869,16,16,0,300.05682373046875,R_A3,41
29,2018-01-01,300.20867919921875,1634.103515625,0.0,STANDARD,1.0,17,28,0,300.20867919921875,R_A3,41
29,2018-01-01,300.4353942871094,1637.4849853515625,0.0,STANDARD,0.04454547539353371,18,29,0,300.4353942871094,R_A3,41
29,2018-01-01,300.6621398925781,1640.866455078125,0.0,STANDARD,0.1583547443151474,19,30,0,300.6621398925781,R_A3,41
29,2018-01-01,300.88885498046875,1644.247802734375,0.0,STANDARD,1.0,20,31,0,300.88885498046875,R_A3,41
29,2018-01-01,301.1156311035156,1647.62939453125,0.0,STANDARD,0.09968689829111099,21,32,0,301.1156311035156,R_A3,41
30,2018-01-01,299.96527099609375,1630.4725341796875,0.0,STANDARD,0.0510127954185009,1,1,0,299.96527099609375,R_A4,52
31,2018-01-01,299.69140625,1626.3875732421875,0.0,STANDARD,0.048913564532995224,2,1,0,299.69140625,R_A4,52
31,2018-01-01,299.8319091796875,1628.4835205078125,0.0,STANDARD,0.050876740366220474,3,2,0,299.8319091796875,R_A4,52
31,2018-01-01,299.972412109375,1630.5794677734375,0.0,STANDARD,0.053176019340753555,4,3,0,299.972412109375,R_A4,52
31,2018-01-01,300.1129455566406,1632.6754150390625,0.0,STANDARD,0.05462334305047989,5,4,0,300.1129455566406,R_A4,52
31,2018-01-01,300.2534484863281,1634.7713623046875,0.0,STANDARD,0.05868609622120857,6,5,0,300.2534484863281,R_A4,52
32,2018-01-01,300.20654296875,1634.071533203125,0.0,STANDARD,0.05664799362421036,7,5,0,300.20654296875,R_A4,52
32,2018-01-01,300.28314208984375,1635.2138671875,0.0,STANDARD,0.060270536690950394,8,5,0,300.28314208984375,R_A4,51
32,2018-01-01,300.1606750488281,1633.3875732421875,0.0,STANDARD,0.05598202347755432,9,4,0,300.1606750488281,R_A4,51
33,2018-01-01,300.33428955078125,1635.976806640625,0.0,STANDARD,0.057385221123695374,10,4,0,300.33428955078125,R_A4,51
33,2018-01-01,300.4567565917969,1637.8035888671875,0.0,STANDARD,0.6481541991233826,11,5,0,300.4567565917969,R_A4,51
33,2018-01-01,300.6812744140625,1641.15185546875,0.0,STANDARD,0.8685240745544434,12,5,0,300.6812744140625,R_A4,50
34,2018-01-01,300.64556884765625,1640.619384765625,0.0,STANDARD,0.6481541991233826,13,5,0,300.64556884765625,R_A4,50
34,2018-01-01,300.5173645019531,1638.707275390625,0.0,STANDARD,0.0794534906744957,14,4,0,300.5173645019531,R_A4,50
35,2018-01-01,300.7975769042969,1642.8863525390625,0.0,STANDARD,0.13519178330898285,15,4,0,300.7975769042969,R_A4,50
35,2018-01-01,300.67431640625,1641.048095703125,0.0,STANDARD,0.26673561334609985,16,3,0,300.67431640625,R_A4,50
35,2018-01-01,300.77703857421875,1642.580322265625,0.0,STANDARD,0.16579578816890717,17,3,0,300.77703857421875,R_A4,49
35,2018-01-01,300.64984130859375,1640.6832275390625,0.0,STANDARD,0.2327759563922882,18,2,0,300.64984130859375,R_A4,49
35,2018-01-01,300.52264404296875,1638.7860107421875,0.0,STANDARD,0.23434656858444214,19,1,0,300.52264404296875,R_A4,49
36,2018-01-01,300.86175537109375,1643.84375,0.0,STANDARD,0.09949681162834167,20,31,0,300.86175537109375,R_A4,49
36,2018-01-01,300.62164306640625,1640.2625732421875,0.0,STANDARD,0.18902890384197235,21,31,0,300.62164306640625,R_A4,48
37,2018-01-01,301.1798400878906,1648.5869140625,0.0,STANDARD,0.2300979495048523,22,31,0,301.1798400878906,R_A4,48
37,2018-01-01,300.7955627441406,1642.856201171875,0.0,STANDARD,0.2137930691242218,23,30,0,300.7955627441406,R_A4,48
38,2018-01-01,301.4313049316406,1652.3365478515625,0.0,STANDARD,0.6481541991233826,24,30,0,301.4313049316406,R_A4,48
38,2018-01-01,301.8034362792969,1657.88525390625,0.0,STANDARD,0.25744667649269104,25,30,0,301.8034362792969,R_A4,47
31,2018-01-01,304.19482421875,1685.5009765625,0.0,STANDARD,1.0,1,1,0,304.19482421875,R_A5,20
31,2018-01-01,304.42132568359375,1687.8909912109375,0.0,STANDARD,1.0,2,2,0,304.42132568359375,R_A5,20
31,2018-01-01,304.6478271484375,1690.2811279296875,0.0,STANDARD,1.0,3,3,0,304.6478271484375,R_A5,20
31,2018-01-01,304.56854248046875,1692.6712646484375,0.0,STANDARD,1.0,4,4,0,304.56854248046875,R_A5,20
31,2018-01-01,304.7950134277344,1695.061279296875,0.0,STANDARD,1.0,5,5,0,304.7950134277344,R_A5,20
31,2018-01-01,305.0215148925781,1697.451416015625,0.0,STANDARD,1.0,6,6,0,305.0215148925781,R_A5,20
31,2018-01-01,305.5538330078125,1699.841552734375,0.0,STANDARD,1.0,7,7,0,305.5538330078125,R_A5,20
31,2018-01-01,306.1304626464844,1709.1514892578125,0.0,STANDARD,1.0,8,11,0,306.1304626464844,R_A5,20
31,2018-01-01,305.2109375,1699.4486083984375,0.0,STANDARD,1.0,9,11,0,305.2109375,R_A5,21
31,2018-01-01,305.3917236328125,1701.3564453125,0.0,STANDARD,1.0,10,12,0,305.3917236328125,R_A5,21
31,2018-01-01,305.5845031738281,1703.2642822265625,0.0,STANDARD,1.0,11,13,0,305.5845031738281,R_A5,21
31,2018-01-01,305.7652893066406,1705.172119140625,0.0,STANDARD,1.0,12,14,0,305.7652893066406,R_A5,21
31,2018-01-01,305.94610595703125,1707.079833984375,0.0,STANDARD,1.0,13,15,0,305.94610595703125,R_A5,21
31,2018-01-01,306.27191162109375,1708.9876708984375,0.0,STANDARD,1.0,14,16,0,306.27191162109375,R_A5,21
31,2018-01-01,306.4527282714844,1710.8955078125,0.0,STANDARD,1.0,15,17,0,306.4527282714844,R_A5,21
31,2018-01-01,306.6214294433594,1712.67578125,0.0,STANDARD,1.0,16,18,0,306.6214294433594,R_A5,21
31,2018-01-01,306.7352294921875,1713.876220703125,0.0,STANDARD,1.0,17,19,0,306.7352294921875,R_A5,21
31,2018-01-01,306.73114013671875,1715.4908447265625,0.0,STANDARD,1.0,18,28,0,306.73114013671875,R_A5,21
31,2018-01-01,306.953369140625,1717.835693359375,0.0,STANDARD,1.0,19,29,0,306.953369140625,R_A5,21
31,2018-01-01,307.17559814453125,1720.180419921875,0.0,STANDARD,1.0,20,30,0,307.17559814453125,R_A5,21
31,2018-01-01,307.70361328125,1722.5252685546875,0.0,STANDARD,1.0,21,31,0,307.70361328125,R_A5,21
31,2018-01-01,307.92584228515625,1724.8701171875,0.0,STANDARD,1.0,22,32,0,307.92584228515625,R_A5,21
17,2018-01-01,305.1700134277344,1695.79150390625,0.0,STANDARD,1.0,1,1,0,305.1700134277344,R_A6,42
17,2018-01-01,305.01239013671875,1697.3548583984375,0.0,STANDARD,1.0,2,2,0,305.01239013671875,R_A6,42
17,2018-01-01,305.4663391113281,1698.9183349609375,0.0,STANDARD,1.0,3,3,0,305.4663391113281,R_A6,42
17,2018-01-01,305.614501953125,1700.481689453125,0.0,STANDARD,1.0,4,4,0,305.614501953125,R_A6,42
17,2018-01-01,305.7626647949219,1702.045166015625,0.0,STANDARD,1.0,5,5,0,305.7626647949219,R_A6,42
17,2018-01-01,305.91082763671875,1703.6085205078125,0.0,STANDARD,1.0,6,6,0,305.91082763671875,R_A6,42
17,2018-01-01,305.7599182128906,1705.171875,0.0,STANDARD,1.0,7,7,0,305.7599182128906,R_A6,42
17,2018-01-01,306.2071228027344,1706.7352294921875,0.0,STANDARD,1.0,8,8,0,306.2071228027344,R_A6,42
17,2018-01-01,306.3553161621094,1708.2987060546875,0.0,STANDARD,1.0,9,9,0,306.3553161621094,R_A6,42
17,2018-01-01,306.50347900390625,1709.862060546875,0.0,STANDARD,1.0,10,10,0,306.50347900390625,R_A6,42
17,2018-01-01,306.3802490234375,1711.787353515625,0.0,STANDARD,1.0,11,11,0,306.3802490234375,R_A6,42
17,2018-01-01,306.5970153808594,1714.074462890625,0.0,STANDARD,1.0,12,12,0,306.5970153808594,R_A6,42
17,2018-01-01,306.82574462890625,1716.361572265625,0.0,STANDARD,1.0,13,13,0,306.82574462890625,R_A6,42
17,2018-01-01,307.0425109863281,1718.648681640625,0.0,STANDARD,1.0,14,14,0,307.0425109863281,R_A6,42
17,2018-01-01,307.25927734375,1720.935791015625,0.0,STANDARD,1.0,15,15,0,307.25927734375,R_A6,42
17,2018-01-01,307.6210632324219,1723.2230224609375,0.0,STANDARD,1.0,16,16,0,307.6210632324219,R_A6,42
17,2018-01-01,307.83782958984375,1725.5101318359375,0.0,STANDARD,1.0,17,17,0,307.83782958984375,R_A6,42
17,2018-01-01,307.99969482421875,1727.218017578125,0.0,STANDARD,1.0,18,18,0,307.99969482421875,R_A6,42
17,2018-01-01,307.978759765625,1728.65478515625,0.0,STANDARD,1.0,19,28,0,307.978759765625,R_A6,42
17,2018-01-01,308.4499206542969,1730.3994140625,0.0,STANDARD,1.0,20,29,0,308.4499206542969,R_A6,42
17,2018-01-01,308.6152648925781,1732.1441650390625,0.0,STANDARD,1.0,21,30,0,308.6152648925781,R_A6,42
17,2018-01-01,308.7806396484375,1733.888916015625,0.0,STANDARD,1.0,22,31,0,308.7806396484375,R_A6,42
17,2018-01-01,308.6402282714844,1735.633544921875,0.0,STANDARD,1.0,23,32,0,308.6402282714844,R_A6,42
22,2018-03-01,298.9518737792969,1643.3646240234375,0.0,STANDARD,0.05878494307398796,1,1,0,298.9518737792969,R_A2,30
22,2018-03-01,299.07037353515625,1645.132568359375,0.0,STANDARD,0.0598050057888031,2,2,0,299.07037353515625,R_A2,30
22,2018-03-01,299.1888427734375,1646.9002685546875,0.0,STANDARD,0.0634763315320015,3,3,0,299.1888427734375,R_A2,30
22,2018-03-01,299.3073425292969,1648.66796875,0.0,STANDARD,0.06940275430679321,4,4,0,299.3073425292969,R_A2,30
22,2018-03-01,299.42584228515625,1650.435791015625,0.0,STANDARD,0.07285372912883759,5,5,0,299.42584228515625,R_A2,30
22,2018-03-01,299.5485534667969,1652.20361328125,0.0,STANDARD,0.3182908892631531,6,6,0,299.5485534667969,R_A2,30
22,2018-03-01,299.6680603027344,1653.971435546875,0.0,STANDARD,0.8942156434059143,7,7,0,299.6680603027344,R_A2,30
22,2018-03-01,299.7852783203125,1655.7392578125,0.0,STANDARD,0.8853539228439331,8,8,0,299.7852783203125,R_A2,30
22,2018-03-01,299.5891418457031,1657.507080078125,0.0,STANDARD,0.9048098921775818,9,9,0,299.5891418457031,R_A2,30
22,2018-03-01,299.27642822265625,1659.2747802734375,0.0,STANDARD,0.20212504267692566,10,10,0,299.27642822265625,R_A2,30
22,2018-03-01,299.3739013671875,1661.155029296875,0.0,STANDARD,0.07991303503513336,11,11,0,299.3739013671875,R_A2,30
22,2018-03-01,299.5134582519531,1663.1478271484375,0.0,STANDARD,0.31272342801094055,12,12,0,299.5134582519531,R_A2,30
22,2018-03-01,299.7339782714844,1665.140625,0.0,STANDARD,0.4778015613555908,13,13,0,299.7339782714844,R_A2,30
22,2018-03-01,299.86773681640625,1667.13330078125,0.0,STANDARD,0.5294591188430786,14,14,0,299.86773681640625,R_A2,30
22,2018-03-01,300.00006103515625,1669.1260986328125,0.0,STANDARD,0.9792625904083252,15,15,0,300.00006103515625,R_A2,30
22,2018-03-01,300.1329345703125,1671.118896484375,0.0,STANDARD,0.9954877495765686,16,16,0,300.1329345703125,R_A2,30
22,2018-03-01,300.05096435546875,1673.6617431640625,-2.0743673445622335e-08,STANDARD,0.9999997615814209,17,16,0,300.05096435546875,R_A2,29
22,2018-03-01,300.1918640136719,1675.75537109375,-5.3863786320107465e-08,STANDARD,0.9999994039535522,18,17,0,300.1918640136719,R_A2,29
22,2018-03-01,300.4812316894531,1677.5364990234375,-3.028203110488903e-08,STANDARD,0.9999996423721313,19,18,0,300.4812316894531,R_A2,29
22,2018-03-01,302.954833984375,1679.116943359375,-4.869690805112126e-13,STANDARD,1.0,20,28,0,302.954833984375,R_A2,29
22,2018-03-01,303.45367431640625,1680.8089599609375,-6.065956306845727e-17,STANDARD,1.0,21,29,0,303.45367431640625,R_A2,29
