PRESSURE,CONIDX,CONJPOS,DATE,CONBPRES,CONIPOS,SGAS,CONKPOS,SWAT,WELLMODEL,DEPTH,DRAWDOWN,WELL
300.7709655761719,1,30,2018-01-01,300.7709655761719,22,0.0,1,0.05361628532409668,STANDARD,1640.7828369140625,0,R_A2
300.88592529296875,2,30,2018-01-01,300.88592529296875,22,0.0,2,0.054344773292541504,STANDARD,1642.496826171875,0,R_A2
301.0008544921875,3,30,2018-01-01,301.0008544921875,22,0.0,3,0.058429520577192307,STANDARD,1644.2108154296875,0,R_A2
301.11578369140625,4,30,2018-01-01,301.11578369140625,22,0.0,4,0.0627041906118393,STANDARD,1645.9248046875,0,R_A2
301.230712890625,5,30,2018-01-01,301.230712890625,22,0.0,5,0.06521976739168167,STANDARD,1647.638671875,0,R_A2
301.3456726074219,6,30,2018-01-01,301.3456726074219,22,0.0,6,0.3163025975227356,STANDARD,1649.3526611328125,0,R_A2
301.4606018066406,7,30,2018-01-01,301.4606018066406,22,0.0,7,0.8735464811325073,STANDARD,1651.066650390625,0,R_A2
301.5755615234375,8,30,2018-01-01,301.5755615234375,22,0.0,8,0.8518719673156738,STANDARD,1652.7806396484375,0,R_A2
301.6905212402344,9,30,2018-01-01,301.6905212402344,22,0.0,9,0.8709204792976379,STANDARD,1654.49462890625,0,R_A2
301.80548095703125,10,30,2018-01-01,301.80548095703125,22,0.0,10,0.8825275301933289,STANDARD,1656.208740234375,0,R_A2
301.9327392578125,11,30,2018-01-01,301.9327392578125,22,0.0,11,0.0681334063410759,STANDARD,1658.1060791015625,0,R_A2
302.07232666015625,12,30,2018-01-01,302.07232666015625,22,0.0,12,0.07707981020212173,STANDARD,1660.1868896484375,0,R_A2
302.2118835449219,13,30,2018-01-01,302.2118835449219,22,0.0,13,0.42207157611846924,STANDARD,1662.2677001953125,0,R_A2
302.3514709472656,14,30,2018-01-01,302.3514709472656,22,0.0,14,0.4664994180202484,STANDARD,1664.3485107421875,0,R_A2
302.4910583496094,15,30,2018-01-01,302.4910583496094,22,0.0,15,0.9073154330253601,STANDARD,1666.4293212890625,0,R_A2
302.6306457519531,16,30,2018-01-01,302.6306457519531,22,0.0,16,0.9413158893585205,STANDARD,1668.510009765625,0,R_A2
302.7702331542969,17,30,2018-01-01,302.7702331542969,22,0.0,17,0.8978733420372009,STANDARD,1670.5908203125,0,R_A2
303.130859375,18,29,2018-01-01,303.130859375,22,0.0,17,0.9818346500396729,STANDARD,1675.9664306640625,0,R_A2
303.228515625,19,29,2018-01-01,303.228515625,22,0.0,18,1.0,STANDARD,1677.4215087890625,0,R_A2
303.31304931640625,20,29,2018-01-01,303.31304931640625,22,0.0,25,1.0,STANDARD,1678.6815185546875,0,R_A2
303.428466796875,21,29,2018-01-01,303.428466796875,22,0.0,26,1.0,STANDARD,1680.4017333984375,0,R_A2
303.8746337890625,22,29,2018-01-01,303.8746337890625,22,0.0,27,1.0,STANDARD,1682.121826171875,0,R_A2
304.0376281738281,23,29,2018-01-01,304.0376281738281,22,0.0,28,1.0,STANDARD,1683.842041015625,0,R_A2
304.20062255859375,24,29,2018-01-01,304.20062255859375,22,0.0,29,1.0,STANDARD,1685.562255859375,0,R_A2
298.0362243652344,1,41,2018-01-01,298.0362243652344,29,0.0,1,0.6481541991233826,STANDARD,1599.9847412109375,0,R_A3
298.1809387207031,2,41,2018-01-01,298.1809387207031,29,0.0,2,0.14779266715049744,STANDARD,1602.144287109375,0,R_A3
298.3256530761719,3,41,2018-01-01,298.3256530761719,29,0.0,3,0.11823459714651108,STANDARD,1604.3038330078125,0,R_A3
298.47039794921875,4,41,2018-01-01,298.47039794921875,29,0.0,4,0.15884198248386383,STANDARD,1606.46337890625,0,R_A3
298.6151123046875,5,41,2018-01-01,298.6151123046875,29,0.0,5,0.809145450592041,STANDARD,1608.623046875,0,R_A3
298.7598571777344,6,41,2018-01-01,298.7598571777344,29,0.0,6,0.6481541991233826,STANDARD,1610.7825927734375,0,R_A3
