CONIPOS,SWAT,CONBPRES,PRESSURE,DEPTH,SGAS,CONIDX,DATE,WELL,CONJPOS,CONKPOS,DRAWDOWN,WELLMODEL
22,0.05389442294836044,300.7997131347656,300.7997131347656,1641.166015625,0.0,1,2018-01-01,R_A2,30,1,0,STANDARD
22,0.05558645725250244,300.9171447753906,300.9171447753906,1642.9173583984375,0.0,2,2018-01-01,R_A2,30,2,0,STANDARD
22,0.059512242674827576,301.0345764160156,301.0345764160156,1644.668701171875,0.0,3,2018-01-01,R_A2,30,3,0,STANDARD
22,0.06288425624370575,301.15203857421875,301.15203857421875,1646.419921875,0.0,4,2018-01-01,R_A2,30,4,0,STANDARD
22,0.06518018990755081,301.26947021484375,301.26947021484375,1648.171142578125,0.0,5,2018-01-01,R_A2,30,5,0,STANDARD
22,0.6481541991233826,301.38690185546875,301.38690185546875,1649.92236328125,0.0,6,2018-01-01,R_A2,30,6,0,STANDARD
22,0.8676849603652954,301.5043640136719,301.5043640136719,1651.673583984375,0.0,7,2018-01-01,R_A2,30,7,0,STANDARD
22,0.8831639885902405,301.6217956542969,301.6217956542969,1653.4248046875,0.0,8,2018-01-01,R_A2,30,8,0,STANDARD
22,0.8802232146263123,301.7392578125,301.7392578125,1655.1761474609375,0.0,9,2018-01-01,R_A2,30,9,0,STANDARD
22,0.874500036239624,301.8567199707031,301.8567199707031,1656.9273681640625,0.0,10,2018-01-01,R_A2,30,10,0,STANDARD
22,0.0703827366232872,301.98321533203125,301.98321533203125,1658.8134765625,0.0,11,2018-01-01,R_A2,30,11,0,STANDARD
22,0.42972230911254883,302.25433349609375,302.25433349609375,1662.8551025390625,0.0,12,2018-01-01,R_A2,30,13,0,STANDARD
22,0.4645811915397644,302.389892578125,302.389892578125,1664.8759765625,0.0,13,2018-01-01,R_A2,30,14,0,STANDARD
22,0.9020373821258545,302.52545166015625,302.52545166015625,1666.896728515625,0.0,14,2018-01-01,R_A2,30,15,0,STANDARD
22,0.9229083061218262,302.6610107421875,302.6610107421875,1668.9176025390625,0.0,15,2018-01-01,R_A2,30,16,0,STANDARD
22,0.8682948350906372,302.79656982421875,302.79656982421875,1670.9384765625,0.0,16,2018-01-01,R_A2,30,17,0,STANDARD
22,0.9231212139129639,303.0294189453125,303.0294189453125,1674.4090576171875,0.0,17,2018-01-01,R_A2,29,17,0,STANDARD
22,0.977071225643158,303.1578063964844,303.1578063964844,1676.3223876953125,0.0,18,2018-01-01,R_A2,29,18,0,STANDARD
22,1.0,303.2816162109375,303.2816162109375,1678.1676025390625,0.0,19,2018-01-01,R_A2,29,24,0,STANDARD
22,1.0,303.3987121582031,303.3987121582031,1679.9132080078125,0.0,20,2018-01-01,R_A2,29,25,0,STANDARD
22,1.0,303.8307189941406,303.8307189941406,1681.65869140625,0.0,21,2018-01-01,R_A2,29,26,0,STANDARD
22,1.0,303.99615478515625,303.99615478515625,1683.404296875,0.0,22,2018-01-01,R_A2,29,27,0,STANDARD
22,1.0,304.16156005859375,304.16156005859375,1685.14990234375,0.0,23,2018-01-01,R_A2,29,28,0,STANDARD
28,0.6481541991233826,298.69451904296875,298.69451904296875,1609.7625732421875,0.0,1,2018-01-01,R_A3,41,1,0,STANDARD
28,0.19331146776676178,298.82928466796875,298.82928466796875,1611.7733154296875,0.0,2,2018-01-01,R_A3,41,2,0,STANDARD
28,0.11823459714651108,298.96405029296875,298.96405029296875,1613.7840576171875,0.0,3,2018-01-01,R_A3,41,3,0,STANDARD
29,0.1665116846561432,298.26153564453125,298.26153564453125,1603.3017578125,0.0,4,2018-01-01,R_A3,41,3,0,STANDARD
29,0.1597510278224945,298.40545654296875,298.40545654296875,1605.44921875,0.0,5,2018-01-01,R_A3,41,4,0,STANDARD
29,0.8064911365509033,298.54937744140625,298.54937744140625,1607.5966796875,0.0,6,2018-01-01,R_A3,41,5,0,STANDARD
29,0.6481541991233826,298.69329833984375,298.69329833984375,1609.744140625,0.0,7,2018-01-01,R_A3,41,6,0,STANDARD
29,0.19386154413223267,298.83721923828125,298.83721923828125,1611.8917236328125,0.0,8,2018-01-01,R_A3,41,7,0,STANDARD
29,0.19517841935157776,298.9811706542969,298.9811706542969,1614.039306640625,0.0,9,2018-01-01,R_A3,41,8,0,STANDARD
29,0.7977274060249329,299.1250915527344,299.1250915527344,1616.186767578125,0.0,10,2018-01-01,R_A3,41,9,0,STANDARD
29,0.7904176115989685,299.26904296875,299.26904296875,1618.334228515625,0.0,11,2018-01-01,R_A3,41,10,0,STANDARD
29,0.048157501965761185,299.415771484375,299.415771484375,1620.5234375,0.0,12,2018-01-01,R_A3,41,11,0,STANDARD
29,0.052601393312215805,299.5653381347656,299.5653381347656,1622.75439453125,0.0,13,2018-01-01,R_A3,41,12,0,STANDARD
29,0.2419195920228958,299.7148742675781,299.7148742675781,1624.9853515625,0.0,14,2018-01-01,R_A3,41,13,0,STANDARD
29,0.19043579697608948,299.86444091796875,299.86444091796875,1627.21630859375,0.0,15,2018-01-01,R_A3,41,14,0,STANDARD
29,0.601466715335846,300.01397705078125,300.01397705078125,1629.4471435546875,0.0,16,2018-01-01,R_A3,41,15,0,STANDARD
29,0.7928017973899841,300.1533508300781,300.1533508300781,1631.525634765625,0.0,17,2018-01-01,R_A3,41,16,0,STANDARD
29,0.6481541991233826,300.34423828125,300.34423828125,1634.372802734375,0.0,18,2018-01-01,R_A3,41,24,0,STANDARD
29,0.043356653302907944,300.5857238769531,300.5857238769531,1637.974609375,0.0,19,2018-01-01,R_A3,41,25,0,STANDARD
29,0.04700491577386856,300.82720947265625,300.82720947265625,1641.576171875,0.0,20,2018-01-01,R_A3,41,26,0,STANDARD
29,0.18945428729057312,301.0687255859375,301.0687255859375,1645.177978515625,0.0,21,2018-01-01,R_A3,41,27,0,STANDARD
29,0.06015601381659508,301.3102722167969,301.3102722167969,1648.779541015625,0.0,22,2018-01-01,R_A3,41,28,0,STANDARD
30,0.048984698951244354,300.1952209472656,300.1952209472656,1632.150390625,0.0,1,2018-01-01,R_A4,52,1,0,STANDARD
31,0.046938732266426086,299.849853515625,299.849853515625,1626.9990234375,0.0,2,2018-01-01,R_A4,52,1,0,STANDARD
31,0.04991140589118004,299.98895263671875,299.98895263671875,1629.073486328125,0.0,3,2018-01-01,R_A4,52,2,0,STANDARD
31,0.05194836109876633,300.1280212402344,300.1280212402344,1631.14794921875,0.0,4,2018-01-01,R_A4,52,3,0,STANDARD
31,0.0531376376748085,300.26708984375,300.26708984375,1633.222412109375,0.0,5,2018-01-01,R_A4,52,4,0,STANDARD
32,0.05364293232560158,300.1811828613281,300.1811828613281,1631.9410400390625,0.0,6,2018-01-01,R_A4,52,4,0,STANDARD
