CONIDX,CONKPOS,PRESSURE,CONIPOS,DEPTH,DATE,WELL,DRAWDOWN,SGAS,WELLMODEL,CONBPRES,CONJPOS,SWAT
1,1,300.8798828125,22,1642.4273681640625,2018-01-01,R_A2,0,0.0,STANDARD,300.8798828125,30,0.05469762533903122
2,2,300.9987487792969,22,1644.2000732421875,2018-01-01,R_A2,0,0.0,STANDARD,300.9987487792969,30,0.05581241846084595
3,3,301.11761474609375,22,1645.97265625,2018-01-01,R_A2,0,0.0,STANDARD,301.11761474609375,30,0.05840826779603958
4,4,301.2364807128906,22,1647.7452392578125,2018-01-01,R_A2,0,0.0,STANDARD,301.2364807128906,30,0.06568750739097595
5,5,301.3553771972656,22,1649.5179443359375,2018-01-01,R_A2,0,0.0,STANDARD,301.3553771972656,30,0.06807349622249603
6,6,301.4742431640625,22,1651.2906494140625,2018-01-01,R_A2,0,0.0,STANDARD,301.4742431640625,30,0.3122979700565338
7,7,301.5931396484375,22,1653.0633544921875,2018-01-01,R_A2,0,0.0,STANDARD,301.5931396484375,30,0.8760941028594971
8,8,301.7120361328125,22,1654.8359375,2018-01-01,R_A2,0,0.0,STANDARD,301.7120361328125,30,0.6636829972267151
9,9,301.8309020996094,22,1656.6085205078125,2018-01-01,R_A2,0,0.0,STANDARD,301.8309020996094,30,0.33603715896606445
10,10,301.9498291015625,22,1658.38134765625,2018-01-01,R_A2,0,0.0,STANDARD,301.9498291015625,30,0.8894633054733276
11,11,302.07757568359375,22,1660.2860107421875,2018-01-01,R_A2,0,0.0,STANDARD,302.07757568359375,30,0.07141109555959702
12,12,302.2142028808594,22,1662.3228759765625,2018-01-01,R_A2,0,0.0,STANDARD,302.2142028808594,30,0.07157770544290543
13,13,302.350830078125,22,1664.359619140625,2018-01-01,R_A2,0,0.0,STANDARD,302.350830078125,30,0.44237375259399414
14,14,302.4874572753906,22,1666.396484375,2018-01-01,R_A2,0,0.0,STANDARD,302.4874572753906,30,0.4733542501926422
15,15,302.62408447265625,22,1668.4332275390625,2018-01-01,R_A2,0,0.0,STANDARD,302.62408447265625,30,0.9163798093795776
16,16,302.7607421875,22,1670.469970703125,2018-01-01,R_A2,0,0.0,STANDARD,302.7607421875,30,0.9526020884513855
17,16,302.8094482421875,22,1671.196044921875,2018-01-01,R_A2,0,0.0,STANDARD,302.8094482421875,29,0.9293129444122314
18,17,302.9498291015625,22,1673.288330078125,2018-01-01,R_A2,0,0.0,STANDARD,302.9498291015625,29,0.9063283801078796
19,18,303.08123779296875,22,1675.2470703125,2018-01-01,R_A2,0,0.0,STANDARD,303.08123779296875,29,0.9697582721710205
20,26,303.2206726074219,22,1677.3251953125,2018-01-01,R_A2,0,0.0,STANDARD,303.2206726074219,29,1.0
21,27,303.3409423828125,22,1679.1177978515625,2018-01-01,R_A2,0,0.0,STANDARD,303.3409423828125,29,0.8321594595909119
22,28,303.4612121582031,22,1680.910400390625,2018-01-01,R_A2,0,0.0,STANDARD,303.4612121582031,29,1.0
23,29,303.9296875,22,1682.7030029296875,2018-01-01,R_A2,0,0.0,STANDARD,303.9296875,29,1.0
24,30,304.09954833984375,22,1684.4954833984375,2018-01-01,R_A2,0,0.0,STANDARD,304.09954833984375,29,1.0
1,1,298.64697265625,28,1609.118896484375,2018-01-01,R_A3,0,0.0,STANDARD,298.64697265625,41,0.6481541991233826
2,2,298.7826843261719,28,1611.14404296875,2018-01-01,R_A3,0,0.0,STANDARD,298.7826843261719,41,0.15103422105312347
