DEPTH,WELL,DATE,CONBPRES,PRESSURE,CONIDX,CONJPOS,DRAWDOWN,CONKPOS,CONIPOS,WELLMODEL,SGAS,SWAT
1641.094970703125,R_A2,2018-01-01,300.6733093261719,300.6733093261719,1,30,0,1,22,STANDARD,0.0,0.05682307109236717
1642.8890380859375,R_A2,2018-01-01,300.7936096191406,300.7936096191406,2,30,0,2,22,STANDARD,0.0,0.059868622571229935
1644.68310546875,R_A2,2018-01-01,300.9139099121094,300.9139099121094,3,30,0,3,22,STANDARD,0.0,0.0626271441578865
1646.4771728515625,R_A2,2018-01-01,301.0342102050781,301.0342102050781,4,30,0,4,22,STANDARD,0.0,0.06645650416612625
1648.2713623046875,R_A2,2018-01-01,301.1545104980469,301.1545104980469,5,30,0,5,22,STANDARD,0.0,0.07079914212226868
1650.0654296875,R_A2,2018-01-01,301.27484130859375,301.27484130859375,6,30,0,6,22,STANDARD,0.0,0.23910002410411835
1651.859619140625,R_A2,2018-01-01,301.3951721191406,301.3951721191406,7,30,0,7,22,STANDARD,0.0,0.8951376676559448
1653.6536865234375,R_A2,2018-01-01,301.5154724121094,301.5154724121094,8,30,0,8,22,STANDARD,0.0,0.8685147166252136
1655.44775390625,R_A2,2018-01-01,301.63580322265625,301.63580322265625,9,30,0,9,22,STANDARD,0.0,0.894565999507904
1657.2418212890625,R_A2,2018-01-01,301.7561340332031,301.7561340332031,10,30,0,10,22,STANDARD,0.0,0.9062598943710327
1659.1368408203125,R_A2,2018-01-01,301.88323974609375,301.88323974609375,11,30,0,11,22,STANDARD,0.0,0.07765933871269226
1661.132568359375,R_A2,2018-01-01,302.01708984375,302.01708984375,12,30,0,12,22,STANDARD,0.0,0.08095082640647888
1663.12841796875,R_A2,2018-01-01,302.1509704589844,302.1509704589844,13,30,0,13,22,STANDARD,0.0,0.4631236791610718
1665.1241455078125,R_A2,2018-01-01,302.28485107421875,302.28485107421875,14,30,0,14,22,STANDARD,0.0,0.5077258348464966
1667.1199951171875,R_A2,2018-01-01,302.4187316894531,302.4187316894531,15,30,0,15,22,STANDARD,0.0,0.6800851821899414
1669.11572265625,R_A2,2018-01-01,302.5526123046875,302.5526123046875,16,30,0,16,22,STANDARD,0.0,0.9764990210533142
1671.111572265625,R_A2,2018-01-01,302.6864929199219,302.6864929199219,17,30,0,17,22,STANDARD,0.0,0.9521156549453735
1672.9881591796875,R_A2,2018-01-01,302.8123779296875,302.8123779296875,18,30,0,18,22,STANDARD,0.0,0.9803889393806458
1674.229736328125,R_A2,2018-01-01,302.89569091796875,302.89569091796875,19,29,0,18,22,STANDARD,0.0,0.9921049475669861
1676.1676025390625,R_A2,2018-01-01,303.02569580078125,303.02569580078125,20,29,0,27,22,STANDARD,0.0,0.4429566264152527
1677.9368896484375,R_A2,2018-01-01,303.47802734375,303.47802734375,21,29,0,28,22,STANDARD,0.0,1.0
1679.7061767578125,R_A2,2018-01-01,303.64569091796875,303.64569091796875,22,29,0,29,22,STANDARD,0.0,1.0
1681.4754638671875,R_A2,2018-01-01,303.8133544921875,303.8133544921875,23,29,0,30,22,STANDARD,0.0,1.0
1683.2447509765625,R_A2,2018-01-01,303.98101806640625,303.98101806640625,24,29,0,31,22,STANDARD,0.0,1.0
1609.243408203125,R_A3,2018-01-01,298.53814697265625,298.53814697265625,1,41,0,1,28,STANDARD,0.0,0.6481541991233826
1611.3077392578125,R_A3,2018-01-01,298.676513671875,298.676513671875,2,41,0,2,28,STANDARD,0.0,0.1953458935022354
1613.3720703125,R_A3,2018-01-01,298.8148498535156,298.8148498535156,3,41,0,3,28,STANDARD,0.0,0.19456657767295837
1615.4365234375,R_A3,2018-01-01,298.9532165527344,298.9532165527344,4,41,0,4,28,STANDARD,0.0,0.3696915805339813
1617.5008544921875,R_A3,2018-01-01,299.0915832519531,299.0915832519531,5,41,0,5,28,STANDARD,0.0,0.834352970123291
1619.565185546875,R_A3,2018-01-01,299.2299499511719,299.2299499511719,6,41,0,6,28,STANDARD,0.0,0.6481541991233826
1609.3663330078125,R_A3,2018-01-01,298.54638671875,298.54638671875,7,41,0,6,29,STANDARD,0.0,0.6481541991233826
1611.4163818359375,R_A3,2018-01-01,298.68377685546875,298.68377685546875,8,41,0,7,29,STANDARD,0.0,0.1984773725271225
1613.46630859375,R_A3,2018-01-01,298.8211669921875,298.8211669921875,9,41,0,8,29,STANDARD,0.0,0.1977151483297348
1615.516357421875,R_A3,2018-01-01,298.95855712890625,298.95855712890625,10,41,0,9,29,STANDARD,0.0,0.800819993019104
1617.5662841796875,R_A3,2018-01-01,299.095947265625,299.095947265625,11,41,0,10,29,STANDARD,0.0,0.7992424964904785
1619.750732421875,R_A3,2018-01-01,299.24237060546875,299.24237060546875,12,41,0,11,29,STANDARD,0.0,0.05049673467874527
1622.0697021484375,R_A3,2018-01-01,299.3978271484375,299.3978271484375,13,41,0,12,29,STANDARD,0.0,0.05441533401608467
1624.388671875,R_A3,2018-01-01,299.5532531738281,299.5532531738281,14,41,0,13,29,STANDARD,0.0,0.3730502128601074
1626.707763671875,R_A3,2018-01-01,299.7087097167969,299.7087097167969,15,41,0,14,29,STANDARD,0.0,0.4005099833011627
1629.026611328125,R_A3,2018-01-01,299.8641662597656,299.8641662597656,16,41,0,15,29,STANDARD,0.0,0.4975426495075226
1630.9468994140625,R_A3,2018-01-01,299.992919921875,299.992919921875,17,41,0,16,29,STANDARD,0.0,0.8084018230438232
1633.5262451171875,R_A3,2018-01-01,300.16583251953125,300.16583251953125,18,41,0,27,29,STANDARD,0.0,1.0
1637.1630859375,R_A3,2018-01-01,300.40966796875,300.40966796875,19,41,0,28,29,STANDARD,0.0,0.04364456981420517
1640.8001708984375,R_A3,2018-01-01,300.6535339355469,300.6535339355469,20,41,0,29,29,STANDARD,0.0,0.05188838392496109
1644.4371337890625,R_A3,2018-01-01,300.89739990234375,300.89739990234375,21,41,0,30,29,STANDARD,0.0,1.0
1648.0740966796875,R_A3,2018-01-01,301.14129638671875,301.14129638671875,22,41,0,31,29,STANDARD,0.0,0.0641801506280899
1631.1873779296875,R_A4,2018-01-01,300.009033203125,300.009033203125,1,52,0,1,30,STANDARD,0.0,0.05036125332117081
1627.4293212890625,R_A4,2018-01-01,299.7571105957031,299.7571105957031,2,52,0,1,31,STANDARD,0.0,0.08347222208976746
1629.4896240234375,R_A4,2018-01-01,299.89520263671875,299.89520263671875,3,52,0,2,31,STANDARD,0.0,0.05255189538002014
1631.5498046875,R_A4,2018-01-01,300.0333251953125,300.0333251953125,4,52,0,3,31,STANDARD,0.0,0.05367308482527733
1633.610107421875,R_A4,2018-01-01,300.17144775390625,300.17144775390625,5,52,0,4,31,STANDARD,0.0,0.05652542784810066
1632.3968505859375,R_A4,2018-01-01,300.0901184082031,300.0901184082031,6,52,0,4,32,STANDARD,0.0,0.05670516937971115
1635.880615234375,R_A4,2018-01-01,300.3236999511719,300.3236999511719,7,51,0,4,32,STANDARD,0.0,0.06039223074913025
1637.321044921875,R_A4,2018-01-01,300.4202575683594,300.4202575683594,8,51,0,4,33,STANDARD,0.0,0.062218718230724335
1635.474609375,R_A4,2018-01-01,300.29644775390625,300.29644775390625,9,51,0,3,33,STANDARD,0.0,0.05870724841952324
1642.1485595703125,R_A4,2018-01-01,300.74395751953125,300.74395751953125,10,50,0,4,33,STANDARD,0.0,0.06312906742095947
1641.132080078125,R_A4,2018-01-01,300.67578125,300.67578125,11,50,0,4,34,STANDARD,0.0,0.06255592405796051
1639.20703125,R_A4,2018-01-01,300.5467224121094,300.5467224121094,12,50,0,3,34,STANDARD,0.0,0.1182539239525795
1640.9061279296875,R_A4,2018-01-01,300.66064453125,300.66064453125,13,50,0,3,35,STANDARD,0.0,0.10039374977350235
1639.0426025390625,R_A4,2018-01-01,300.53570556640625,300.53570556640625,14,50,0,2,35,STANDARD,0.0,0.18232817947864532
1641.93212890625,R_A4,2018-01-01,300.72943115234375,300.72943115234375,15,49,0,2,35,STANDARD,0.0,0.23937761783599854
1642.357421875,R_A4,2018-01-01,300.7579650878906,300.7579650878906,16,49,0,30,36,STANDARD,0.0,0.05827876925468445
1639.6068115234375,R_A4,2018-01-01,300.5735168457031,300.5735168457031,17,48,0,30,36,STANDARD,0.0,0.6481541991233826
1646.7513427734375,R_A4,2018-01-01,301.0526123046875,301.0526123046875,18,48,0,30,37,STANDARD,0.0,0.05980163440108299
1653.461669921875,R_A4,2018-01-01,301.5025939941406,301.5025939941406,19,48,0,30,38,STANDARD,0.0,0.10777666419744492
