DEPTH,SGAS,CONKPOS,CONBPRES,CONIPOS,CONIDX,DATE,SWAT,DRAWDOWN,CONJPOS,WELLMODEL,PRESSURE,WELL
1666.2900390625,0.0,15,302.46484375,22,15,2018-01-01,0.9127696752548218,0,30,STANDARD,302.46484375,R_A2
1668.306396484375,0.0,16,302.60009765625,22,16,2018-01-01,0.9212814569473267,0,30,STANDARD,302.60009765625,R_A2
1670.3228759765625,0.0,17,302.7353820800781,22,17,2018-01-01,0.8748068809509277,0,30,STANDARD,302.7353820800781,R_A2
1672.1201171875,0.0,18,302.85595703125,22,18,2018-01-01,0.9352113008499146,0,30,STANDARD,302.85595703125,R_A2
1674.9111328125,0.0,18,303.0431823730469,22,19,2018-01-01,0.962740957736969,0,29,STANDARD,303.0431823730469,R_A2
1676.714599609375,0.0,25,303.1642150878906,22,20,2018-01-01,1.0,0,29,STANDARD,303.1642150878906,R_A2
1678.4561767578125,0.0,26,303.2810363769531,22,21,2018-01-01,1.0,0,29,STANDARD,303.2810363769531,R_A2
1680.197509765625,0.0,27,303.39788818359375,22,22,2018-01-01,1.0,0,29,STANDARD,303.39788818359375,R_A2
1681.93896484375,0.0,28,303.8572998046875,22,23,2018-01-01,1.0,0,29,STANDARD,303.8572998046875,R_A2
1683.680419921875,0.0,29,304.0223083496094,22,24,2018-01-01,1.0,0,29,STANDARD,304.0223083496094,R_A2
1611.2894287109375,0.0,1,298.7769470214844,28,1,2018-01-01,0.35261213779449463,0,41,STANDARD,298.7769470214844,R_A3
1613.25537109375,0.0,2,298.9087219238281,28,2,2018-01-01,0.09382834285497665,0,41,STANDARD,298.9087219238281,R_A3
1601.523681640625,0.0,2,298.12249755859375,29,3,2018-01-01,0.12867175042629242,0,41,STANDARD,298.12249755859375,R_A3
1603.6328125,0.0,3,298.26385498046875,29,4,2018-01-01,0.15910635888576508,0,41,STANDARD,298.26385498046875,R_A3
1605.7418212890625,0.0,4,298.4051818847656,29,5,2018-01-01,0.25449392199516296,0,41,STANDARD,298.4051818847656,R_A3
1607.8509521484375,0.0,5,298.5465087890625,29,6,2018-01-01,0.8076859712600708,0,41,STANDARD,298.5465087890625,R_A3
1609.9600830078125,0.0,6,298.6878662109375,29,7,2018-01-01,0.6481541991233826,0,41,STANDARD,298.6878662109375,R_A3
1612.069091796875,0.0,7,298.8292236328125,29,8,2018-01-01,0.1934908926486969,0,41,STANDARD,298.8292236328125,R_A3
1614.17822265625,0.0,8,298.9705810546875,29,9,2018-01-01,0.1971663534641266,0,41,STANDARD,298.9705810546875,R_A3
1616.2872314453125,0.0,9,299.1119384765625,29,10,2018-01-01,0.7942274808883667,0,41,STANDARD,299.1119384765625,R_A3
1618.3963623046875,0.0,10,299.2532958984375,29,11,2018-01-01,0.7963030338287354,0,41,STANDARD,299.2532958984375,R_A3
1620.544677734375,0.0,11,299.3973083496094,29,12,2018-01-01,0.04586885869503021,0,41,STANDARD,299.3973083496094,R_A3
1622.7322998046875,0.0,12,299.5439453125,29,13,2018-01-01,0.05142970010638237,0,41,STANDARD,299.5439453125,R_A3
1624.919921875,0.0,13,299.6905822753906,29,14,2018-01-01,0.36497220396995544,0,41,STANDARD,299.6905822753906,R_A3
1627.107421875,0.0,14,299.8372497558594,29,15,2018-01-01,0.13916300237178802,0,41,STANDARD,299.8372497558594,R_A3
1629.2950439453125,0.0,15,299.98388671875,29,16,2018-01-01,0.49050793051719666,0,41,STANDARD,299.98388671875,R_A3
1631.2872314453125,0.0,16,300.1174621582031,29,17,2018-01-01,0.8000170588493347,0,41,STANDARD,300.1174621582031,R_A3
1634.185546875,0.0,25,300.311767578125,29,18,2018-01-01,0.6481541991233826,0,41,STANDARD,300.311767578125,R_A3
1637.7864990234375,0.0,26,300.55322265625,29,19,2018-01-01,0.04133792594075203,0,41,STANDARD,300.55322265625,R_A3
1641.3875732421875,0.0,27,300.794677734375,29,20,2018-01-01,0.049059946089982986,0,41,STANDARD,300.794677734375,R_A3
1644.988525390625,0.0,28,301.0361328125,29,21,2018-01-01,0.8289871215820312,0,41,STANDARD,301.0361328125,R_A3
1648.589599609375,0.0,29,301.2776184082031,29,22,2018-01-01,0.06187708303332329,0,41,STANDARD,301.2776184082031,R_A3
1632.0634765625,0.0,1,300.16949462890625,30,1,2018-01-01,0.050479091703891754,0,52,STANDARD,300.16949462890625,R_A4
1626.794189453125,0.0,1,299.81622314453125,31,2,2018-01-01,0.04784569889307022,0,52,STANDARD,299.81622314453125,R_A4
1628.8555908203125,0.0,2,299.9544372558594,31,3,2018-01-01,0.04866066202521324,0,52,STANDARD,299.9544372558594,R_A4
1630.9171142578125,0.0,3,300.0926513671875,31,4,2018-01-01,0.05091684311628342,0,52,STANDARD,300.0926513671875,R_A4
1632.978515625,0.0,4,300.2308349609375,31,5,2018-01-01,0.05349109694361687,0,52,STANDARD,300.2308349609375,R_A4
1631.3966064453125,0.0,4,300.1247863769531,32,6,2018-01-01,0.05281756818294525,0,52,STANDARD,300.1247863769531,R_A4
1633.2664794921875,0.0,5,300.2501525878906,32,7,2018-01-01,0.1096990779042244,0,52,STANDARD,300.2501525878906,R_A4
1637.0924072265625,0.0,5,300.50665283203125,32,8,2018-01-01,0.13536563515663147,0,51,STANDARD,300.50665283203125,R_A4
1635.3121337890625,0.0,4,300.3872985839844,32,9,2018-01-01,0.053718555718660355,0,51,STANDARD,300.3872985839844,R_A4
1637.4921875,0.0,4,300.5334777832031,33,10,2018-01-01,0.05733500048518181,0,51,STANDARD,300.5334777832031,R_A4
1635.70556640625,0.0,3,300.4136962890625,33,11,2018-01-01,0.05424671992659569,0,51,STANDARD,300.4136962890625,R_A4
1643.629150390625,0.0,4,300.9449768066406,33,12,2018-01-01,0.06288958340883255,0,50,STANDARD,300.9449768066406,R_A4
1641.1505126953125,0.0,4,300.7787780761719,34,13,2018-01-01,0.06222056224942207,0,50,STANDARD,300.7787780761719,R_A4
1639.29296875,0.0,3,300.6542053222656,34,14,2018-01-01,0.07651787251234055,0,50,STANDARD,300.6542053222656,R_A4
1640.395263671875,0.0,3,300.7281188964844,35,15,2018-01-01,0.08218841254711151,0,50,STANDARD,300.7281188964844,R_A4
1638.63232421875,0.0,2,300.60992431640625,35,16,2018-01-01,0.17666931450366974,0,50,STANDARD,300.60992431640625,R_A4
1642.154296875,0.0,28,300.8460693359375,35,17,2018-01-01,0.6481541991233826,0,49,STANDARD,300.8460693359375,R_A4
1636.130126953125,0.0,27,300.442138671875,35,18,2018-01-01,0.08251439779996872,0,49,STANDARD,300.442138671875,R_A4
1641.148681640625,0.0,27,300.7786560058594,36,19,2018-01-01,0.052714958786964417,0,49,STANDARD,300.7786560058594,R_A4
1640.225830078125,0.0,27,300.7167663574219,36,20,2018-01-01,0.051001615822315216,0,48,STANDARD,300.7167663574219,R_A4
1645.616943359375,0.0,27,301.0782775878906,37,21,2018-01-01,0.23012666404247284,0,48,STANDARD,301.0782775878906,R_A4
1651.3060302734375,0.0,28,301.4598083496094,37,22,2018-01-01,0.8324090242385864,0,48,STANDARD,301.4598083496094,R_A4
1649.7645263671875,0.0,27,301.3564147949219,38,23,2018-01-01,0.8255008459091187,0,48,STANDARD,301.3564147949219,R_A4
1654.835693359375,0.0,27,301.696533203125,38,24,2018-01-01,0.6481541991233826,0,47,STANDARD,301.696533203125,R_A4
1685.42578125,0.0,1,303.8819274902344,31,1,2018-01-01,1.0,0,20,STANDARD,303.8819274902344,R_A5
1687.7447509765625,0.0,2,304.1016845703125,31,2,2018-01-01,1.0,0,20,STANDARD,304.1016845703125,R_A5
1690.0635986328125,0.0,3,304.3214111328125,31,3,2018-01-01,1.0,0,20,STANDARD,304.3214111328125,R_A5
1692.382568359375,0.0,4,304.5411682128906,31,4,2018-01-01,1.0,0,20,STANDARD,304.5411682128906,R_A5
1694.701416015625,0.0,5,304.76092529296875,31,5,2018-01-01,1.0,0,20,STANDARD,304.76092529296875,R_A5
1697.0203857421875,0.0,6,304.9806823730469,31,6,2018-01-01,1.0,0,20,STANDARD,304.9806823730469,R_A5
1699.33935546875,0.0,7,305.5062255859375,31,7,2018-01-01,1.0,0,20,STANDARD,305.5062255859375,R_A5
1701.658203125,0.0,8,305.7259826660156,31,8,2018-01-01,1.0,0,20,STANDARD,305.7259826660156,R_A5
1708.414794921875,0.0,11,306.0606384277344,31,9,2018-01-01,1.0,0,20,STANDARD,306.0606384277344,R_A5
1710.3331298828125,0.0,12,306.2424621582031,31,10,2018-01-01,1.0,0,20,STANDARD,306.2424621582031,R_A5
1701.51318359375,0.0,12,305.4065856933594,31,11,2018-01-01,1.0,0,21,STANDARD,305.4065856933594,R_A5
1703.4171142578125,0.0,13,305.5989685058594,31,12,2018-01-01,1.0,0,21,STANDARD,305.5989685058594,R_A5
1705.321044921875,0.0,14,305.7794189453125,31,13,2018-01-01,1.0,0,21,STANDARD,305.7794189453125,R_A5
1707.2249755859375,0.0,15,305.9598388671875,31,14,2018-01-01,1.0,0,21,STANDARD,305.9598388671875,R_A5
1709.12890625,0.0,16,306.2853088378906,31,15,2018-01-01,1.0,0,21,STANDARD,306.2853088378906,R_A5
1711.032958984375,0.0,17,306.4657287597656,31,16,2018-01-01,1.0,0,21,STANDARD,306.4657287597656,R_A5
1712.7847900390625,0.0,18,306.63177490234375,31,17,2018-01-01,1.0,0,21,STANDARD,306.63177490234375,R_A5
1713.859619140625,0.0,19,306.733642578125,31,18,2018-01-01,1.0,0,21,STANDARD,306.733642578125,R_A5
1715.3143310546875,0.0,25,306.71441650390625,31,19,2018-01-01,1.0,0,21,STANDARD,306.71441650390625,R_A5
1717.673583984375,0.0,26,306.9380187988281,31,20,2018-01-01,1.0,0,21,STANDARD,306.9380187988281,R_A5
1720.03271484375,0.0,27,307.4673767089844,31,21,2018-01-01,1.0,0,21,STANDARD,307.4673767089844,R_A5
1722.3919677734375,0.0,28,307.69097900390625,31,22,2018-01-01,1.0,0,21,STANDARD,307.69097900390625,R_A5
1724.751220703125,0.0,29,307.9145812988281,31,23,2018-01-01,1.0,0,21,STANDARD,307.9145812988281,R_A5
1694.3515625,0.0,1,305.0335388183594,17,1,2018-01-01,1.0,0,42,STANDARD,305.0335388183594,R_A6
1695.8819580078125,0.0,2,305.1785888671875,17,2,2018-01-01,1.0,0,42,STANDARD,305.1785888671875,R_A6
1697.4124755859375,0.0,3,305.3236083984375,17,3,2018-01-01,1.0,0,42,STANDARD,305.3236083984375,R_A6
1698.9429931640625,0.0,4,305.4686584472656,17,4,2018-01-01,1.0,0,42,STANDARD,305.4686584472656,R_A6
1700.473388671875,0.0,5,305.61370849609375,17,5,2018-01-01,1.0,0,42,STANDARD,305.61370849609375,R_A6
1702.00390625,0.0,6,305.75872802734375,17,6,2018-01-01,1.0,0,42,STANDARD,305.75872802734375,R_A6
1703.5343017578125,0.0,7,305.604736328125,17,7,2018-01-01,1.0,0,42,STANDARD,305.604736328125,R_A6
1705.0648193359375,0.0,8,305.7497863769531,17,8,2018-01-01,1.0,0,42,STANDARD,305.7497863769531,R_A6
1706.5953369140625,0.0,9,306.1938781738281,17,9,2018-01-01,1.0,0,42,STANDARD,306.1938781738281,R_A6
1708.125732421875,0.0,10,306.0331115722656,17,10,2018-01-01,1.0,0,42,STANDARD,306.0331115722656,R_A6
1710.019287109375,0.0,11,306.21270751953125,17,11,2018-01-01,1.0,0,42,STANDARD,306.21270751953125,R_A6
1712.276123046875,0.0,12,306.42657470703125,17,12,2018-01-01,1.0,0,42,STANDARD,306.42657470703125,R_A6
1714.5328369140625,0.0,13,306.6524353027344,17,13,2018-01-01,1.0,0,42,STANDARD,306.6524353027344,R_A6
1716.78955078125,0.0,14,306.8663024902344,17,14,2018-01-01,1.0,0,42,STANDARD,306.8663024902344,R_A6
1719.0462646484375,0.0,15,307.0802001953125,17,15,2018-01-01,1.0,0,42,STANDARD,307.0802001953125,R_A6
1721.3031005859375,0.0,16,307.4390869140625,17,16,2018-01-01,1.0,0,42,STANDARD,307.4390869140625,R_A6
1723.559814453125,0.0,17,307.6529846191406,17,17,2018-01-01,1.0,0,42,STANDARD,307.6529846191406,R_A6
1725.177001953125,0.0,18,307.8062438964844,17,18,2018-01-01,1.0,0,42,STANDARD,307.8062438964844,R_A6
1726.517578125,0.0,25,307.7762145996094,17,19,2018-01-01,1.0,0,42,STANDARD,307.7762145996094,R_A6
1728.2210693359375,0.0,26,308.2434387207031,17,20,2018-01-01,1.0,0,42,STANDARD,308.2434387207031,R_A6
1729.924560546875,0.0,27,308.4049072265625,17,21,2018-01-01,1.0,0,42,STANDARD,308.4049072265625,R_A6
1731.6279296875,0.0,28,308.56634521484375,17,22,2018-01-01,1.0,0,42,STANDARD,308.56634521484375,R_A6
1733.3314208984375,0.0,29,308.4220275878906,17,23,2018-01-01,1.0,0,42,STANDARD,308.4220275878906,R_A6
1640.3475341796875,0.0,1,297.6670837402344,22,1,2018-03-01,0.05302847549319267,0,30,STANDARD,297.6670837402344,R_A2
1642.1231689453125,0.0,2,297.7860412597656,22,2,2018-03-01,0.055818069726228714,0,30,STANDARD,297.7860412597656,R_A2
