CONJPOS,PRESSURE,DATE,CONKPOS,WELL,SGAS,WELLMODEL,DEPTH,DRAWDOWN,CONIDX,SWAT,CONIPOS,CONBPRES
30,300.6733093261719,2018-01-01,1,R_A2,0.0,STANDARD,1641.094970703125,0,1,0.05649875849485397,22,300.6733093261719
30,300.7936096191406,2018-01-01,2,R_A2,0.0,STANDARD,1642.8890380859375,0,2,0.05709094554185867,22,300.7936096191406
30,300.9139099121094,2018-01-01,3,R_A2,0.0,STANDARD,1644.68310546875,0,3,0.06132970005273819,22,300.9139099121094
30,301.0342102050781,2018-01-01,4,R_A2,0.0,STANDARD,1646.4771728515625,0,4,0.06751589477062225,22,301.0342102050781
30,301.1545104980469,2018-01-01,5,R_A2,0.0,STANDARD,1648.2713623046875,0,5,0.07101739197969437,22,301.1545104980469
30,301.27484130859375,2018-01-01,6,R_A2,0.0,STANDARD,1650.0654296875,0,6,0.3220924139022827,22,301.27484130859375
30,301.3951721191406,2018-01-01,7,R_A2,0.0,STANDARD,1651.859619140625,0,7,0.6901668310165405,22,301.3951721191406
30,301.5154724121094,2018-01-01,8,R_A2,0.0,STANDARD,1653.6536865234375,0,8,0.6481541991233826,22,301.5154724121094
30,301.63580322265625,2018-01-01,9,R_A2,0.0,STANDARD,1655.44775390625,0,9,0.6481541991233826,22,301.63580322265625
30,301.7561340332031,2018-01-01,10,R_A2,0.0,STANDARD,1657.2418212890625,0,10,0.9162277579307556,22,301.7561340332031
30,301.88323974609375,2018-01-01,11,R_A2,0.0,STANDARD,1659.1368408203125,0,11,0.07591938227415085,22,301.88323974609375
30,302.01708984375,2018-01-01,12,R_A2,0.0,STANDARD,1661.132568359375,0,12,0.08079689741134644,22,302.01708984375
30,302.1509704589844,2018-01-01,13,R_A2,0.0,STANDARD,1663.12841796875,0,13,0.45630839467048645,22,302.1509704589844
30,302.28485107421875,2018-01-01,14,R_A2,0.0,STANDARD,1665.1241455078125,0,14,0.503816545009613,22,302.28485107421875
30,302.4187316894531,2018-01-01,15,R_A2,0.0,STANDARD,1667.1199951171875,0,15,0.6866241097450256,22,302.4187316894531
30,302.5526123046875,2018-01-01,16,R_A2,0.0,STANDARD,1669.11572265625,0,16,0.9751048684120178,22,302.5526123046875
30,302.6864929199219,2018-01-01,17,R_A2,0.0,STANDARD,1671.111572265625,0,17,0.9595911502838135,22,302.6864929199219
30,302.8123779296875,2018-01-01,18,R_A2,0.0,STANDARD,1672.9881591796875,0,18,0.980763852596283,22,302.8123779296875
29,302.89569091796875,2018-01-01,18,R_A2,0.0,STANDARD,1674.229736328125,0,19,0.999263346195221,22,302.89569091796875
29,303.02569580078125,2018-01-01,27,R_A2,0.0,STANDARD,1676.1676025390625,0,20,1.0,22,303.02569580078125
29,303.47802734375,2018-01-01,28,R_A2,0.0,STANDARD,1677.9368896484375,0,21,1.0,22,303.47802734375
29,303.64569091796875,2018-01-01,29,R_A2,0.0,STANDARD,1679.7061767578125,0,22,1.0,22,303.64569091796875
29,303.8133544921875,2018-01-01,30,R_A2,0.0,STANDARD,1681.4754638671875,0,23,1.0,22,303.8133544921875
29,303.98101806640625,2018-01-01,31,R_A2,0.0,STANDARD,1683.2447509765625,0,24,1.0,22,303.98101806640625
41,298.53814697265625,2018-01-01,1,R_A3,0.0,STANDARD,1609.243408203125,0,1,0.6481541991233826,28,298.53814697265625
41,298.676513671875,2018-01-01,2,R_A3,0.0,STANDARD,1611.3077392578125,0,2,0.22876429557800293,28,298.676513671875
41,298.8148498535156,2018-01-01,3,R_A3,0.0,STANDARD,1613.3720703125,0,3,0.19760067760944366,28,298.8148498535156
41,298.9532165527344,2018-01-01,4,R_A3,0.0,STANDARD,1615.4365234375,0,4,0.3792901039123535,28,298.9532165527344
41,299.0915832519531,2018-01-01,5,R_A3,0.0,STANDARD,1617.5008544921875,0,5,0.8267315626144409,28,299.0915832519531
41,299.2299499511719,2018-01-01,6,R_A3,0.0,STANDARD,1619.565185546875,0,6,0.22688354551792145,28,299.2299499511719
41,298.54638671875,2018-01-01,6,R_A3,0.0,STANDARD,1609.3663330078125,0,7,0.26596105098724365,29,298.54638671875
41,298.68377685546875,2018-01-01,7,R_A3,0.0,STANDARD,1611.4163818359375,0,8,0.19722381234169006,29,298.68377685546875
41,298.8211669921875,2018-01-01,8,R_A3,0.0,STANDARD,1613.46630859375,0,9,0.3807685971260071,29,298.8211669921875
41,298.95855712890625,2018-01-01,9,R_A3,0.0,STANDARD,1615.516357421875,0,10,0.8020743727684021,29,298.95855712890625
41,299.095947265625,2018-01-01,10,R_A3,0.0,STANDARD,1617.5662841796875,0,11,0.7998339533805847,29,299.095947265625
41,299.24237060546875,2018-01-01,11,R_A3,0.0,STANDARD,1619.750732421875,0,12,0.048946261405944824,29,299.24237060546875
41,299.3978271484375,2018-01-01,12,R_A3,0.0,STANDARD,1622.0697021484375,0,13,0.05424661189317703,29,299.3978271484375
41,299.5532531738281,2018-01-01,13,R_A3,0.0,STANDARD,1624.388671875,0,14,0.3695291578769684,29,299.5532531738281
41,299.7087097167969,2018-01-01,14,R_A3,0.0,STANDARD,1626.707763671875,0,15,0.36767199635505676,29,299.7087097167969
41,299.8641662597656,2018-01-01,15,R_A3,0.0,STANDARD,1629.026611328125,0,16,0.4412824809551239,29,299.8641662597656
41,299.992919921875,2018-01-01,16,R_A3,0.0,STANDARD,1630.9468994140625,0,17,0.8111897110939026,29,299.992919921875
41,300.16583251953125,2018-01-01,27,R_A3,0.0,STANDARD,1633.5262451171875,0,18,0.37905046343803406,29,300.16583251953125
41,300.40966796875,2018-01-01,28,R_A3,0.0,STANDARD,1637.1630859375,0,19,0.04574024677276611,29,300.40966796875
41,300.6535339355469,2018-01-01,29,R_A3,0.0,STANDARD,1640.8001708984375,0,20,0.05056381970643997,29,300.6535339355469
41,300.89739990234375,2018-01-01,30,R_A3,0.0,STANDARD,1644.4371337890625,0,21,0.6481541991233826,29,300.89739990234375
41,301.14129638671875,2018-01-01,31,R_A3,0.0,STANDARD,1648.0740966796875,0,22,0.06256569176912308,29,301.14129638671875
52,300.009033203125,2018-01-01,1,R_A4,0.0,STANDARD,1631.1873779296875,0,1,0.05170147493481636,30,300.009033203125
52,299.7571105957031,2018-01-01,1,R_A4,0.0,STANDARD,1627.4293212890625,0,2,0.048609890043735504,31,299.7571105957031
52,299.89520263671875,2018-01-01,2,R_A4,0.0,STANDARD,1629.4896240234375,0,3,0.05221238359808922,31,299.89520263671875
52,300.0333251953125,2018-01-01,3,R_A4,0.0,STANDARD,1631.5498046875,0,4,0.054313696920871735,31,300.0333251953125
52,300.17144775390625,2018-01-01,4,R_A4,0.0,STANDARD,1633.610107421875,0,5,0.05736476555466652,31,300.17144775390625
52,300.0901184082031,2018-01-01,4,R_A4,0.0,STANDARD,1632.3968505859375,0,6,0.056389473378658295,32,300.0901184082031
51,300.3236999511719,2018-01-01,4,R_A4,0.0,STANDARD,1635.880615234375,0,7,0.05910776928067207,32,300.3236999511719
51,300.4202575683594,2018-01-01,4,R_A4,0.0,STANDARD,1637.321044921875,0,8,0.05742491036653519,33,300.4202575683594
51,300.29644775390625,2018-01-01,3,R_A4,0.0,STANDARD,1635.474609375,0,9,0.05627985671162605,33,300.29644775390625
50,300.74395751953125,2018-01-01,4,R_A4,0.0,STANDARD,1642.1485595703125,0,10,0.06314294040203094,33,300.74395751953125
50,300.67578125,2018-01-01,4,R_A4,0.0,STANDARD,1641.132080078125,0,11,0.06145904213190079,34,300.67578125
50,300.5467224121094,2018-01-01,3,R_A4,0.0,STANDARD,1639.20703125,0,12,0.1401393711566925,34,300.5467224121094
50,300.66064453125,2018-01-01,3,R_A4,0.0,STANDARD,1640.9061279296875,0,13,0.14248615503311157,35,300.66064453125
