SGAS,DEPTH,CONJPOS,WELLMODEL,CONKPOS,CONIPOS,WELL,SWAT,PRESSURE,CONBPRES,DATE,DRAWDOWN,CONIDX
0.0,1636.4700927734375,30,STANDARD,1,22,R_A2,0.05468546226620674,300.3587951660156,300.3587951660156,2018-01-01,0,1
0.0,1638.24853515625,30,STANDARD,2,22,R_A2,0.05513660982251167,300.47802734375,300.47802734375,2018-01-01,0,2
0.0,1640.0269775390625,30,STANDARD,3,22,R_A2,0.05868089571595192,300.5972595214844,300.5972595214844,2018-01-01,0,3
0.0,1641.805419921875,30,STANDARD,4,22,R_A2,0.06269636005163193,300.7165222167969,300.7165222167969,2018-01-01,0,4
0.0,1643.583984375,30,STANDARD,5,22,R_A2,0.06588844209909439,300.8357849121094,300.8357849121094,2018-01-01,0,5
0.0,1645.3624267578125,30,STANDARD,6,22,R_A2,0.1559567004442215,300.95501708984375,300.95501708984375,2018-01-01,0,6
0.0,1647.140869140625,30,STANDARD,7,22,R_A2,0.8687970042228699,301.07427978515625,301.07427978515625,2018-01-01,0,7
0.0,1648.9193115234375,30,STANDARD,8,22,R_A2,0.86151522397995,301.19354248046875,301.19354248046875,2018-01-01,0,8
0.0,1650.69775390625,30,STANDARD,9,22,R_A2,0.8732351660728455,301.3128356933594,301.3128356933594,2018-01-01,0,9
0.0,1652.476318359375,30,STANDARD,10,22,R_A2,0.8955979347229004,301.4320983886719,301.4320983886719,2018-01-01,0,10
0.0,1654.37158203125,30,STANDARD,11,22,R_A2,0.06991176307201385,301.5592041015625,301.5592041015625,2018-01-01,0,11
0.0,1656.383544921875,30,STANDARD,12,22,R_A2,0.19388602674007416,301.69415283203125,301.69415283203125,2018-01-01,0,12
0.0,1658.3955078125,30,STANDARD,13,22,R_A2,0.43586811423301697,301.8290710449219,301.8290710449219,2018-01-01,0,13
0.0,1660.407470703125,30,STANDARD,14,22,R_A2,0.5093390941619873,301.9640197753906,301.9640197753906,2018-01-01,0,14
0.0,1662.41943359375,30,STANDARD,15,22,R_A2,0.9173230528831482,302.0989990234375,302.0989990234375,2018-01-01,0,15
0.0,1664.431396484375,30,STANDARD,16,22,R_A2,0.925651490688324,302.23394775390625,302.23394775390625,2018-01-01,0,16
0.0,1669.1632080078125,29,STANDARD,16,22,R_A2,0.9540823698043823,302.5513610839844,302.5513610839844,2018-01-01,0,17
0.0,1671.38330078125,29,STANDARD,17,22,R_A2,0.9520090222358704,302.7002868652344,302.7002868652344,2018-01-01,0,18
0.0,1672.9940185546875,29,STANDARD,18,22,R_A2,0.9737644195556641,302.808349609375,302.808349609375,2018-01-01,0,19
0.0,1674.3804931640625,29,STANDARD,27,22,R_A2,0.6481541991233826,302.9013671875,302.9013671875,2018-01-01,0,20
0.0,1676.1524658203125,29,STANDARD,28,22,R_A2,0.8485139012336731,303.020263671875,303.020263671875,2018-01-01,0,21
0.0,1677.92431640625,29,STANDARD,29,22,R_A2,1.0,303.47686767578125,303.47686767578125,2018-01-01,0,22
0.0,1679.6962890625,29,STANDARD,30,22,R_A2,1.0,303.644775390625,303.644775390625,2018-01-01,0,23
0.0,1681.4681396484375,29,STANDARD,31,22,R_A2,1.0,303.81268310546875,303.81268310546875,2018-01-01,0,24
0.0,1606.9556884765625,41,STANDARD,1,28,R_A3,0.6481541991233826,298.3804016113281,298.3804016113281,2018-01-01,0,1
0.0,1608.96435546875,41,STANDARD,2,28,R_A3,0.11823459714651108,298.5150146484375,298.5150146484375,2018-01-01,0,2
0.0,1610.9730224609375,41,STANDARD,3,28,R_A3,0.11823459714651108,298.6496276855469,298.6496276855469,2018-01-01,0,3
0.0,1612.981689453125,41,STANDARD,4,28,R_A3,0.6481541991233826,298.7842712402344,298.7842712402344,2018-01-01,0,4
0.0,1614.9903564453125,41,STANDARD,5,28,R_A3,0.8302210569381714,298.91888427734375,298.91888427734375,2018-01-01,0,5
0.0,1616.9990234375,41,STANDARD,6,28,R_A3,0.6481541991233826,299.05352783203125,299.05352783203125,2018-01-01,0,6
0.0,1619.0076904296875,41,STANDARD,7,28,R_A3,0.20725886523723602,299.1881408691406,299.1881408691406,2018-01-01,0,7
0.0,1613.037841796875,41,STANDARD,7,29,R_A3,0.20112280547618866,298.78802490234375,298.78802490234375,2018-01-01,0,8
0.0,1615.03857421875,41,STANDARD,8,29,R_A3,0.20010727643966675,298.922119140625,298.922119140625,2018-01-01,0,9
0.0,1617.0391845703125,41,STANDARD,9,29,R_A3,0.8005304932594299,299.05621337890625,299.05621337890625,2018-01-01,0,10
0.0,1619.0399169921875,41,STANDARD,10,29,R_A3,0.8064109086990356,299.1903076171875,299.1903076171875,2018-01-01,0,11
0.0,1621.3125,41,STANDARD,11,29,R_A3,0.04961813986301422,299.3426513671875,299.3426513671875,2018-01-01,0,12
0.0,1623.8568115234375,41,STANDARD,12,29,R_A3,0.057519808411598206,299.51318359375,299.51318359375,2018-01-01,0,13
0.0,1626.4010009765625,41,STANDARD,13,29,R_A3,0.37530747056007385,299.6837463378906,299.6837463378906,2018-01-01,0,14
0.0,1628.9453125,41,STANDARD,14,29,R_A3,0.35031068325042725,299.85430908203125,299.85430908203125,2018-01-01,0,15
0.0,1631.3753662109375,41,STANDARD,15,29,R_A3,0.8113042116165161,300.0172119140625,300.0172119140625,2018-01-01,0,16
0.0,1634.5001220703125,41,STANDARD,27,29,R_A3,0.6481541991233826,300.2267150878906,300.2267150878906,2018-01-01,0,17
0.0,1637.9515380859375,41,STANDARD,28,29,R_A3,0.046312492340803146,300.4580993652344,300.4580993652344,2018-01-01,0,18
0.0,1641.40283203125,41,STANDARD,29,29,R_A3,0.17220191657543182,300.68951416015625,300.68951416015625,2018-01-01,0,19
0.0,1644.854248046875,41,STANDARD,30,29,R_A3,1.0,300.92095947265625,300.92095947265625,2018-01-01,0,20
0.0,1648.3056640625,41,STANDARD,31,29,R_A3,0.17319142818450928,301.15240478515625,301.15240478515625,2018-01-01,0,21
