FIPNUM,STOIIP_OIL,ASSOCIATEDOIL_GAS,STOIIP_TOTAL,WATER_TOTAL,GIIP_GAS,ASSOCIATEDGAS_OIL,GIIP_TOTAL,PORV_TOTAL,HCPV_OIL,WATER_PORV,HCPV_GAS,HCPV_TOTAL
1,22884363.0,0,22884363.0,49861975.0,0.0,4210722755.0,4210722755.0,87894013.0,36506604.0,51387409.0,0.0,36506604.0
2,0.0,0,0.0,69493623.0,0.0,0.0,0.0,71629217.0,0.0,71629217.0,0.0,0.0
3,18915225.0,0,18915225.0,45692146.0,0.0,3480401437.0,3480401437.0,77256027.0,30169227.0,47086800.0,0.0,30169227.0
4,0.0,0,0.0,75317931.0,0.0,0.0,0.0,77626825.0,0.0,77626825.0,0.0,0.0
5,14077396.0,0,14077396.0,35549645.0,0.0,2590240806.0,2590240806.0,59084851.0,22450421.0,36634430.0,0.0,22450421.0
6,0.0,0,0.0,44525821.0,0.0,0.0,0.0,45888857.0,0.0,45888857.0,0.0,0.0
