SWAT,CONJPOS,CONIDX,DRAWDOWN,CONBPRES,WELL,WELLMODEL,DEPTH,CONKPOS,DATE,PRESSURE,CONIPOS,SGAS
1.0,29,19,0,303.8053283691406,R_A2,STANDARD,1681.3905029296875,25,2018-01-01,303.8053283691406,22,0.0
1.0,29,20,0,303.96600341796875,R_A2,STANDARD,1683.0863037109375,26,2018-01-01,303.96600341796875,22,0.0
1.0,29,21,0,304.126708984375,R_A2,STANDARD,1684.7821044921875,27,2018-01-01,304.126708984375,22,0.0
1.0,29,22,0,304.2873840332031,R_A2,STANDARD,1686.477783203125,28,2018-01-01,304.2873840332031,22,0.0
1.0,29,23,0,304.4480895996094,R_A2,STANDARD,1688.173583984375,29,2018-01-01,304.4480895996094,22,0.0
0.6481541991233826,41,1,0,298.66387939453125,R_A3,STANDARD,1611.5811767578125,1,2018-01-01,298.66387939453125,28,0.0
0.20043490827083588,41,2,0,298.80029296875,R_A3,STANDARD,1613.6165771484375,2,2018-01-01,298.80029296875,28,0.0
0.20061498880386353,41,3,0,298.93670654296875,R_A3,STANDARD,1615.6519775390625,3,2018-01-01,298.93670654296875,28,0.0
0.3200593888759613,41,4,0,299.0731201171875,R_A3,STANDARD,1617.6873779296875,4,2018-01-01,299.0731201171875,28,0.0
0.8379549384117126,41,5,0,299.2095642089844,R_A3,STANDARD,1619.7227783203125,5,2018-01-01,299.2095642089844,28,0.0
0.8153650164604187,41,6,0,298.3453674316406,R_A3,STANDARD,1606.8287353515625,5,2018-01-01,298.3453674316406,29,0.0
0.6481541991233826,41,7,0,298.4779052734375,R_A3,STANDARD,1608.806396484375,6,2018-01-01,298.4779052734375,29,0.0
0.1954898238182068,41,8,0,298.6104431152344,R_A3,STANDARD,1610.7840576171875,7,2018-01-01,298.6104431152344,29,0.0
0.20050258934497833,41,9,0,298.74298095703125,R_A3,STANDARD,1612.7615966796875,8,2018-01-01,298.74298095703125,29,0.0
0.7985079884529114,41,10,0,298.8755187988281,R_A3,STANDARD,1614.7392578125,9,2018-01-01,298.8755187988281,29,0.0
0.7981784343719482,41,11,0,299.008056640625,R_A3,STANDARD,1616.716796875,10,2018-01-01,299.008056640625,29,0.0
0.049465492367744446,41,12,0,299.1526794433594,R_A3,STANDARD,1618.874267578125,11,2018-01-01,299.1526794433594,29,0.0
0.054621174931526184,41,13,0,299.3093566894531,R_A3,STANDARD,1621.2117919921875,12,2018-01-01,299.3093566894531,29,0.0
0.3696533441543579,41,14,0,299.4660339355469,R_A3,STANDARD,1623.54931640625,13,2018-01-01,299.4660339355469,29,0.0
0.49008721113204956,41,15,0,299.7794189453125,R_A3,STANDARD,1628.22412109375,15,2018-01-01,299.7794189453125,29,0.0
0.8114863634109497,41,16,0,299.90234375,R_A3,STANDARD,1630.0576171875,16,2018-01-01,299.90234375,29,0.0
0.6843997240066528,41,17,0,300.0726318359375,R_A3,STANDARD,1632.59814453125,25,2018-01-01,300.0726318359375,29,0.0
0.045086413621902466,41,18,0,300.322265625,R_A3,STANDARD,1636.3212890625,26,2018-01-01,300.322265625,29,0.0
0.15108712017536163,41,19,0,300.5718994140625,R_A3,STANDARD,1640.0445556640625,27,2018-01-01,300.5718994140625,29,0.0
0.6481541991233826,41,20,0,300.8215637207031,R_A3,STANDARD,1643.767822265625,28,2018-01-01,300.8215637207031,29,0.0
0.1048884242773056,41,21,0,301.07122802734375,R_A3,STANDARD,1647.490966796875,29,2018-01-01,301.07122802734375,29,0.0
0.05212225019931793,52,1,0,300.02490234375,R_A4,STANDARD,1631.88623046875,1,2018-01-01,300.02490234375,30,0.0
0.049089573323726654,52,2,0,299.760498046875,R_A4,STANDARD,1627.9420166015625,1,2018-01-01,299.760498046875,31,0.0
0.05189736187458038,52,3,0,299.8984375,R_A4,STANDARD,1629.9996337890625,2,2018-01-01,299.8984375,31,0.0
0.054639142006635666,52,4,0,300.036376953125,R_A4,STANDARD,1632.0572509765625,3,2018-01-01,300.036376953125,31,0.0
0.1741245537996292,52,5,0,300.1743469238281,R_A4,STANDARD,1634.114990234375,4,2018-01-01,300.1743469238281,31,0.0
0.05852353200316429,52,6,0,300.2416076660156,R_A4,STANDARD,1635.1182861328125,4,2018-01-01,300.2416076660156,32,0.0
0.05798584967851639,51,7,0,300.1723327636719,R_A4,STANDARD,1634.085205078125,4,2018-01-01,300.1723327636719,32,0.0
0.09371273219585419,51,8,0,300.04571533203125,R_A4,STANDARD,1632.1964111328125,3,2018-01-01,300.04571533203125,32,0.0
0.0599418506026268,51,9,0,300.3055725097656,R_A4,STANDARD,1636.0721435546875,4,2018-01-01,300.3055725097656,33,0.0
0.062394797801971436,51,10,0,300.4364318847656,R_A4,STANDARD,1638.0242919921875,5,2018-01-01,300.4364318847656,33,0.0
0.06311626732349396,51,11,0,300.56732177734375,R_A4,STANDARD,1639.9764404296875,6,2018-01-01,300.56732177734375,33,0.0
0.06273490190505981,50,12,0,300.4884338378906,R_A4,STANDARD,1638.799560546875,6,2018-01-01,300.4884338378906,33,0.0
0.06309942156076431,50,13,0,300.58795166015625,R_A4,STANDARD,1640.283935546875,6,2018-01-01,300.58795166015625,34,0.0
0.061930540949106216,50,14,0,300.46044921875,R_A4,STANDARD,1638.3822021484375,5,2018-01-01,300.46044921875,34,0.0
0.07982003688812256,50,15,0,300.33294677734375,R_A4,STANDARD,1636.48046875,4,2018-01-01,300.33294677734375,34,0.0
0.08519887924194336,50,16,0,300.7698059082031,R_A4,STANDARD,1642.9959716796875,4,2018-01-01,300.7698059082031,35,0.0
0.26972314715385437,50,17,0,300.6499328613281,R_A4,STANDARD,1641.20849609375,3,2018-01-01,300.6499328613281,35,0.0
0.23657873272895813,49,18,0,300.6477355957031,R_A4,STANDARD,1641.1756591796875,3,2018-01-01,300.6477355957031,35,0.0
0.23499755561351776,49,19,0,300.5203857421875,R_A4,STANDARD,1639.2762451171875,2,2018-01-01,300.5203857421875,35,0.0
0.214943528175354,49,20,0,300.3930358886719,R_A4,STANDARD,1637.3768310546875,1,2018-01-01,300.3930358886719,35,0.0
