CONKPOS,SGAS,CONIDX,CONIPOS,PRESSURE,DEPTH,DRAWDOWN,DATE,WELLMODEL,CONJPOS,SWAT,WELL,CONBPRES
1,0.0,1,22,300.7647705078125,1640.75634765625,0,2018-01-01,STANDARD,30,0.05332533270120621,R_A2,300.7647705078125
2,0.0,2,22,300.8898010253906,1642.6207275390625,0,2018-01-01,STANDARD,30,0.05513880029320717,R_A2,300.8898010253906
3,0.0,3,22,301.0148010253906,1644.485107421875,0,2018-01-01,STANDARD,30,0.0584230050444603,R_A2,301.0148010253906
4,0.0,4,22,301.13983154296875,1646.349365234375,0,2018-01-01,STANDARD,30,0.06407653540372849,R_A2,301.13983154296875
5,0.0,5,22,301.2648620605469,1648.2138671875,0,2018-01-01,STANDARD,30,0.06686178594827652,R_A2,301.2648620605469
6,0.0,6,22,301.389892578125,1650.0782470703125,0,2018-01-01,STANDARD,30,0.6481541991233826,R_A2,301.389892578125
7,0.0,7,22,301.5149230957031,1651.942626953125,0,2018-01-01,STANDARD,30,0.8775907158851624,R_A2,301.5149230957031
8,0.0,8,22,301.63995361328125,1653.806884765625,0,2018-01-01,STANDARD,30,0.8626895546913147,R_A2,301.63995361328125
9,0.0,9,22,301.7650146484375,1655.6712646484375,0,2018-01-01,STANDARD,30,0.8760879039764404,R_A2,301.7650146484375
10,0.0,10,22,301.8900451660156,1657.5355224609375,0,2018-01-01,STANDARD,30,0.8873338103294373,R_A2,301.8900451660156
11,0.0,11,22,302.0242004394531,1659.53564453125,0,2018-01-01,STANDARD,30,0.06973956525325775,R_A2,302.0242004394531
12,0.0,12,22,302.16748046875,1661.671630859375,0,2018-01-01,STANDARD,30,0.0719866082072258,R_A2,302.16748046875
13,0.0,13,22,302.3107604980469,1663.8074951171875,0,2018-01-01,STANDARD,30,0.43236902356147766,R_A2,302.3107604980469
14,0.0,14,22,302.4540100097656,1665.943359375,0,2018-01-01,STANDARD,30,0.46872904896736145,R_A2,302.4540100097656
15,0.0,15,22,302.5973205566406,1668.079345703125,0,2018-01-01,STANDARD,30,0.9198610186576843,R_A2,302.5973205566406
16,0.0,16,22,302.7406005859375,1670.2152099609375,0,2018-01-01,STANDARD,30,0.9514527320861816,R_A2,302.7406005859375
17,0.0,17,22,302.8838806152344,1672.35107421875,0,2018-01-01,STANDARD,30,0.9069150686264038,R_A2,302.8838806152344
18,0.0,18,22,303.011962890625,1674.2601318359375,0,2018-01-01,STANDARD,30,0.9536798596382141,R_A2,303.011962890625
26,0.0,19,22,303.1338806152344,1676.0771484375,0,2018-01-01,STANDARD,30,1.0,R_A2,303.1338806152344
27,0.0,20,22,303.2525329589844,1677.845458984375,0,2018-01-01,STANDARD,30,1.0,R_A2,303.2525329589844
27,0.0,21,22,303.116943359375,1675.82470703125,0,2018-01-01,STANDARD,29,0.6481541991233826,R_A2,303.116943359375
28,0.0,22,22,303.24609375,1677.74951171875,0,2018-01-01,STANDARD,29,1.0,R_A2,303.24609375
29,0.0,23,22,303.375244140625,1679.67431640625,0,2018-01-01,STANDARD,29,1.0,R_A2,303.375244140625
30,0.0,24,22,303.8250732421875,1681.59912109375,0,2018-01-01,STANDARD,29,1.0,R_A2,303.8250732421875
1,0.0,1,28,298.67999267578125,1609.6568603515625,0,2018-01-01,STANDARD,41,0.3635900616645813,R_A3,298.67999267578125
2,0.0,2,28,298.8149108886719,1611.670166015625,0,2018-01-01,STANDARD,41,0.15172545611858368,R_A3,298.8149108886719
3,0.0,3,28,298.9498596191406,1613.683349609375,0,2018-01-01,STANDARD,41,0.11823459714651108,R_A3,298.9498596191406
3,0.0,4,29,298.3167419433594,1604.23681640625,0,2018-01-01,STANDARD,41,0.18278644979000092,R_A3,298.3167419433594
4,0.0,5,29,298.4524230957031,1606.26123046875,0,2018-01-01,STANDARD,41,0.3487524092197418,R_A3,298.4524230957031
5,0.0,6,29,298.58807373046875,1608.2855224609375,0,2018-01-01,STANDARD,41,0.7975276708602905,R_A3,298.58807373046875
6,0.0,7,29,298.7237548828125,1610.3099365234375,0,2018-01-01,STANDARD,41,0.6481541991233826,R_A3,298.7237548828125
7,0.0,8,29,298.85943603515625,1612.334228515625,0,2018-01-01,STANDARD,41,0.2393457442522049,R_A3,298.85943603515625
