PRESSURE,SWAT,CONBPRES,WELLMODEL,DEPTH,DATE,CONJPOS,CONKPOS,DRAWDOWN,SGAS,WELL,CONIDX,CONIPOS
300.6733093261719,0.05649875849485397,300.6733093261719,STANDARD,1641.094970703125,2018-01-01,30,1,0,0.0,R_A2,1,22
300.7936096191406,0.05709094554185867,300.7936096191406,STANDARD,1642.8890380859375,2018-01-01,30,2,0,0.0,R_A2,2,22
300.9139099121094,0.06132970005273819,300.9139099121094,STANDARD,1644.68310546875,2018-01-01,30,3,0,0.0,R_A2,3,22
301.0342102050781,0.06751589477062225,301.0342102050781,STANDARD,1646.4771728515625,2018-01-01,30,4,0,0.0,R_A2,4,22
301.1545104980469,0.07101739197969437,301.1545104980469,STANDARD,1648.2713623046875,2018-01-01,30,5,0,0.0,R_A2,5,22
301.27484130859375,0.3220924139022827,301.27484130859375,STANDARD,1650.0654296875,2018-01-01,30,6,0,0.0,R_A2,6,22
301.3951721191406,0.6901668310165405,301.3951721191406,STANDARD,1651.859619140625,2018-01-01,30,7,0,0.0,R_A2,7,22
301.5154724121094,0.6481541991233826,301.5154724121094,STANDARD,1653.6536865234375,2018-01-01,30,8,0,0.0,R_A2,8,22
301.63580322265625,0.6481541991233826,301.63580322265625,STANDARD,1655.44775390625,2018-01-01,30,9,0,0.0,R_A2,9,22
301.7561340332031,0.9162277579307556,301.7561340332031,STANDARD,1657.2418212890625,2018-01-01,30,10,0,0.0,R_A2,10,22
301.88323974609375,0.07591938227415085,301.88323974609375,STANDARD,1659.1368408203125,2018-01-01,30,11,0,0.0,R_A2,11,22
302.01708984375,0.08079689741134644,302.01708984375,STANDARD,1661.132568359375,2018-01-01,30,12,0,0.0,R_A2,12,22
302.1509704589844,0.45630839467048645,302.1509704589844,STANDARD,1663.12841796875,2018-01-01,30,13,0,0.0,R_A2,13,22
302.28485107421875,0.503816545009613,302.28485107421875,STANDARD,1665.1241455078125,2018-01-01,30,14,0,0.0,R_A2,14,22
302.4187316894531,0.6866241097450256,302.4187316894531,STANDARD,1667.1199951171875,2018-01-01,30,15,0,0.0,R_A2,15,22
302.5526123046875,0.9751048684120178,302.5526123046875,STANDARD,1669.11572265625,2018-01-01,30,16,0,0.0,R_A2,16,22
302.6864929199219,0.9595911502838135,302.6864929199219,STANDARD,1671.111572265625,2018-01-01,30,17,0,0.0,R_A2,17,22
302.8123779296875,0.980763852596283,302.8123779296875,STANDARD,1672.9881591796875,2018-01-01,30,18,0,0.0,R_A2,18,22
302.89569091796875,0.999263346195221,302.89569091796875,STANDARD,1674.229736328125,2018-01-01,29,18,0,0.0,R_A2,19,22
303.02569580078125,1.0,303.02569580078125,STANDARD,1676.1676025390625,2018-01-01,29,27,0,0.0,R_A2,20,22
303.47802734375,1.0,303.47802734375,STANDARD,1677.9368896484375,2018-01-01,29,28,0,0.0,R_A2,21,22
303.64569091796875,1.0,303.64569091796875,STANDARD,1679.7061767578125,2018-01-01,29,29,0,0.0,R_A2,22,22
303.8133544921875,1.0,303.8133544921875,STANDARD,1681.4754638671875,2018-01-01,29,30,0,0.0,R_A2,23,22
303.98101806640625,1.0,303.98101806640625,STANDARD,1683.2447509765625,2018-01-01,29,31,0,0.0,R_A2,24,22
298.53814697265625,0.6481541991233826,298.53814697265625,STANDARD,1609.243408203125,2018-01-01,41,1,0,0.0,R_A3,1,28
298.676513671875,0.22876429557800293,298.676513671875,STANDARD,1611.3077392578125,2018-01-01,41,2,0,0.0,R_A3,2,28
298.8148498535156,0.19760067760944366,298.8148498535156,STANDARD,1613.3720703125,2018-01-01,41,3,0,0.0,R_A3,3,28
298.9532165527344,0.3792901039123535,298.9532165527344,STANDARD,1615.4365234375,2018-01-01,41,4,0,0.0,R_A3,4,28
299.0915832519531,0.8267315626144409,299.0915832519531,STANDARD,1617.5008544921875,2018-01-01,41,5,0,0.0,R_A3,5,28
299.2299499511719,0.22688354551792145,299.2299499511719,STANDARD,1619.565185546875,2018-01-01,41,6,0,0.0,R_A3,6,28
