CONKPOS,CONIDX,SGAS,WELL,DEPTH,CONJPOS,DATE,DRAWDOWN,CONBPRES,PRESSURE,SWAT,CONIPOS,WELLMODEL
9,9,-2.7774112084646627e-14,R_A6,1707.7119140625,42,2018-11-07,0,278.1449279785156,278.1449279785156,1.0,17,STANDARD
10,10,0.0,R_A6,1709.2659912109375,42,2018-11-07,0,278.2847595214844,278.2847595214844,1.0,17,STANDARD
11,11,-6.196349856824046e-12,R_A6,1711.237548828125,42,2018-11-07,0,282.3295593261719,282.3295593261719,1.0,17,STANDARD
12,12,-1.3620812377296287e-12,R_A6,1713.626708984375,42,2018-11-07,0,282.552490234375,282.552490234375,1.0,17,STANDARD
13,13,-2.2888754693667357e-13,R_A6,1716.015869140625,42,2018-11-07,0,282.8226318359375,282.8226318359375,1.0,17,STANDARD
14,14,-1.5966430109461138e-13,R_A6,1718.405029296875,42,2018-11-07,0,283.04888916015625,283.04888916015625,1.0,17,STANDARD
15,15,-1.0022346586544342e-13,R_A6,1720.794189453125,42,2018-11-07,0,283.2754211425781,283.2754211425781,1.0,17,STANDARD
16,16,-4.637958379437486e-14,R_A6,1723.183349609375,42,2018-11-07,0,283.6471252441406,283.6471252441406,1.0,17,STANDARD
17,17,-4.654592073642487e-14,R_A6,1725.563232421875,42,2018-11-07,0,283.872802734375,283.872802734375,1.0,17,STANDARD
18,18,-3.797946996502745e-14,R_A6,1726.919677734375,42,2018-11-07,0,284.00128173828125,284.00128173828125,1.0,17,STANDARD
27,19,1.0859650174553301e-14,R_A6,1727.957275390625,42,2018-11-07,0,283.9643859863281,283.9643859863281,1.0,17,STANDARD
28,20,1.9627959908709736e-15,R_A6,1729.6903076171875,42,2018-11-07,0,284.4259948730469,284.4259948730469,1.0,17,STANDARD
29,21,-1.5279040502574506e-20,R_A6,1731.42333984375,42,2018-11-07,0,284.8734130859375,284.8734130859375,1.0,17,STANDARD
30,22,-1.4138037622067156e-15,R_A6,1733.15625,42,2018-11-07,0,284.7764892578125,284.7764892578125,1.0,17,STANDARD
31,23,-1.9922011631513803e-15,R_A6,1734.8892822265625,42,2018-11-07,0,284.62432861328125,284.62432861328125,1.0,17,STANDARD
