CONIDX,WELL,PRESSURE,DATE,DEPTH,CONJPOS,CONBPRES,DRAWDOWN,CONIPOS,SWAT,WELLMODEL,CONKPOS,SGAS
1,R_A2,300.5106506347656,2018-01-01,1640.14990234375,30,300.5106506347656,0,22,0.05974316596984863,STANDARD,1,0.0
2,R_A2,300.6290588378906,2018-01-01,1641.9156494140625,30,300.6290588378906,0,22,0.060762036591768265,STANDARD,2,0.0
3,R_A2,300.7474670410156,2018-01-01,1643.6815185546875,30,300.7474670410156,0,22,0.06368599086999893,STANDARD,3,0.0
4,R_A2,300.8658752441406,2018-01-01,1645.447265625,30,300.8658752441406,0,22,0.06922604888677597,STANDARD,4,0.0
5,R_A2,300.9842834472656,2018-01-01,1647.213134765625,30,300.9842834472656,0,22,0.07182205468416214,STANDARD,5,0.0
6,R_A2,301.1026916503906,2018-01-01,1648.9788818359375,30,301.1026916503906,0,22,0.3175029158592224,STANDARD,6,0.0
7,R_A2,301.2210998535156,2018-01-01,1650.7447509765625,30,301.2210998535156,0,22,0.9101696014404297,STANDARD,7,0.0
8,R_A2,301.3395080566406,2018-01-01,1652.510498046875,30,301.3395080566406,0,22,0.8745797276496887,STANDARD,8,0.0
9,R_A2,301.45794677734375,2018-01-01,1654.2762451171875,30,301.45794677734375,0,22,0.9261060953140259,STANDARD,9,0.0
10,R_A2,301.57635498046875,2018-01-01,1656.0421142578125,30,301.57635498046875,0,22,0.9247227311134338,STANDARD,10,0.0
11,R_A2,301.7059020996094,2018-01-01,1657.9735107421875,30,301.7059020996094,0,22,0.08215685188770294,STANDARD,11,0.0
12,R_A2,301.8465576171875,2018-01-01,1660.0706787109375,30,301.8465576171875,0,22,0.07356389611959457,STANDARD,12,0.0
13,R_A2,301.9872131347656,2018-01-01,1662.1678466796875,30,301.9872131347656,0,22,0.4826289415359497,STANDARD,13,0.0
14,R_A2,302.1278991699219,2018-01-01,1664.2650146484375,30,302.1278991699219,0,22,0.5640509128570557,STANDARD,14,0.0
15,R_A2,302.2685546875,2018-01-01,1666.3621826171875,30,302.2685546875,0,22,0.9716346263885498,STANDARD,15,0.0
16,R_A2,302.40924072265625,2018-01-01,1668.459228515625,30,302.40924072265625,0,22,0.9848089218139648,STANDARD,16,0.0
17,R_A2,302.5499267578125,2018-01-01,1670.556396484375,30,302.5499267578125,0,22,0.9795591235160828,STANDARD,17,0.0
18,R_A2,303.0088806152344,2018-01-01,1674.5546875,29,303.0088806152344,0,22,1.0,STANDARD,17,0.0
19,R_A2,303.1628723144531,2018-01-01,1676.1800537109375,29,303.1628723144531,0,22,1.0,STANDARD,18,0.0
20,R_A2,303.1442565917969,2018-01-01,1677.6414794921875,29,303.1442565917969,0,22,1.0,STANDARD,28,0.0
21,R_A2,303.6109924316406,2018-01-01,1679.3399658203125,29,303.6109924316406,0,22,1.0,STANDARD,29,0.0
