PRESSURE,CONKPOS,SWAT,DATE,CONIDX,WELLMODEL,CONIPOS,CONJPOS,CONBPRES,WELL,SGAS,DRAWDOWN,DEPTH
300.80517578125,1,0.06210258975625038,2018-01-01,1,STANDARD,22,30,300.80517578125,R_A2,0.0,0,1644.2327880859375
300.9231262207031,2,0.06336421519517899,2018-01-01,2,STANDARD,22,30,300.9231262207031,R_A2,0.0,0,1645.99169921875
301.04107666015625,3,0.06745821237564087,2018-01-01,3,STANDARD,22,30,301.04107666015625,R_A2,0.0,0,1647.750732421875
301.1590270996094,4,0.07402902841567993,2018-01-01,4,STANDARD,22,30,301.1590270996094,R_A2,0.0,0,1649.5096435546875
301.2769775390625,5,0.07812031358480453,2018-01-01,5,STANDARD,22,30,301.2769775390625,R_A2,0.0,0,1651.2686767578125
301.39495849609375,6,0.24558499455451965,2018-01-01,6,STANDARD,22,30,301.39495849609375,R_A2,0.0,0,1653.027587890625
301.5129089355469,7,0.9154509902000427,2018-01-01,7,STANDARD,22,30,301.5129089355469,R_A2,0.0,0,1654.78662109375
301.6308898925781,8,0.9081557393074036,2018-01-01,8,STANDARD,22,30,301.6308898925781,R_A2,0.0,0,1656.545654296875
301.7488708496094,9,0.9312442541122437,2018-01-01,9,STANDARD,22,30,301.7488708496094,R_A2,0.0,0,1658.3045654296875
301.8668212890625,10,0.6481541991233826,2018-01-01,10,STANDARD,22,30,301.8668212890625,R_A2,0.0,0,1660.0635986328125
301.99102783203125,11,0.0898396223783493,2018-01-01,11,STANDARD,22,30,301.99102783203125,R_A2,0.0,0,1661.9151611328125
302.1214294433594,12,0.34640198945999146,2018-01-01,12,STANDARD,22,30,302.1214294433594,R_A2,0.0,0,1663.859375
302.2518615722656,13,0.5146023631095886,2018-01-01,13,STANDARD,22,30,302.2518615722656,R_A2,0.0,0,1665.8037109375
302.3822937011719,14,0.593998372554779,2018-01-01,14,STANDARD,22,30,302.3822937011719,R_A2,0.0,0,1667.7479248046875
302.5126953125,15,0.7663570642471313,2018-01-01,15,STANDARD,22,30,302.5126953125,R_A2,0.0,0,1669.6922607421875
302.64312744140625,16,1.0,2018-01-01,16,STANDARD,22,30,302.64312744140625,R_A2,0.0,0,1671.636474609375
302.7451477050781,16,1.0,2018-01-01,17,STANDARD,22,29,302.7451477050781,R_A2,0.0,0,1673.156982421875
303.0774230957031,17,1.0,2018-01-01,18,STANDARD,22,29,303.0774230957031,R_A2,0.0,0,1675.278076171875
