CONIPOS,DATE,WELL,PRESSURE,SWAT,CONIDX,WELLMODEL,DRAWDOWN,DEPTH,CONJPOS,SGAS,CONBPRES,CONKPOS
22,2018-01-01,R_A2,300.6733093261719,0.11639835685491562,1,STANDARD,0,1641.094970703125,30,0.0,300.6733093261719,1
22,2018-01-01,R_A2,300.7936096191406,0.05913596972823143,2,STANDARD,0,1642.8890380859375,30,0.0,300.7936096191406,2
22,2018-01-01,R_A2,300.9139099121094,0.1264522522687912,3,STANDARD,0,1644.68310546875,30,0.0,300.9139099121094,3
22,2018-01-01,R_A2,301.0342102050781,0.10851117223501205,4,STANDARD,0,1646.4771728515625,30,0.0,301.0342102050781,4
22,2018-01-01,R_A2,301.1545104980469,0.11078716069459915,5,STANDARD,0,1648.2713623046875,30,0.0,301.1545104980469,5
22,2018-01-01,R_A2,301.27484130859375,0.31581538915634155,6,STANDARD,0,1650.0654296875,30,0.0,301.27484130859375,6
22,2018-01-01,R_A2,301.3951721191406,0.8967062830924988,7,STANDARD,0,1651.859619140625,30,0.0,301.3951721191406,7
22,2018-01-01,R_A2,301.5154724121094,0.8729602694511414,8,STANDARD,0,1653.6536865234375,30,0.0,301.5154724121094,8
22,2018-01-01,R_A2,301.63580322265625,0.9158713817596436,9,STANDARD,0,1655.44775390625,30,0.0,301.63580322265625,9
22,2018-01-01,R_A2,301.7561340332031,0.9034853577613831,10,STANDARD,0,1657.2418212890625,30,0.0,301.7561340332031,10
22,2018-01-01,R_A2,301.88323974609375,0.07596161216497421,11,STANDARD,0,1659.1368408203125,30,0.0,301.88323974609375,11
22,2018-01-01,R_A2,302.01708984375,0.08016353845596313,12,STANDARD,0,1661.132568359375,30,0.0,302.01708984375,12
22,2018-01-01,R_A2,302.1509704589844,0.45490843057632446,13,STANDARD,0,1663.12841796875,30,0.0,302.1509704589844,13
22,2018-01-01,R_A2,302.28485107421875,0.5153446793556213,14,STANDARD,0,1665.1241455078125,30,0.0,302.28485107421875,14
22,2018-01-01,R_A2,302.4187316894531,0.712632954120636,15,STANDARD,0,1667.1199951171875,30,0.0,302.4187316894531,15
22,2018-01-01,R_A2,302.5526123046875,0.9810691475868225,16,STANDARD,0,1669.11572265625,30,0.0,302.5526123046875,16
