FIPNUM,STOIIP_OIL,ASSOCIATEDOIL_GAS,STOIIP_TOTAL,WIIP_TOTAL,GIIP_GAS,ASSOCIATEDGAS_OIL,GIIP_TOTAL,PORV_TOTAL,HCPV_OIL,WATPV_TOTAL,HCPV_GAS,HCPV_TOTAL,REGION,ZONE
1,532652.0,0.0,532652.0,87804156.0,0.0,75008036.0,75008036.0,91560176.0,763990.0,90796186.0,0.0,763990.0,WestLowland,Valysar
2,5741973.0,0.0,5741973.0,14587318.0,0.0,808584640.0,808584640.0,23317794.0,8232346.0,15085448.0,0.0,8232346.0,CentralSouth,Valysar
3,2408620.0,0.0,2408620.0,11842142.0,0.0,339181908.0,339181908.0,15699169.0,3453505.0,12245665.0,0.0,3453505.0,CentralNorth,Valysar
4,157832.0,83983.0,241815.0,3474201.0,546424119.0,30923968.0,577348086.0,6200534.0,256996.0,3593317.0,2350221.0,2607217.0,NorthHorst,Valysar
5,996388.0,0.0,996388.0,749861.0,0.0,140311400.0,140311400.0,2204975.0,1429281.0,775694.0,0.0,1429281.0,CentralRamp,Valysar
6,5407430.0,0.0,5407430.0,6926703.0,0.0,761474246.0,761474246.0,14922326.0,7757834.0,7164492.0,0.0,7757834.0,CentralHorst,Valysar
7,10069.0,0.0,10069.0,34461761.0,0.0,1417904.0,1417904.0,35637205.0,14437.0,35622768.0,0.0,14437.0,EastLowland,Valysar
8,126901.0,0.0,126901.0,108182319.0,0.0,17870240.0,17870240.0,112049040.0,181988.0,111867052.0,0.0,181988.0,WestLowland,Therys
9,799249.0,0.0,799249.0,5826078.0,0.0,112550276.0,112550276.0,7171100.0,1145710.0,6025390.0,0.0,1145710.0,CentralSouth,Therys
10,1437250.0,0.0,1437250.0,12414013.0,0.0,202393578.0,202393578.0,14896902.0,2060390.0,12836512.0,0.0,2060390.0,CentralNorth,Therys
11,183572.0,68577.0,252148.0,4006708.0,444874553.0,35967181.0,480841734.0,6355306.0,298904.0,4143887.0,1912515.0,2211419.0,NorthHorst,Therys
12,767972.0,0.0,767972.0,354865.0,0.0,108145808.0,108145808.0,1468381.0,1101312.0,367070.0,0.0,1101312.0,CentralRamp,Therys
13,3535458.0,0.0,3535458.0,4813615.0,-0.0,497863189.0,497863189.0,10049687.0,5071374.0,4978313.0,0.0,5071374.0,CentralHorst,Therys
14,0.0,0.0,0.0,18947996.0,0.0,0.0,0.0,19582172.0,0.0,19582172.0,0.0,0.0,EastLowland,Therys
15,10768.0,0.0,10768.0,77206362.0,0.0,1516412.0,1516412.0,79841069.0,15441.0,79825628.0,0.0,15441.0,WestLowland,Volon
16,2266253.0,0.0,2266253.0,35768676.0,-0.0,319133719.0,319133719.0,40234970.0,3248519.0,36986451.0,0.0,3248519.0,CentralSouth,Volon
17,156498.0,0.0,156498.0,6042002.0,0.0,22038032.0,22038032.0,6471793.0,224320.0,6247473.0,0.0,224320.0,CentralNorth,Volon
18,243632.0,24295.0,267927.0,1664903.0,156983477.0,47734796.0,204718274.0,2792950.0,396702.0,1721821.0,674427.0,1071129.0,NorthHorst,Volon
19,1102192.0,0.0,1102192.0,865619.0,0.0,155210638.0,155210638.0,2475445.0,1580142.0,895303.0,0.0,1580142.0,CentralRamp,Volon
20,7231814.0,0.0,7231814.0,8960797.0,0.0,1018384083.0,1018384083.0,19638704.0,10371190.0,9267514.0,0.0,10371190.0,CentralHorst,Volon
21,0.0,0.0,0.0,34404420.0,0.0,0.0,0.0,35565549.0,0.0,35565549.0,0.0,0.0,EastLowland,Volon
