DRAWDOWN,CONIDX,CONBPRES,CONKPOS,SWAT,WELL,DATE,WELLMODEL,CONIPOS,CONJPOS,SGAS,DEPTH,PRESSURE
0,1,300.7571105957031,1,0.05341549962759018,R_A2,2018-01-01,STANDARD,22,30,0.0,1641.1036376953125,300.7571105957031
0,2,300.8742980957031,2,0.05668161064386368,R_A2,2018-01-01,STANDARD,22,30,0.0,1642.8515625,300.8742980957031
0,3,300.99151611328125,3,0.05936383455991745,R_A2,2018-01-01,STANDARD,22,30,0.0,1644.599365234375,300.99151611328125
0,4,301.1087341308594,4,0.08082588016986847,R_A2,2018-01-01,STANDARD,22,30,0.0,1646.3472900390625,301.1087341308594
0,5,301.2259521484375,5,0.06615439057350159,R_A2,2018-01-01,STANDARD,22,30,0.0,1648.09521484375,301.2259521484375
0,6,301.3431701660156,6,0.3133924901485443,R_A2,2018-01-01,STANDARD,22,30,0.0,1649.843017578125,301.3431701660156
0,7,301.46038818359375,7,0.8799077272415161,R_A2,2018-01-01,STANDARD,22,30,0.0,1651.5909423828125,301.46038818359375
0,8,301.5776062011719,8,0.8742120862007141,R_A2,2018-01-01,STANDARD,22,30,0.0,1653.3388671875,301.5776062011719
0,9,301.69482421875,9,0.8983030319213867,R_A2,2018-01-01,STANDARD,22,30,0.0,1655.0867919921875,301.69482421875
0,10,301.81207275390625,10,0.8945038318634033,R_A2,2018-01-01,STANDARD,22,30,0.0,1656.834716796875,301.81207275390625
0,11,301.9386901855469,11,0.06955847889184952,R_A2,2018-01-01,STANDARD,22,30,0.0,1658.7222900390625,301.9386901855469
0,12,302.21063232421875,13,0.43912768363952637,R_A2,2018-01-01,STANDARD,22,30,0.0,1662.77685546875,302.21063232421875
0,13,302.34661865234375,14,0.4879440665245056,R_A2,2018-01-01,STANDARD,22,30,0.0,1664.80419921875,302.34661865234375
0,14,302.4826354980469,15,0.9327322840690613,R_A2,2018-01-01,STANDARD,22,30,0.0,1666.8314208984375,302.4826354980469
0,15,302.6186218261719,16,0.928843080997467,R_A2,2018-01-01,STANDARD,22,30,0.0,1668.858642578125,302.6186218261719
0,16,302.7546081542969,17,0.9001584649085999,R_A2,2018-01-01,STANDARD,22,30,0.0,1670.885986328125,302.7546081542969
0,17,303.12109375,18,0.9922423958778381,R_A2,2018-01-01,STANDARD,22,29,0.0,1676.3485107421875,303.12109375
0,18,303.2244873046875,25,1.0,R_A2,2018-01-01,STANDARD,22,29,0.0,1677.88916015625,303.2244873046875
0,19,303.3401794433594,26,0.8208461403846741,R_A2,2018-01-01,STANDARD,22,29,0.0,1679.613525390625,303.3401794433594
0,20,303.8003234863281,27,1.0,R_A2,2018-01-01,STANDARD,22,29,0.0,1681.3380126953125,303.8003234863281
0,21,303.9637451171875,28,1.0,R_A2,2018-01-01,STANDARD,22,29,0.0,1683.0625,303.9637451171875
0,22,304.1271667480469,29,1.0,R_A2,2018-01-01,STANDARD,22,29,0.0,1684.786865234375,304.1271667480469
0,1,298.6886291503906,1,0.2634735405445099,R_A3,2018-01-01,STANDARD,28,41,0.0,1610.24755859375,298.6886291503906
0,2,298.8251953125,2,0.19263897836208344,R_A3,2018-01-01,STANDARD,28,41,0.0,1612.28515625,298.8251953125
0,3,298.96173095703125,3,0.11823459714651108,R_A3,2018-01-01,STANDARD,28,41,0.0,1614.3226318359375,298.96173095703125
0,4,298.2590637207031,3,0.18380741775035858,R_A3,2018-01-01,STANDARD,29,41,0.0,1603.837646484375,298.2590637207031
0,5,298.3969421386719,4,0.17797115445137024,R_A3,2018-01-01,STANDARD,29,41,0.0,1605.8951416015625,298.3969421386719
0,6,298.5348205566406,5,0.6481541991233826,R_A3,2018-01-01,STANDARD,29,41,0.0,1607.95263671875,298.5348205566406
0,7,298.6726989746094,6,0.6802381873130798,R_A3,2018-01-01,STANDARD,29,41,0.0,1610.0101318359375,298.6726989746094
0,8,298.81060791015625,7,0.35388463735580444,R_A3,2018-01-01,STANDARD,29,41,0.0,1612.067626953125,298.81060791015625
0,9,298.9485168457031,8,0.1970893144607544,R_A3,2018-01-01,STANDARD,29,41,0.0,1614.1251220703125,298.9485168457031
0,10,299.0863952636719,9,0.6481541991233826,R_A3,2018-01-01,STANDARD,29,41,0.0,1616.1826171875,299.0863952636719
0,11,299.22430419921875,10,0.6481541991233826,R_A3,2018-01-01,STANDARD,29,41,0.0,1618.2401123046875,299.22430419921875
0,12,299.36944580078125,11,0.0485844612121582,R_A3,2018-01-01,STANDARD,29,41,0.0,1620.405517578125,299.36944580078125
0,13,299.5218505859375,12,0.054626863449811935,R_A3,2018-01-01,STANDARD,29,41,0.0,1622.6788330078125,299.5218505859375
0,14,299.67425537109375,13,0.3743728697299957,R_A3,2018-01-01,STANDARD,29,41,0.0,1624.9522705078125,299.67425537109375
0,15,299.97906494140625,15,0.4835050702095032,R_A3,2018-01-01,STANDARD,29,41,0.0,1629.4991455078125,299.97906494140625
0,16,300.1137390136719,16,0.8054484128952026,R_A3,2018-01-01,STANDARD,29,41,0.0,1631.5078125,300.1137390136719
0,17,300.29840087890625,25,0.3051254451274872,R_A3,2018-01-01,STANDARD,29,41,0.0,1634.262451171875,300.29840087890625
0,18,300.5439453125,26,0.04455512762069702,R_A3,2018-01-01,STANDARD,29,41,0.0,1637.9248046875,300.5439453125
0,19,300.7895202636719,27,0.14887425303459167,R_A3,2018-01-01,STANDARD,29,41,0.0,1641.587158203125,300.7895202636719
0,20,301.0351257324219,28,0.6481541991233826,R_A3,2018-01-01,STANDARD,29,41,0.0,1645.2496337890625,301.0351257324219
