CONKPOS,CONIDX,WELLMODEL,DEPTH,SWAT,PRESSURE,DRAWDOWN,CONJPOS,CONIPOS,DATE,WELL,SGAS,CONBPRES
1,1,STANDARD,1640.379638671875,0.053331855684518814,300.74560546875,0,30,22,2018-01-01,R_A2,0.0,300.74560546875
2,2,STANDARD,1642.124755859375,0.05435018986463547,300.86260986328125,0,30,22,2018-01-01,R_A2,0.0,300.86260986328125
3,3,STANDARD,1643.8697509765625,0.05666646733880043,300.9796447753906,0,30,22,2018-01-01,R_A2,0.0,300.9796447753906
4,4,STANDARD,1645.61474609375,0.06079444661736488,301.0966491699219,0,30,22,2018-01-01,R_A2,0.0,301.0966491699219
5,5,STANDARD,1647.35986328125,0.06405921280384064,301.21368408203125,0,30,22,2018-01-01,R_A2,0.0,301.21368408203125
6,6,STANDARD,1649.10498046875,0.30209338665008545,301.3307189941406,0,30,22,2018-01-01,R_A2,0.0,301.3307189941406
7,7,STANDARD,1650.85009765625,0.8697574138641357,301.44775390625,0,30,22,2018-01-01,R_A2,0.0,301.44775390625
8,8,STANDARD,1652.59521484375,0.8406333327293396,301.5647888183594,0,30,22,2018-01-01,R_A2,0.0,301.5647888183594
9,9,STANDARD,1654.3402099609375,0.6481541991233826,301.68182373046875,0,30,22,2018-01-01,R_A2,0.0,301.68182373046875
10,10,STANDARD,1656.0853271484375,0.8817368149757385,301.7988586425781,0,30,22,2018-01-01,R_A2,0.0,301.7988586425781
11,11,STANDARD,1657.9921875,0.06725506484508514,301.9267578125,0,30,22,2018-01-01,R_A2,0.0,301.9267578125
12,12,STANDARD,1660.0609130859375,0.0719606801867485,302.0655212402344,0,30,22,2018-01-01,R_A2,0.0,302.0655212402344
13,13,STANDARD,1662.1295166015625,0.43243148922920227,302.20428466796875,0,30,22,2018-01-01,R_A2,0.0,302.20428466796875
14,14,STANDARD,1664.1982421875,0.4676225483417511,302.3430480957031,0,30,22,2018-01-01,R_A2,0.0,302.3430480957031
15,15,STANDARD,1666.266845703125,0.897463858127594,302.4818115234375,0,30,22,2018-01-01,R_A2,0.0,302.4818115234375
16,16,STANDARD,1668.3355712890625,0.9165583252906799,302.6205749511719,0,30,22,2018-01-01,R_A2,0.0,302.6205749511719
17,17,STANDARD,1670.404296875,0.8726671934127808,302.7593688964844,0,30,22,2018-01-01,R_A2,0.0,302.7593688964844
17,18,STANDARD,1673.5435791015625,0.9334250092506409,302.969970703125,0,29,22,2018-01-01,R_A2,0.0,302.969970703125
18,19,STANDARD,1675.3258056640625,0.965337872505188,303.08953857421875,0,29,22,2018-01-01,R_A2,0.0,303.08953857421875
26,20,STANDARD,1676.97607421875,1.0,303.2002868652344,0,29,22,2018-01-01,R_A2,0.0,303.2002868652344
27,21,STANDARD,1678.75048828125,1.0,303.3193359375,0,29,22,2018-01-01,R_A2,0.0,303.3193359375
28,22,STANDARD,1680.525146484375,0.8609155416488647,303.43841552734375,0,29,22,2018-01-01,R_A2,0.0,303.43841552734375
