order,utm_x,utm_y,measured_depth,true_vertical_depth,zone,pressure,swat,sgas,soil,valid_zone,is_active,i,j,k,well,time
0,460994.9,5933813.29,1697.9,1648.9,Valysar,298.3471374511719,0.05922456458210945,0.0,0.9407754354178905,True,True,21,29,2,R_A2,2018-03-01
0,462753.44,5932869.64,1673.4,1624.4,Therys,298.1013488769531,0.050647612661123276,0.0,0.9493523873388767,True,True,28,40,11,R_A3,2018-07-03
1,462753.44,5932869.64,1690.7,1641.7,Volon,286.10467529296875,0.04755287617444992,0.0,0.9524471238255501,True,True,28,40,27,R_A3,2018-07-03
0,464008.822,5931878.919,2578.7,1634.538,Valysar,280.86083984375,0.05752763897180557,0.0,0.9424723610281944,True,True,31,50,3,R_A4,2018-09-12
1,464291.761,5932429.155,3197.5,1643.655,Volon,277.8836669921875,0.22137419879436493,0.0,0.7786258012056351,True,True,35,48,28,R_A4,2018-09-12
0,461519.21,5935692.65,1737.8,1688.8,Valysar,281.7773132324219,1.0,-6.019065801332601e-10,6.019065801332601e-10,True,True,30,19,3,R_A5,2018-04-28
1,461519.21,5935692.65,1769.1,1720.1,Volon,283.110107421875,1.0,-3.3363160731282246e-14,3.3363160731282246e-14,True,True,30,20,25,R_A5,2018-04-28
0,461292.74,5931883.26,1759.9,1710.9,Therys,282.3075866699219,1.0,-3.109533117107155e-11,3.109533117107155e-11,True,True,16,41,10,R_A6,2018-11-07
1,461292.74,5931883.26,1777.4,1728.4,Volon,284.657470703125,1.0,-8.368023071345099e-13,8.368023071345099e-13,True,True,16,41,26,R_A6,2018-11-07
