WELL,WELLMODEL,CONIPOS,CONJPOS,CONBPRES,CONIDX,SWAT,SGAS,DRAWDOWN,CONKPOS,PRESSURE,DEPTH,DATE
R_A2,STANDARD,22,30,300.79150390625,1,0.05340924486517906,0.0,0,1,300.79150390625,1640.87060546875,2018-01-01
R_A2,STANDARD,22,30,300.9106750488281,2,0.055411193519830704,0.0,0,2,300.9106750488281,1642.6474609375,2018-01-01
R_A2,STANDARD,22,30,301.0298156738281,3,0.05785384029150009,0.0,0,3,301.0298156738281,1644.4241943359375,2018-01-01
R_A2,STANDARD,22,30,301.1489562988281,4,0.0644410252571106,0.0,0,4,301.1489562988281,1646.2010498046875,2018-01-01
R_A2,STANDARD,22,30,301.2680969238281,5,0.06659901142120361,0.0,0,5,301.2680969238281,1647.977783203125,2018-01-01
R_A2,STANDARD,22,30,301.38726806640625,6,0.6481541991233826,0.0,0,6,301.38726806640625,1649.7545166015625,2018-01-01
R_A2,STANDARD,22,30,301.5064392089844,7,0.8683619499206543,0.0,0,7,301.5064392089844,1651.5313720703125,2018-01-01
R_A2,STANDARD,22,30,301.6255798339844,8,0.6481541991233826,0.0,0,8,301.6255798339844,1653.30810546875,2018-01-01
R_A2,STANDARD,22,30,301.7447509765625,9,0.6481541991233826,0.0,0,9,301.7447509765625,1655.0848388671875,2018-01-01
R_A2,STANDARD,22,30,301.8639221191406,10,0.894871711730957,0.0,0,10,301.8639221191406,1656.861572265625,2018-01-01
R_A2,STANDARD,22,30,301.9913635253906,11,0.06868363171815872,0.0,0,11,301.9913635253906,1658.761474609375,2018-01-01
R_A2,STANDARD,22,30,302.1270751953125,12,0.07199623435735703,0.0,0,12,302.1270751953125,1660.78466796875,2018-01-01
R_A2,STANDARD,22,30,302.26275634765625,13,0.42983192205429077,0.0,0,13,302.26275634765625,1662.8077392578125,2018-01-01
R_A2,STANDARD,22,30,302.3984680175781,14,0.45173120498657227,0.0,0,14,302.3984680175781,1664.830810546875,2018-01-01
R_A2,STANDARD,22,30,302.5341796875,15,0.5336113572120667,0.0,0,15,302.5341796875,1666.85400390625,2018-01-01
R_A2,STANDARD,22,30,302.669921875,16,0.9261295795440674,0.0,0,16,302.669921875,1668.8770751953125,2018-01-01
R_A2,STANDARD,22,30,302.8056335449219,17,0.8751584887504578,0.0,0,17,302.8056335449219,1670.900146484375,2018-01-01
R_A2,STANDARD,22,30,302.93218994140625,18,0.9177823662757874,0.0,0,18,302.93218994140625,1672.7867431640625,2018-01-01
R_A2,STANDARD,22,29,303.02081298828125,19,0.9341930747032166,0.0,0,18,303.02081298828125,1674.107666015625,2018-01-01
R_A2,STANDARD,22,29,303.0938720703125,20,0.965269923210144,0.0,0,19,303.0938720703125,1675.1966552734375,2018-01-01
R_A2,STANDARD,22,29,303.16546630859375,21,0.7508805394172668,0.0,0,25,303.16546630859375,1676.2635498046875,2018-01-01
R_A2,STANDARD,22,29,303.2855224609375,22,0.7845561504364014,0.0,0,26,303.2855224609375,1678.0528564453125,2018-01-01
R_A2,STANDARD,22,29,303.40557861328125,23,1.0,0.0,0,27,303.40557861328125,1679.84228515625,2018-01-01
R_A2,STANDARD,22,29,303.525634765625,24,1.0,0.0,0,28,303.525634765625,1681.631591796875,2018-01-01
R_A2,STANDARD,22,29,303.9977111816406,25,1.0,0.0,0,29,303.9977111816406,1683.4208984375,2018-01-01
R_A3,STANDARD,28,41,298.6396484375,1,0.6481541991233826,0.0,0,1,298.6396484375,1608.7706298828125,2018-01-01
R_A3,STANDARD,28,41,298.7726745605469,2,0.19257912039756775,0.0,0,2,298.7726745605469,1610.7552490234375,2018-01-01
