Project name			: /private/asny/Desktop/reek/resmod/ff/2019a/r001/rms/model/reek.rms11.0.1
Date				: 2020.02.19 16:54:29
Grid model name			: Simgrid

   Zone      Region index          Bulk                Pore                Hcpv               Stoiip       
UpperReek  1                       265237662.40         46536847.08         36524494.88         22971380.05
UpperReek  2                               0.00                0.00                0.00                0.00
UpperReek  Totals                  265237662.40         46536847.08         36524494.88         22971380.05
MidReek    1                       202844349.16         40891312.32         33842491.12         21284585.27
MidReek    2                               0.00                0.00                0.00                0.00
MidReek    Totals                  202844349.16         40891312.32         33842491.12         21284585.27
LowerReek  1                       133545921.05         27464513.35         22374719.19         14072150.21
LowerReek  2                               0.00                0.00                0.00                0.00
LowerReek  Totals                  133545921.05         27464513.35         22374719.19         14072150.21
Totals     1                       601627932.62        114892672.75         92741705.18         58328115.53
Totals     2                               0.00                0.00                0.00                0.00
Totals     Totals                  601627932.62        114892672.75         92741705.18         58328115.53
