CONBPRES,SGAS,CONIPOS,SWAT,DATE,WELLMODEL,CONJPOS,PRESSURE,WELL,CONIDX,DRAWDOWN,DEPTH,CONKPOS
300.7765808105469,0.0,22,0.09103701263666153,2018-01-01,STANDARD,30,300.7765808105469,R_A2,1,0,1641.2869873046875,1
300.8940124511719,0.0,22,0.05647168308496475,2018-01-01,STANDARD,30,300.8940124511719,R_A2,2,0,1643.0382080078125,2
301.0114440917969,0.0,22,0.05935511365532875,2018-01-01,STANDARD,30,301.0114440917969,R_A2,3,0,1644.789306640625,3
301.1288757324219,0.0,22,0.0847170352935791,2018-01-01,STANDARD,30,301.1288757324219,R_A2,4,0,1646.54052734375,4
301.2463073730469,0.0,22,0.1940269023180008,2018-01-01,STANDARD,30,301.2463073730469,R_A2,5,0,1648.2916259765625,5
301.3637390136719,0.0,22,0.3124275505542755,2018-01-01,STANDARD,30,301.3637390136719,R_A2,6,0,1650.0428466796875,6
301.4811706542969,0.0,22,0.8866371512413025,2018-01-01,STANDARD,30,301.4811706542969,R_A2,7,0,1651.7939453125,7
301.5986328125,0.0,22,0.8601852655410767,2018-01-01,STANDARD,30,301.5986328125,R_A2,8,0,1653.5450439453125,8
301.716064453125,0.0,22,0.8947086930274963,2018-01-01,STANDARD,30,301.716064453125,R_A2,9,0,1655.2962646484375,9
301.8335266113281,0.0,22,0.8967384099960327,2018-01-01,STANDARD,30,301.8335266113281,R_A2,10,0,1657.04736328125,10
301.9627685546875,0.0,22,0.07025164365768433,2018-01-01,STANDARD,30,301.9627685546875,R_A2,11,0,1658.974365234375,11
302.10382080078125,0.0,22,0.1492650955915451,2018-01-01,STANDARD,30,302.10382080078125,R_A2,12,0,1661.0771484375,12
302.244873046875,0.0,22,0.4423415958881378,2018-01-01,STANDARD,30,302.244873046875,R_A2,13,0,1663.1800537109375,13
302.38592529296875,0.0,22,0.48046213388442993,2018-01-01,STANDARD,30,302.38592529296875,R_A2,14,0,1665.2828369140625,14
302.5270080566406,0.0,22,0.9050703048706055,2018-01-01,STANDARD,30,302.5270080566406,R_A2,15,0,1667.3857421875,15
302.6680603027344,0.0,22,0.9323744773864746,2018-01-01,STANDARD,30,302.6680603027344,R_A2,16,0,1669.488525390625,16
302.80914306640625,0.0,22,0.9036679267883301,2018-01-01,STANDARD,30,302.80914306640625,R_A2,17,0,1671.59130859375,17
302.91668701171875,0.0,22,0.9619600176811218,2018-01-01,STANDARD,30,302.91668701171875,R_A2,18,0,1673.1944580078125,18
303.01373291015625,0.0,22,0.4062541127204895,2018-01-01,STANDARD,30,303.01373291015625,R_A2,19,0,1674.64111328125,26
303.28851318359375,0.0,22,0.7785711884498596,2018-01-01,STANDARD,29,303.28851318359375,R_A2,20,0,1678.736328125,26
303.714599609375,0.0,22,1.0,2018-01-01,STANDARD,29,303.714599609375,R_A2,21,0,1680.4332275390625,27
303.8753967285156,0.0,22,1.0,2018-01-01,STANDARD,29,303.8753967285156,R_A2,22,0,1682.1302490234375,28
304.0362243652344,0.0,22,1.0,2018-01-01,STANDARD,29,304.0362243652344,R_A2,23,0,1683.8271484375,29
304.197021484375,0.0,22,1.0,2018-01-01,STANDARD,29,304.197021484375,R_A2,24,0,1685.524169921875,30
297.783203125,0.0,29,0.6481541991233826,2018-01-01,STANDARD,41,297.783203125,R_A3,1,0,1596.629150390625,1
297.93560791015625,0.0,29,0.1626015603542328,2018-01-01,STANDARD,41,297.93560791015625,R_A3,2,0,1598.9033203125,2
298.0879821777344,0.0,29,0.18498753011226654,2018-01-01,STANDARD,41,298.0879821777344,R_A3,3,0,1601.177490234375,3
298.2403869628906,0.0,29,0.2202322781085968,2018-01-01,STANDARD,41,298.2403869628906,R_A3,4,0,1603.45166015625,4
298.3927917480469,0.0,29,0.3156971037387848,2018-01-01,STANDARD,41,298.3927917480469,R_A3,5,0,1605.725830078125,5
298.5451965332031,0.0,29,0.22829821705818176,2018-01-01,STANDARD,41,298.5451965332031,R_A3,6,0,1608.0,6
298.6976013183594,0.0,29,0.28010305762290955,2018-01-01,STANDARD,41,298.6976013183594,R_A3,7,0,1610.2742919921875,7
298.8500061035156,0.0,29,0.24663414061069489,2018-01-01,STANDARD,41,298.8500061035156,R_A3,8,0,1612.5484619140625,8
299.00244140625,0.0,29,0.7965468168258667,2018-01-01,STANDARD,41,299.00244140625,R_A3,9,0,1614.8226318359375,9
299.1548767089844,0.0,29,0.7951086759567261,2018-01-01,STANDARD,41,299.1548767089844,R_A3,10,0,1617.0968017578125,10
299.3080749511719,0.0,29,0.045905258506536484,2018-01-01,STANDARD,41,299.3080749511719,R_A3,11,0,1619.382568359375,11
299.4620666503906,0.0,29,0.05468552187085152,2018-01-01,STANDARD,41,299.4620666503906,R_A3,12,0,1621.6796875,12
299.61602783203125,0.0,29,0.3589797019958496,2018-01-01,STANDARD,41,299.61602783203125,R_A3,13,0,1623.976806640625,13
299.92401123046875,0.0,29,0.601466715335846,2018-01-01,STANDARD,41,299.92401123046875,R_A3,14,0,1628.571044921875,15
300.0653991699219,0.0,29,0.7973917126655579,2018-01-01,STANDARD,41,300.0653991699219,R_A3,15,0,1630.6796875,16
300.13970947265625,0.0,29,0.7771295309066772,2018-01-01,STANDARD,41,300.13970947265625,R_A3,16,0,1631.7880859375,17
300.2757568359375,0.0,29,0.6841393113136292,2018-01-01,STANDARD,41,300.2757568359375,R_A3,17,0,1633.8175048828125,26
300.5279846191406,0.0,29,0.04868202656507492,2018-01-01,STANDARD,41,300.5279846191406,R_A3,18,0,1637.57958984375,27
300.7802429199219,0.0,29,0.08480844646692276,2018-01-01,STANDARD,41,300.7802429199219,R_A3,19,0,1641.3414306640625,28
301.0325012207031,0.0,29,0.6481541991233826,2018-01-01,STANDARD,41,301.0325012207031,R_A3,20,0,1645.1033935546875,29
301.2847900390625,0.0,29,0.08969037234783173,2018-01-01,STANDARD,41,301.2847900390625,R_A3,21,0,1648.865478515625,30
300.33642578125,0.0,30,0.05234094709157944,2018-01-01,STANDARD,52,300.33642578125,R_A4,1,0,1634.722412109375,1
299.9344177246094,0.0,31,0.04904107376933098,2018-01-01,STANDARD,52,299.9344177246094,R_A4,2,0,1628.7261962890625,1
300.0666198730469,0.0,31,0.051101505756378174,2018-01-01,STANDARD,52,300.0666198730469,R_A4,3,0,1630.6978759765625,2
300.19879150390625,0.0,31,0.054826974868774414,2018-01-01,STANDARD,52,300.19879150390625,R_A4,4,0,1632.669677734375,3
300.04534912109375,0.0,32,0.051806993782520294,2018-01-01,STANDARD,52,300.04534912109375,R_A4,5,0,1630.3809814453125,3
300.1658935546875,0.0,32,0.05747781693935394,2018-01-01,STANDARD,52,300.1658935546875,R_A4,6,0,1632.1787109375,4
300.5657958984375,0.0,32,0.05763993039727211,2018-01-01,STANDARD,51,300.5657958984375,R_A4,7,0,1638.1435546875,4
300.4481201171875,0.0,32,0.0554356575012207,2018-01-01,STANDARD,51,300.4481201171875,R_A4,8,0,1636.38818359375,3
300.4735107421875,0.0,33,0.05682976171374321,2018-01-01,STANDARD,51,300.4735107421875,R_A4,9,0,1636.766845703125,3
300.59375,0.0,33,0.05967884138226509,2018-01-01,STANDARD,51,300.59375,R_A4,10,0,1638.5601806640625,4
301.14056396484375,0.0,33,0.06335466355085373,2018-01-01,STANDARD,50,301.14056396484375,R_A4,11,0,1646.7149658203125,4
300.8566589355469,0.0,34,0.062024958431720734,2018-01-01,STANDARD,50,300.8566589355469,R_A4,12,0,1642.481201171875,4
300.7324523925781,0.0,34,0.06252094358205795,2018-01-01,STANDARD,50,300.7324523925781,R_A4,13,0,1640.628662109375,3
300.6933898925781,0.0,35,0.07780107110738754,2018-01-01,STANDARD,50,300.6933898925781,R_A4,14,0,1640.046142578125,3
300.572998046875,0.0,35,0.0730861946940422,2018-01-01,STANDARD,50,300.572998046875,R_A4,15,0,1638.25048828125,2
300.6568908691406,0.0,35,0.08774425089359283,2018-01-01,STANDARD,49,300.6568908691406,R_A4,16,0,1639.501708984375,29
300.9438781738281,0.0,36,0.13361752033233643,2018-01-01,STANDARD,49,300.9438781738281,R_A4,17,0,1643.78173828125,29
300.98455810546875,0.0,36,0.09486208856105804,2018-01-01,STANDARD,48,300.98455810546875,R_A4,18,0,1644.388671875,29
301.4075927734375,0.0,37,0.24007681012153625,2018-01-01,STANDARD,48,301.4075927734375,R_A4,19,0,1650.69677734375,29
301.02838134765625,0.0,37,1.0,2018-01-01,STANDARD,48,301.02838134765625,R_A4,20,0,1645.0419921875,28
301.5457763671875,0.0,38,0.6481541991233826,2018-01-01,STANDARD,48,301.5457763671875,R_A4,21,0,1652.7572021484375,28
301.9909362792969,0.0,38,0.6481541991233826,2018-01-01,STANDARD,47,301.9909362792969,R_A4,22,0,1659.3941650390625,28
301.6044006347656,0.0,38,0.10452593863010406,2018-01-01,STANDARD,47,301.6044006347656,R_A4,23,0,1653.631103515625,27
303.72698974609375,0.0,31,1.0,2018-01-01,STANDARD,20,303.72698974609375,R_A5,1,0,1683.7908935546875,1
303.9283142089844,0.0,31,1.0,2018-01-01,STANDARD,20,303.9283142089844,R_A5,2,0,1685.91552734375,2
304.129638671875,0.0,31,1.0,2018-01-01,STANDARD,20,304.129638671875,R_A5,3,0,1688.0400390625,3
304.33099365234375,0.0,31,1.0,2018-01-01,STANDARD,20,304.33099365234375,R_A5,4,0,1690.1646728515625,4
304.5323181152344,0.0,31,1.0,2018-01-01,STANDARD,20,304.5323181152344,R_A5,5,0,1692.2891845703125,5
304.7336730957031,0.0,31,1.0,2018-01-01,STANDARD,20,304.7336730957031,R_A5,6,0,1694.413818359375,6
305.24078369140625,0.0,31,1.0,2018-01-01,STANDARD,20,305.24078369140625,R_A5,7,0,1696.5384521484375,7
305.442138671875,0.0,31,1.0,2018-01-01,STANDARD,20,305.442138671875,R_A5,8,0,1698.6630859375,8
305.44293212890625,0.0,31,1.0,2018-01-01,STANDARD,21,305.44293212890625,R_A5,9,0,1701.89697265625,11
305.62969970703125,0.0,31,1.0,2018-01-01,STANDARD,21,305.62969970703125,R_A5,10,0,1703.867431640625,12
305.8283996582031,0.0,31,1.0,2018-01-01,STANDARD,21,305.8283996582031,R_A5,11,0,1705.8380126953125,13
306.0151672363281,0.0,31,1.0,2018-01-01,STANDARD,21,306.0151672363281,R_A5,12,0,1707.80859375,14
306.201904296875,0.0,31,1.0,2018-01-01,STANDARD,21,306.201904296875,R_A5,13,0,1709.779052734375,15
306.5336608886719,0.0,31,1.0,2018-01-01,STANDARD,21,306.5336608886719,R_A5,14,0,1711.7496337890625,16
306.7204284667969,0.0,31,1.0,2018-01-01,STANDARD,21,306.7204284667969,R_A5,15,0,1713.72021484375,17
306.8725280761719,0.0,31,1.0,2018-01-01,STANDARD,21,306.8725280761719,R_A5,16,0,1715.3250732421875,18
306.94549560546875,0.0,31,1.0,2018-01-01,STANDARD,21,306.94549560546875,R_A5,17,0,1716.09521484375,19
306.9107971191406,0.0,31,1.0,2018-01-01,STANDARD,21,306.9107971191406,R_A5,18,0,1717.3863525390625,26
307.1270446777344,0.0,31,1.0,2018-01-01,STANDARD,21,307.1270446777344,R_A5,19,0,1719.66796875,27
307.6490478515625,0.0,31,1.0,2018-01-01,STANDARD,21,307.6490478515625,R_A5,20,0,1721.9495849609375,28
307.86529541015625,0.0,31,1.0,2018-01-01,STANDARD,21,307.86529541015625,R_A5,21,0,1724.231201171875,29
308.08154296875,0.0,31,1.0,2018-01-01,STANDARD,21,308.08154296875,R_A5,22,0,1726.5128173828125,30
304.9471130371094,0.0,17,1.0,2018-01-01,STANDARD,42,304.9471130371094,R_A6,1,0,1693.4393310546875,1
305.0915832519531,0.0,17,1.0,2018-01-01,STANDARD,42,305.0915832519531,R_A6,2,0,1694.9637451171875,2
