EQLNUM,DATUM,PRESSURE,OWC,PCOWC,GOC,PCGOC,INITRS,INITRV,ACCURACY
1,2469,382.4,1699.260000,0,0,0,1,0,20
2,2469,382.4,1000.000000,0,0,0,2,0,20
