CONIPOS,DATE,PRESSURE,CONBPRES,WELLMODEL,DEPTH,CONJPOS,CONIDX,DRAWDOWN,WELL,SGAS,CONKPOS,SWAT
22,2018-01-01,300.8080749511719,300.8080749511719,STANDARD,1641.274169921875,30,1,0,R_A2,0.0,1,0.12093548476696014
22,2018-01-01,300.9272155761719,300.9272155761719,STANDARD,1643.051025390625,30,2,0,R_A2,0.0,2,0.10784740746021271
22,2018-01-01,301.04638671875,301.04638671875,STANDARD,1644.827880859375,30,3,0,R_A2,0.0,3,0.05810901150107384
22,2018-01-01,301.16552734375,301.16552734375,STANDARD,1646.604736328125,30,4,0,R_A2,0.0,4,0.06304119527339935
22,2018-01-01,301.2846984863281,301.2846984863281,STANDARD,1648.3817138671875,30,5,0,R_A2,0.0,5,0.06480792909860611
22,2018-01-01,301.40386962890625,301.40386962890625,STANDARD,1650.1585693359375,30,6,0,R_A2,0.0,6,0.29394838213920593
22,2018-01-01,301.52301025390625,301.52301025390625,STANDARD,1651.9354248046875,30,7,0,R_A2,0.0,7,0.8781226873397827
22,2018-01-01,301.6421813964844,301.6421813964844,STANDARD,1653.7122802734375,30,8,0,R_A2,0.0,8,0.875236451625824
22,2018-01-01,301.7613830566406,301.7613830566406,STANDARD,1655.4892578125,30,9,0,R_A2,0.0,9,0.887464165687561
22,2018-01-01,301.88055419921875,301.88055419921875,STANDARD,1657.26611328125,30,10,0,R_A2,0.0,10,0.8976702094078064
22,2018-01-01,302.009765625,302.009765625,STANDARD,1659.1925048828125,30,11,0,R_A2,0.0,11,0.07020345330238342
22,2018-01-01,302.1490173339844,302.1490173339844,STANDARD,1661.2685546875,30,12,0,R_A2,0.0,12,0.07065415382385254
22,2018-01-01,302.28826904296875,302.28826904296875,STANDARD,1663.344482421875,30,13,0,R_A2,0.0,13,0.431451678276062
22,2018-01-01,302.4275207519531,302.4275207519531,STANDARD,1665.4205322265625,30,14,0,R_A2,0.0,14,0.4715370535850525
22,2018-01-01,302.5668029785156,302.5668029785156,STANDARD,1667.49658203125,30,15,0,R_A2,0.0,15,0.9081190824508667
22,2018-01-01,302.7060546875,302.7060546875,STANDARD,1669.5726318359375,30,16,0,R_A2,0.0,16,0.923885703086853
22,2018-01-01,302.8453369140625,302.8453369140625,STANDARD,1671.648681640625,30,17,0,R_A2,0.0,17,0.8948431611061096
22,2018-01-01,303.00018310546875,303.00018310546875,STANDARD,1673.95654296875,29,18,0,R_A2,0.0,17,0.9220578074455261
22,2018-01-01,303.12109375,303.12109375,STANDARD,1675.759033203125,29,19,0,R_A2,0.0,18,0.9763417840003967
22,2018-01-01,303.2299499511719,303.2299499511719,STANDARD,1677.381103515625,29,20,0,R_A2,0.0,25,0.6556351184844971
22,2018-01-01,303.348388671875,303.348388671875,STANDARD,1679.1466064453125,29,21,0,R_A2,0.0,26,0.7783092260360718
22,2018-01-01,303.46685791015625,303.46685791015625,STANDARD,1680.912109375,29,22,0,R_A2,0.0,27,0.8510026931762695
22,2018-01-01,303.9272766113281,303.9272766113281,STANDARD,1682.6776123046875,29,23,0,R_A2,0.0,28,1.0
22,2018-01-01,304.0945739746094,304.0945739746094,STANDARD,1684.4429931640625,29,24,0,R_A2,0.0,29,1.0
28,2018-01-01,298.6306457519531,298.6306457519531,STANDARD,1608.7928466796875,41,1,0,R_A3,0.0,1,0.247932568192482
28,2018-01-01,298.7650451660156,298.7650451660156,STANDARD,1610.7984619140625,41,2,0,R_A3,0.0,2,0.16891106963157654
28,2018-01-01,298.89947509765625,298.89947509765625,STANDARD,1612.803955078125,41,3,0,R_A3,0.0,3,0.09459857642650604
29,2018-01-01,298.2914733886719,298.2914733886719,STANDARD,1603.7318115234375,41,4,0,R_A3,0.0,3,0.14331503212451935
29,2018-01-01,298.4331970214844,298.4331970214844,STANDARD,1605.8465576171875,41,5,0,R_A3,0.0,4,0.6481541991233826
29,2018-01-01,298.5749206542969,298.5749206542969,STANDARD,1607.9613037109375,41,6,0,R_A3,0.0,5,0.809827446937561
29,2018-01-01,298.7166442871094,298.7166442871094,STANDARD,1610.0760498046875,41,7,0,R_A3,0.0,6,0.6481541991233826
29,2018-01-01,298.8583679199219,298.8583679199219,STANDARD,1612.1907958984375,41,8,0,R_A3,0.0,7,0.19328583776950836
29,2018-01-01,299.0001220703125,299.0001220703125,STANDARD,1614.3055419921875,41,9,0,R_A3,0.0,8,0.1972411423921585
29,2018-01-01,299.141845703125,299.141845703125,STANDARD,1616.4202880859375,41,10,0,R_A3,0.0,9,0.7969943881034851
29,2018-01-01,299.2835998535156,299.2835998535156,STANDARD,1618.5350341796875,41,11,0,R_A3,0.0,10,0.7958909273147583
29,2018-01-01,299.4315185546875,299.4315185546875,STANDARD,1620.7418212890625,41,12,0,R_A3,0.0,11,0.04780501127243042
29,2018-01-01,299.5856018066406,299.5856018066406,STANDARD,1623.04052734375,41,13,0,R_A3,0.0,12,0.052970606833696365
