DRAWDOWN,WELLMODEL,PRESSURE,SGAS,CONIDX,CONIPOS,DATE,CONBPRES,CONKPOS,WELL,DEPTH,CONJPOS,SWAT
0,STANDARD,300.81585693359375,0.0,1,22,2018-01-01,300.81585693359375,1,R_A2,1641.299560546875,30,0.05369315668940544
0,STANDARD,300.9302673339844,0.0,2,22,2018-01-01,300.9302673339844,2,R_A2,1643.005859375,30,0.054419346153736115
0,STANDARD,301.044677734375,0.0,3,22,2018-01-01,301.044677734375,3,R_A2,1644.7120361328125,30,0.05851571261882782
0,STANDARD,301.15911865234375,0.0,4,22,2018-01-01,301.15911865234375,4,R_A2,1646.4183349609375,30,0.0628018006682396
0,STANDARD,301.2735290527344,0.0,5,22,2018-01-01,301.2735290527344,5,R_A2,1648.12451171875,30,0.06530357152223587
0,STANDARD,301.3879699707031,0.0,6,22,2018-01-01,301.3879699707031,6,R_A2,1649.830810546875,30,0.3123663663864136
0,STANDARD,301.50238037109375,0.0,7,22,2018-01-01,301.50238037109375,7,R_A2,1651.537109375,30,0.8760976195335388
0,STANDARD,301.6168212890625,0.0,8,22,2018-01-01,301.6168212890625,8,R_A2,1653.2432861328125,30,0.8709240555763245
0,STANDARD,301.73126220703125,0.0,9,22,2018-01-01,301.73126220703125,9,R_A2,1654.949462890625,30,0.6481541991233826
0,STANDARD,301.845703125,0.0,10,22,2018-01-01,301.845703125,10,R_A2,1656.65576171875,30,0.8834238648414612
0,STANDARD,301.97161865234375,0.0,11,22,2018-01-01,301.97161865234375,11,R_A2,1658.5330810546875,30,0.06819179654121399
0,STANDARD,302.1090087890625,0.0,12,22,2018-01-01,302.1090087890625,12,R_A2,1660.5814208984375,30,0.12199877202510834
0,STANDARD,302.24639892578125,0.0,13,22,2018-01-01,302.24639892578125,13,R_A2,1662.6297607421875,30,0.43141376972198486
0,STANDARD,302.3837890625,0.0,14,22,2018-01-01,302.3837890625,14,R_A2,1664.6781005859375,30,0.4713011682033539
0,STANDARD,302.5212097167969,0.0,15,22,2018-01-01,302.5212097167969,15,R_A2,1666.7264404296875,30,0.8995198011398315
0,STANDARD,302.65863037109375,0.0,16,22,2018-01-01,302.65863037109375,16,R_A2,1668.7747802734375,30,0.9018133282661438
0,STANDARD,303.011474609375,0.0,17,22,2018-01-01,303.011474609375,16,R_A2,1674.0343017578125,29,0.9537990689277649
0,STANDARD,303.154296875,0.0,18,22,2018-01-01,303.154296875,17,R_A2,1676.162841796875,29,0.9676804542541504
0,STANDARD,303.2635498046875,0.0,19,22,2018-01-01,303.2635498046875,18,R_A2,1677.7913818359375,29,1.0
0,STANDARD,303.359619140625,0.0,20,22,2018-01-01,303.359619140625,25,R_A2,1679.22314453125,29,1.0
0,STANDARD,303.4760437011719,0.0,21,22,2018-01-01,303.4760437011719,26,R_A2,1680.958251953125,29,1.0
0,STANDARD,303.92877197265625,0.0,22,22,2018-01-01,303.92877197265625,27,R_A2,1682.6932373046875,29,1.0
0,STANDARD,304.0931701660156,0.0,23,22,2018-01-01,304.0931701660156,28,R_A2,1684.42822265625,29,1.0
0,STANDARD,304.2575988769531,0.0,24,22,2018-01-01,304.2575988769531,29,R_A2,1686.163330078125,29,1.0
0,STANDARD,298.6239929199219,0.0,1,28,2018-01-01,298.6239929199219,1,R_A3,1608.6031494140625,41,0.2947731018066406
0,STANDARD,298.7545166015625,0.0,2,28,2018-01-01,298.7545166015625,2,R_A3,1610.5506591796875,41,0.1534489393234253
0,STANDARD,298.1676025390625,0.0,3,29,2018-01-01,298.1676025390625,2,R_A3,1601.7923583984375,41,0.18491491675376892
0,STANDARD,298.31060791015625,0.0,4,29,2018-01-01,298.31060791015625,3,R_A3,1603.9266357421875,41,0.11823459714651108
0,STANDARD,298.4536437988281,0.0,5,29,2018-01-01,298.4536437988281,4,R_A3,1606.0609130859375,41,0.13812662661075592
0,STANDARD,298.5966491699219,0.0,6,29,2018-01-01,298.5966491699219,5,R_A3,1608.195068359375,41,0.8050817251205444
0,STANDARD,298.73968505859375,0.0,7,29,2018-01-01,298.73968505859375,6,R_A3,1610.329345703125,41,0.6481541991233826
0,STANDARD,298.8827209472656,0.0,8,29,2018-01-01,298.8827209472656,7,R_A3,1612.4635009765625,41,0.1915157288312912
0,STANDARD,299.0257873535156,0.0,9,29,2018-01-01,299.0257873535156,8,R_A3,1614.5977783203125,41,0.1954335719347
0,STANDARD,299.1688232421875,0.0,10,29,2018-01-01,299.1688232421875,9,R_A3,1616.73193359375,41,0.7938790917396545
0,STANDARD,299.3118896484375,0.0,11,29,2018-01-01,299.3118896484375,10,R_A3,1618.8662109375,41,0.7996078729629517
0,STANDARD,299.46002197265625,0.0,12,29,2018-01-01,299.46002197265625,11,R_A3,1621.0765380859375,41,0.04710746929049492
0,STANDARD,299.6133117675781,0.0,13,29,2018-01-01,299.6133117675781,12,R_A3,1623.3629150390625,41,0.05378248170018196
0,STANDARD,299.7665710449219,0.0,14,29,2018-01-01,299.7665710449219,13,R_A3,1625.6492919921875,41,0.3700203001499176
0,STANDARD,299.91986083984375,0.0,15,29,2018-01-01,299.91986083984375,14,R_A3,1627.9356689453125,41,0.36421892046928406
0,STANDARD,300.0731201171875,0.0,16,29,2018-01-01,300.0731201171875,15,R_A3,1630.2220458984375,41,0.5084166526794434
0,STANDARD,300.1981506347656,0.0,17,29,2018-01-01,300.1981506347656,16,R_A3,1632.0869140625,41,0.8017624616622925
0,STANDARD,300.3633728027344,0.0,18,29,2018-01-01,300.3633728027344,25,R_A3,1634.5513916015625,41,0.4026951491832733
0,STANDARD,300.59710693359375,0.0,19,29,2018-01-01,300.59710693359375,26,R_A3,1638.0369873046875,41,0.04414108768105507
0,STANDARD,300.830810546875,0.0,20,29,2018-01-01,300.830810546875,27,R_A3,1641.5225830078125,41,0.047593239694833755
0,STANDARD,301.0645446777344,0.0,21,29,2018-01-01,301.0645446777344,28,R_A3,1645.0081787109375,41,0.6481541991233826
0,STANDARD,301.29827880859375,0.0,22,29,2018-01-01,301.29827880859375,29,R_A3,1648.4937744140625,41,0.058834172785282135
0,STANDARD,300.2686767578125,0.0,1,30,2018-01-01,300.2686767578125,1,R_A4,1633.138671875,52,0.08532703667879105
0,STANDARD,299.9027099609375,0.0,2,31,2018-01-01,299.9027099609375,1,R_A4,1627.679931640625,52,0.22818851470947266
0,STANDARD,300.0404052734375,0.0,3,31,2018-01-01,300.0404052734375,2,R_A4,1629.7340087890625,52,0.0492379292845726
0,STANDARD,300.1781005859375,0.0,4,31,2018-01-01,300.1781005859375,3,R_A4,1631.7880859375,52,0.051351647824048996
0,STANDARD,300.3158264160156,0.0,5,31,2018-01-01,300.3158264160156,4,R_A4,1633.842041015625,52,0.05480801686644554
0,STANDARD,300.2099914550781,0.0,6,32,2018-01-01,300.2099914550781,4,R_A4,1632.2633056640625,52,0.05381398648023605
0,STANDARD,300.49981689453125,0.0,7,32,2018-01-01,300.49981689453125,4,R_A4,1636.5863037109375,51,0.05822577700018883
0,STANDARD,300.5492858886719,0.0,8,33,2018-01-01,300.5492858886719,4,R_A4,1637.323974609375,51,0.05976046249270439
0,STANDARD,300.42449951171875,0.0,9,33,2018-01-01,300.42449951171875,3,R_A4,1635.4627685546875,51,0.05598025023937225
0,STANDARD,300.913330078125,0.0,10,33,2018-01-01,300.913330078125,4,R_A4,1642.753173828125,50,0.06199115142226219
0,STANDARD,300.7834777832031,0.0,11,34,2018-01-01,300.7834777832031,4,R_A4,1640.8165283203125,50,0.0601179301738739
0,STANDARD,300.65716552734375,0.0,12,34,2018-01-01,300.65716552734375,3,R_A4,1638.93310546875,50,0.13108587265014648
0,STANDARD,300.81463623046875,0.0,13,35,2018-01-01,300.81463623046875,4,R_A4,1641.2811279296875,50,0.060047682374715805
0,STANDARD,300.6943664550781,0.0,14,35,2018-01-01,300.6943664550781,3,R_A4,1639.48779296875,50,0.17701499164104462
0,STANDARD,300.9811096191406,0.0,15,35,2018-01-01,300.9811096191406,3,R_A4,1643.763916015625,49,0.22618353366851807
0,STANDARD,300.85986328125,0.0,16,35,2018-01-01,300.85986328125,2,R_A4,1641.9559326171875,49,0.22558249533176422
0,STANDARD,301.11090087890625,0.0,17,36,2018-01-01,301.11090087890625,28,R_A4,1645.69921875,49,0.05736000835895538
0,STANDARD,301.1278991699219,0.0,18,36,2018-01-01,301.1278991699219,28,R_A4,1645.953125,48,0.05918858200311661
