CONIPOS,SWAT,DRAWDOWN,CONBPRES,SGAS,WELL,PRESSURE,CONIDX,CONJPOS,DATE,CONKPOS,WELLMODEL,DEPTH
22,0.08284465223550797,0,300.7933044433594,0.0,R_A2,300.7933044433594,1,30,2018-01-01,1,STANDARD,1640.96728515625
22,0.05496978759765625,0,300.9117126464844,0.0,R_A2,300.9117126464844,2,30,2018-01-01,2,STANDARD,1642.7332763671875
22,0.056305114179849625,0,301.0301513671875,0.0,R_A2,301.0301513671875,3,30,2018-01-01,3,STANDARD,1644.499267578125
22,0.0618169903755188,0,301.1485595703125,0.0,R_A2,301.1485595703125,4,30,2018-01-01,4,STANDARD,1646.2652587890625
22,0.06477456539869308,0,301.2669982910156,0.0,R_A2,301.2669982910156,5,30,2018-01-01,5,STANDARD,1648.03125
22,0.29962220788002014,0,301.38543701171875,0.0,R_A2,301.38543701171875,6,30,2018-01-01,6,STANDARD,1649.79736328125
22,0.8696377277374268,0,301.5038757324219,0.0,R_A2,301.5038757324219,7,30,2018-01-01,7,STANDARD,1651.5633544921875
22,0.8538826704025269,0,301.622314453125,0.0,R_A2,301.622314453125,8,30,2018-01-01,8,STANDARD,1653.329345703125
22,0.8710371255874634,0,301.7407531738281,0.0,R_A2,301.7407531738281,9,30,2018-01-01,9,STANDARD,1655.0953369140625
22,0.8926054239273071,0,301.8592224121094,0.0,R_A2,301.8592224121094,10,30,2018-01-01,10,STANDARD,1656.861328125
22,0.06860117614269257,0,301.9864196777344,0.0,R_A2,301.9864196777344,11,30,2018-01-01,11,STANDARD,1658.7579345703125
22,0.42876988649368286,0,302.25836181640625,0.0,R_A2,302.25836181640625,12,30,2018-01-01,13,STANDARD,1662.812255859375
22,0.46668165922164917,0,302.39434814453125,0.0,R_A2,302.39434814453125,13,30,2018-01-01,14,STANDARD,1664.83935546875
22,0.9026787281036377,0,302.53033447265625,0.0,R_A2,302.53033447265625,14,30,2018-01-01,15,STANDARD,1666.866455078125
22,0.9378321170806885,0,302.66632080078125,0.0,R_A2,302.66632080078125,15,30,2018-01-01,16,STANDARD,1668.8936767578125
22,0.8742932081222534,0,302.80230712890625,0.0,R_A2,302.80230712890625,16,30,2018-01-01,17,STANDARD,1670.9207763671875
22,0.9300506114959717,0,302.9240417480469,0.0,R_A2,302.9240417480469,17,30,2018-01-01,18,STANDARD,1672.7349853515625
22,0.9616113901138306,0,303.0527648925781,0.0,R_A2,303.0527648925781,18,29,2018-01-01,18,STANDARD,1674.65380859375
22,0.7991361618041992,0,303.1698913574219,0.0,R_A2,303.1698913574219,19,29,2018-01-01,24,STANDARD,1676.3995361328125
22,0.8412377238273621,0,303.28826904296875,0.0,R_A2,303.28826904296875,20,29,2018-01-01,25,STANDARD,1678.1640625
22,0.6481541991233826,0,303.40667724609375,0.0,R_A2,303.40667724609375,21,29,2018-01-01,26,STANDARD,1679.9285888671875
22,1.0,0,303.833984375,0.0,R_A2,303.833984375,22,29,2018-01-01,27,STANDARD,1681.693115234375
22,1.0,0,304.0011901855469,0.0,R_A2,304.0011901855469,23,29,2018-01-01,28,STANDARD,1683.4576416015625
28,0.24496902525424957,0,298.7397766113281,0.0,R_A3,298.7397766113281,1,41,2018-01-01,1,STANDARD,1610.3345947265625
28,0.12179934233427048,0,298.8731994628906,0.0,R_A3,298.8731994628906,2,41,2018-01-01,2,STANDARD,1612.3253173828125
28,0.08307632058858871,0,299.0066223144531,0.0,R_A3,299.0066223144531,3,41,2018-01-01,3,STANDARD,1614.316162109375
29,0.11823459714651108,0,298.1879577636719,0.0,R_A3,298.1879577636719,4,41,2018-01-01,3,STANDARD,1602.1004638671875
29,0.25346624851226807,0,298.33111572265625,0.0,R_A3,298.33111572265625,5,41,2018-01-01,4,STANDARD,1604.236572265625
29,0.8035622239112854,0,298.4742431640625,0.0,R_A3,298.4742431640625,6,41,2018-01-01,5,STANDARD,1606.3726806640625
29,0.23255805671215057,0,298.6174011230469,0.0,R_A3,298.6174011230469,7,41,2018-01-01,6,STANDARD,1608.5087890625
29,0.16852383315563202,0,298.76055908203125,0.0,R_A3,298.76055908203125,8,41,2018-01-01,7,STANDARD,1610.6448974609375
29,0.1313149780035019,0,298.90374755859375,0.0,R_A3,298.90374755859375,9,41,2018-01-01,8,STANDARD,1612.7811279296875
29,0.6481541991233826,0,299.0469055175781,0.0,R_A3,299.0469055175781,10,41,2018-01-01,9,STANDARD,1614.917236328125
