ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL
Valysar,WestLowland,5053690,886582,529305,369111,51970839
Valysar,CentralSouth,65684492,12130042,9201829,6416897,903499055
Valysar,CentralNorth,37641883,6372006,4599577,3207515,451618155
Valysar,NorthHorst,4572352,772482,437042,268454,52590056
Valysar,CentralRamp,13334237,1930113,1342413,936132,131807351
Valysar,CentralHorst,85921093,13250731,10042170,7002908,986009533
Valysar,EastLowland,2367282,375151,211005,147145,20717951
Therys,WestLowland,2212511,421336,179086,124885,17583869
Therys,CentralSouth,13895152,3426167,2221536,1549189,218125763
Therys,CentralNorth,20525319,3791673,2159862,1506180,212070149
Therys,NorthHorst,7959902,1073306,422077,259261,50789285
Therys,CentralRamp,6639102,1598039,1227569,856045,120531187
Therys,CentralHorst,31855275,8120741,6280444,4379668,616657324
Therys,EastLowland,0,0,0,0,0
Volon,WestLowland,184070,32923,10549,7356,1035763
Volon,CentralSouth,34644151,6424075,4551159,3173751,446864210
Volon,CentralNorth,6614540,942104,507430,353856,49822959
Volon,NorthHorst,5415658,967288,683843,420051,82288028
Volon,CentralRamp,12624633,2326971,1846551,1287693,181307154
Volon,CentralHorst,84767410,14839857,11540761,8047951,1133151524
Volon,EastLowland,0,0,0,0,0
