WELL,SGAS,SWAT,CONIPOS,CONIDX,DEPTH,CONKPOS,DRAWDOWN,WELLMODEL,CONJPOS,PRESSURE,CONBPRES,DATE
R_A2,0.0,0.052518416196107864,22,1,1641.094970703125,1,0,STANDARD,30,300.8115234375,300.8115234375,2018-01-01
R_A2,0.0,0.05524015054106712,22,2,1642.8890380859375,2,0,STANDARD,30,300.93182373046875,300.93182373046875,2018-01-01
R_A2,0.0,0.057392317801713943,22,3,1644.68310546875,3,0,STANDARD,30,301.0521545410156,301.0521545410156,2018-01-01
R_A2,0.0,0.06266238540410995,22,4,1646.4771728515625,4,0,STANDARD,30,301.1724548339844,301.1724548339844,2018-01-01
R_A2,0.0,0.12733525037765503,22,5,1648.2713623046875,5,0,STANDARD,30,301.29278564453125,301.29278564453125,2018-01-01
R_A2,0.0,0.29625922441482544,22,6,1650.0654296875,6,0,STANDARD,30,301.4130859375,301.4130859375,2018-01-01
R_A2,0.0,0.8727071285247803,22,7,1651.859619140625,7,0,STANDARD,30,301.5334167480469,301.5334167480469,2018-01-01
R_A2,0.0,0.6481541991233826,22,8,1653.6536865234375,8,0,STANDARD,30,301.65374755859375,301.65374755859375,2018-01-01
R_A2,0.0,0.17816144227981567,22,9,1655.44775390625,9,0,STANDARD,30,301.7740783691406,301.7740783691406,2018-01-01
R_A2,0.0,0.8787055015563965,22,10,1657.2418212890625,10,0,STANDARD,30,301.8944091796875,301.8944091796875,2018-01-01
R_A2,0.0,0.07022189348936081,22,11,1659.1368408203125,11,0,STANDARD,30,302.0215148925781,302.0215148925781,2018-01-01
R_A2,0.0,0.06976962089538574,22,12,1661.132568359375,12,0,STANDARD,30,302.1553649902344,302.1553649902344,2018-01-01
R_A2,0.0,0.42158013582229614,22,13,1663.12841796875,13,0,STANDARD,30,302.28924560546875,302.28924560546875,2018-01-01
R_A2,0.0,0.46158337593078613,22,14,1665.1241455078125,14,0,STANDARD,30,302.4231262207031,302.4231262207031,2018-01-01
R_A2,0.0,0.6383095979690552,22,15,1667.1199951171875,15,0,STANDARD,30,302.5570068359375,302.5570068359375,2018-01-01
R_A2,0.0,0.9111243486404419,22,16,1669.11572265625,16,0,STANDARD,30,302.6908874511719,302.6908874511719,2018-01-01
R_A2,0.0,0.8777543306350708,22,17,1671.111572265625,17,0,STANDARD,30,302.8247985839844,302.8247985839844,2018-01-01
R_A2,0.0,0.9279714226722717,22,18,1672.9881591796875,18,0,STANDARD,30,302.95068359375,302.95068359375,2018-01-01
R_A2,0.0,0.9406980872154236,22,19,1674.229736328125,18,0,STANDARD,29,303.03399658203125,303.03399658203125,2018-01-01
R_A2,0.0,1.0,22,20,1676.1676025390625,27,0,STANDARD,29,303.16400146484375,303.16400146484375,2018-01-01
R_A2,0.0,1.0,22,21,1677.9368896484375,28,0,STANDARD,29,303.28271484375,303.28271484375,2018-01-01
R_A2,0.0,1.0,22,22,1679.7061767578125,29,0,STANDARD,29,303.40142822265625,303.40142822265625,2018-01-01
R_A2,0.0,1.0,22,23,1681.4754638671875,30,0,STANDARD,29,303.5201416015625,303.5201416015625,2018-01-01
