ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL,BULK_GAS,PORV_GAS,HCPV_GAS,GIIP_GAS,ASSOCIATEDOIL_GAS
Valysar,WestLowland,8108686,1302091,690603,481592,67808196,0,0,0,0,0
Valysar,CentralSouth,52596562,9680180,6683717,4660890,656253391,0,0,0,0,0
Valysar,CentralNorth,30714022,5531234,4101272,2860022,402691153,0,0,0,0,0
Valysar,NorthHorst,3341483,366938,139499,85687,16786097,23699544,3374561,2426158,564222680,86326
Valysar,CentralRamp,13095630,2151990,1574807,1098192,154625415,0,0,0,0,0
Valysar,CentralHorst,82318675,15557273,12231982,8529973,1201020278,0,0,0,0,0
Valysar,EastLowland,6731036,1357461,754618,526233,74093633,0,0,0,0,0
Therys,WestLowland,1780990,338323,150320,104825,14759425,0,0,0,0,0
Therys,CentralSouth,4980947,1512278,1081643,754284,106203194,0,0,0,0,0
Therys,CentralNorth,15547405,2907512,1522668,1061833,149506068,0,0,0,0,0
Therys,NorthHorst,5026768,762522,304059,186768,36587942,17998873,3123784,2007032,466751702,71413
Therys,CentralRamp,6587187,1475974,1100516,767445,108056214,0,0,0,0,0
Therys,CentralHorst,26174399,6940619,5390388,3758987,529265448,0,0,0,0,0
Therys,EastLowland,0,0,0,0,0,0,0,0,0,0
Volon,WestLowland,163837,33337,11536,8045,1132718,0,0,0,0,0
Volon,CentralSouth,30611560,5533164,3850186,2684927,378037757,0,0,0,0,0
Volon,CentralNorth,4175522,508449,189423,132094,18598897,0,0,0,0,0
Volon,NorthHorst,3769955,636506,423773,260303,50993341,4877075,829079,642692,149463296,22868
Volon,CentralRamp,13399097,2595173,2154471,1502420,211540791,0,0,0,0,0
Volon,CentralHorst,79806793,14706756,11914844,8308817,1169881507,0,0,0,0,0
Volon,EastLowland,0,0,0,0,0,0,0,0,0,0
