Project name			: /project/fmu/tutorial/reek/resmod/ff/2019a/users/hakal/r001/rms/model/reek.rms11.0.1
Date				: 2019.11.13 14:23:41
Grid model name			: Geogrid

   Zone      Region index          Bulk                Pore                Hcpv               Stoiip       
UpperReek  1                       281037151.51         41269463.64         30365419.30         19097747.67
UpperReek  2                               0.00                0.00                0.00                0.00
UpperReek  Totals                  281037151.51         41269463.64         30365419.30         19097747.67
MidReek    1                       217141855.78         36045540.81         27735135.19         17443480.96
MidReek    2                               0.00                0.00                0.00                0.00
MidReek    Totals                  217141855.78         36045540.81         27735135.19         17443480.96
LowerReek  1                       127877366.67         24547985.36         19403558.87         12203495.94
LowerReek  2                               0.00                0.00                0.00                0.00
LowerReek  Totals                  127877366.67         24547985.36         19403558.87         12203495.94
Totals     1                       626056373.96        101862989.80         77504113.36         48744724.57
Totals     2                               0.00                0.00                0.00                0.00
Totals     Totals                  626056373.96        101862989.80         77504113.36         48744724.57
