Project name			: /private/asny/Desktop/reek/resmod/ff/2019a/r001/rms/model/reek.rms11.0.1
Date				: 2020.02.19 15:48:29
Grid model name			: Geogrid

   Zone      Region index          Bulk                Pore                Hcpv               Stoiip       
UpperReek  1                       244101716.33         39986791.19         29433224.75         18511461.79
UpperReek  2                               0.00                0.00                0.00                0.00
UpperReek  Totals                  244101716.33         39986791.19         29433224.75         18511461.79
MidReek    1                       242957951.45         38375824.63         27716619.25         17431835.72
MidReek    2                               0.00                0.00                0.00                0.00
MidReek    Totals                  242957951.45         38375824.63         27716619.25         17431835.72
LowerReek  1                       126194874.98         21485315.87         16195751.90         10186007.31
LowerReek  2                               0.00                0.00                0.00                0.00
LowerReek  Totals                  126194874.98         21485315.87         16195751.90         10186007.31
Totals     1                       613254542.76         99847931.69         73345595.90         46129304.83
Totals     2                               0.00                0.00                0.00                0.00
Totals     Totals                  613254542.76         99847931.69         73345595.90         46129304.83
