X_UTME,Y_UTMN,Region
456166.0298661625,5935963.741401483,1.0
456240.7483820338,5935834.405869881,1.0
456315.4322293985,5935705.072403264,1.0
456390.0403291644,5935575.785551461,1.0
456464.67582844076,5935446.483535069,1.0
456539.4339354477,5935317.07983027,1.0
456614.2701351241,5935187.603832595,1.0
456689.06390745746,5935058.161749393,1.0
456763.79393502686,5934928.774789924,1.0
456838.42386688123,5934799.482169902,1.0
456912.89600108913,5934670.33807577,1.0
456987.4198504959,5934541.160520898,1.0
457062.0257558157,5934411.912400662,1.0
457136.6056353341,5934282.678614909,1.0
457211.22587196325,5934153.397955397,1.0
457285.9171513017,5934024.054746026,1.0
457360.6312435465,5933894.700106347,1.0
457435.2514198901,5933765.395989129,1.0
457509.8620361526,5933636.09643489,1.0
457584.57174513716,5933506.776657609,1.0
457659.2635902676,5933377.5139041515,1.0
457733.870820127,5933248.278256615,1.0
457808.4615003361,5933118.996739358,1.0
457883.0734786235,5932989.727811608,1.0
457957.6966287467,5932860.463384509,1.0
458032.3226988789,5932731.186140776,1.0
458106.91719562764,5932601.966582658,1.0
458181.5503601116,5932472.685068222,1.0
458256.1882079897,5932343.391651687,1.0
458330.8185553789,5932214.114712492,1.0
458405.48489823827,5932084.784603169,1.0
458480.16213111655,5931955.438763864,1.0
458554.82452748204,5931826.116360705,1.0
458629.4556446488,5931696.837651925,1.0
458704.14337017445,5931567.485764383,1.0
458778.82395065087,5931438.140249064,1.0
458853.4626896532,5931308.844128034,1.0
458928.1271048342,5931179.506952035,1.0
459002.8520991208,5931050.10200996,1.0
459077.548568698,5930920.721882815,1.0
459152.197611102,5930791.383065872,1.0
459226.8941959794,5930662.008640642,1.0
459301.59755407786,5930532.638377427,1.0
459376.2823339624,5930403.265957162,1.0
459450.9630321292,5930273.885399358,1.0
459525.6413302852,5930144.553518878,1.0
459600.3030742518,5930015.280351685,1.0
459674.9574219015,5929885.998169394,1.0
459749.6082100296,5929756.719532769,1.0
459824.2601125934,5929627.437008192,1.0
459898.9296194183,5929498.095490314,1.0
459973.6124814255,5929368.717430433,1.0
460048.28993148106,5929239.355526305,1.0
460122.9531695283,5929110.030745316,1.0
460197.6004706675,5928980.747476437,1.0
460272.2327853887,5928851.505981102,1.0
460346.8675386923,5928722.257050966,1.0
460421.51907919673,5928592.95968687,1.0
460496.1772036338,5928463.643474601,1.0
460570.8308452652,5928334.342997341,1.0
460645.48448965425,5928205.0425392,1.0
460720.1389180253,5928075.737569443,1.0
460794.7913671421,5927946.438540848,1.0
460869.4431474221,5927817.142979787,1.0
460944.09606618754,5927687.845246104,1.0
461018.750719214,5927558.541514653,1.0
461093.4064682813,5927429.23378071,1.0
461168.06280215,5927299.925710785,1.0
461242.71923854144,5927170.616457025,1.0
461317.37548468466,5927041.306174564,1.0
461392.03219058504,5926911.99537249,1.0
461466.6896947992,5926782.68406921,1.0
461541.34793836635,5926653.372829982,1.0
456295.98252194386,5936038.751619384,1.0
456370.7995716412,5935909.421200889,1.0
456445.4872946983,5935780.077500646,1.0
456520.0029537851,5935650.78339358,1.0
456594.6649560308,5935521.466104571,1.0
456669.6355120726,5935392.023367165,1.0
456744.70630489686,5935262.505422219,1.0
456819.4613140078,5935133.101910023,1.0
456894.2206309836,5935003.718705637,1.0
456969.0455049484,5934874.351753682,1.0
457043.389196535,5934745.210946341,1.0
457117.54057139484,5934616.111195098,1.0
457191.89803092694,5934486.902110092,1.0
457266.38749365933,5934357.648041336,1.0
457341.01682151854,5934228.344225455,1.0
457415.65056668816,5934099.009340429,1.0
457490.3390529295,5933969.6676869625,1.0
457565.01751444995,5933840.346540247,1.0
457639.7005124489,5933711.0545105785,1.0
457714.5761609534,5933581.781068422,1.0
457789.3774748306,5933452.60064411,1.0
457864.00290466496,5933323.428952951,1.0
457938.5110368305,5933194.169791778,1.0
458013.0297342379,5933064.9270767,1.0
458087.5763322173,5932935.658925586,1.0
458162.2278888596,5932806.199414605,1.0
458236.8337436682,5932676.884012371,1.0
458311.4527330745,5932547.613728438,1.0
458386.08805658546,5932418.305952398,1.0
458460.6352992204,5932289.115266966,1.0
458535.3345780793,5932159.749745373,1.0
458609.9483556245,5932030.4722309485,1.0
458684.5638227874,5931901.201226152,1.0
458759.2209082475,5931771.885596013,1.0
458833.8209785068,5931642.610041346,1.0
458908.5632037031,5931513.203738629,1.0
458983.2263234113,5931383.866170261,1.0
459057.87517271034,5931254.533403942,1.0
459132.6832229302,5931125.080388275,1.0
459207.33680493844,5930995.709569102,1.0
459281.95842778176,5930866.37524677,1.0
459356.6854668175,5930736.971388786,1.0
459431.3635033148,5930607.585693714,1.0
459506.07004583324,5930478.209246643,1.0
459580.7755198898,5930348.845017635,1.0
459655.472137085,5930219.528979549,1.0
459730.1529749738,5930090.2590125315,1.0
459804.818065363,5929960.960707471,1.0
459879.4743158793,5929831.654931511,1.0
459954.1313264959,5929702.379321991,1.0
460028.7968880732,5929573.048986353,1.0
460103.4684175183,5929443.648790859,1.0
460178.1391195721,5929314.268496372,1.0
460252.8026165391,5929184.953783008,1.0
460327.4570148786,5929055.688960092,1.0
460402.1008598317,5928926.475739507,1.0
460476.7449663827,5928797.2655584505,1.0
460551.40180247946,5928667.962909315,1.0
460626.06286958774,5928538.62446356,1.0
460700.7185127291,5928409.320508376,1.0
460775.3738168215,5928280.016935624,1.0
460850.02960780205,5928150.703986386,1.0
460924.6836171658,5928021.405004091,1.0
