SGAS,PRESSURE,CONBPRES,DATE,CONIPOS,CONKPOS,SWAT,CONJPOS,CONIDX,WELLMODEL,DRAWDOWN,DEPTH,WELL
0.0,300.7494812011719,300.7494812011719,2018-01-01,22,1,0.052337367087602615,30,1,STANDARD,0,1640.4129638671875,R_A2
0.0,300.865966796875,300.865966796875,2018-01-01,22,2,0.054904114454984665,30,2,STANDARD,0,1642.1497802734375,R_A2
0.0,300.982421875,300.982421875,2018-01-01,22,3,0.05773356184363365,30,3,STANDARD,0,1643.88671875,R_A2
0.0,301.0989074707031,301.0989074707031,2018-01-01,22,4,0.06013662368059158,30,4,STANDARD,0,1645.62353515625,R_A2
0.0,301.2153625488281,301.2153625488281,2018-01-01,22,5,0.06435007601976395,30,5,STANDARD,0,1647.3604736328125,R_A2
0.0,301.33184814453125,301.33184814453125,2018-01-01,22,6,0.3025941848754883,30,6,STANDARD,0,1649.097412109375,R_A2
0.0,301.4483337402344,301.4483337402344,2018-01-01,22,7,0.8713741302490234,30,7,STANDARD,0,1650.834228515625,R_A2
0.0,301.5648193359375,301.5648193359375,2018-01-01,22,8,0.8568710088729858,30,8,STANDARD,0,1652.5711669921875,R_A2
0.0,301.6813049316406,301.6813049316406,2018-01-01,22,9,0.8685492277145386,30,9,STANDARD,0,1654.30810546875,R_A2
0.0,301.7978210449219,301.7978210449219,2018-01-01,22,10,0.8811728358268738,30,10,STANDARD,0,1656.044921875,R_A2
0.0,301.9238586425781,301.9238586425781,2018-01-01,22,11,0.0675535649061203,30,11,STANDARD,0,1657.924072265625,R_A2
0.0,302.0594177246094,302.0594177246094,2018-01-01,22,12,0.06276227533817291,30,12,STANDARD,0,1659.9454345703125,R_A2
0.0,302.19500732421875,302.19500732421875,2018-01-01,22,13,0.42750799655914307,30,13,STANDARD,0,1661.966796875,R_A2
0.0,302.3305969238281,302.3305969238281,2018-01-01,22,14,0.47091689705848694,30,14,STANDARD,0,1663.9881591796875,R_A2
0.0,302.4662170410156,302.4662170410156,2018-01-01,22,15,0.9012846350669861,30,15,STANDARD,0,1666.009521484375,R_A2
0.0,302.601806640625,302.601806640625,2018-01-01,22,16,0.9074263572692871,30,16,STANDARD,0,1668.0308837890625,R_A2
0.0,302.7374267578125,302.7374267578125,2018-01-01,22,17,0.8596686720848083,30,17,STANDARD,0,1670.0523681640625,R_A2
0.0,303.04205322265625,303.04205322265625,2018-01-01,22,17,0.9271870255470276,29,18,STANDARD,0,1674.5928955078125,R_A2
0.0,303.16748046875,303.16748046875,2018-01-01,22,18,0.9896788001060486,29,19,STANDARD,0,1676.46240234375,R_A2
0.0,303.284912109375,303.284912109375,2018-01-01,22,26,0.6481541991233826,29,20,STANDARD,0,1678.212890625,R_A2
0.0,303.4026794433594,303.4026794433594,2018-01-01,22,27,1.0,29,21,STANDARD,0,1679.9677734375,R_A2
0.0,303.8367919921875,303.8367919921875,2018-01-01,22,28,1.0,29,22,STANDARD,0,1681.72265625,R_A2
0.0,304.0030822753906,304.0030822753906,2018-01-01,22,29,1.0,29,23,STANDARD,0,1683.4776611328125,R_A2
0.0,304.1694030761719,304.1694030761719,2018-01-01,22,30,1.0,29,24,STANDARD,0,1685.2325439453125,R_A2
0.0,298.5699157714844,298.5699157714844,2018-01-01,28,1,0.6481541991233826,41,1,STANDARD,0,1607.8992919921875,R_A3
0.0,298.7051696777344,298.7051696777344,2018-01-01,28,2,0.19162054359912872,41,2,STANDARD,0,1609.917236328125,R_A3
0.0,298.8404235839844,298.8404235839844,2018-01-01,28,3,0.11823459714651108,41,3,STANDARD,0,1611.9351806640625,R_A3
0.0,298.97564697265625,298.97564697265625,2018-01-01,28,4,0.16609899699687958,41,4,STANDARD,0,1613.953125,R_A3
0.0,298.48260498046875,298.48260498046875,2018-01-01,29,4,0.6481541991233826,41,5,STANDARD,0,1606.59619140625,R_A3
0.0,298.6231994628906,298.6231994628906,2018-01-01,29,5,0.802786648273468,41,6,STANDARD,0,1608.6943359375,R_A3
0.0,298.7638244628906,298.7638244628906,2018-01-01,29,6,0.6481541991233826,41,7,STANDARD,0,1610.79248046875,R_A3
0.0,298.9044494628906,298.9044494628906,2018-01-01,29,7,0.19414903223514557,41,8,STANDARD,0,1612.890625,R_A3
0.0,299.0450744628906,299.0450744628906,2018-01-01,29,8,0.19528934359550476,41,9,STANDARD,0,1614.98876953125,R_A3
0.0,299.1856994628906,299.1856994628906,2018-01-01,29,9,0.7924752831459045,41,10,STANDARD,0,1617.0870361328125,R_A3
0.0,299.32635498046875,299.32635498046875,2018-01-01,29,10,0.7942568063735962,41,11,STANDARD,0,1619.1851806640625,R_A3
0.0,299.4722595214844,299.4722595214844,2018-01-01,29,11,0.0471411794424057,41,12,STANDARD,0,1621.36181640625,R_A3
0.0,299.6234130859375,299.6234130859375,2018-01-01,29,12,0.05403391644358635,41,13,STANDARD,0,1623.616943359375,R_A3
0.0,299.77459716796875,299.77459716796875,2018-01-01,29,13,0.36922866106033325,41,14,STANDARD,0,1625.8720703125,R_A3
0.0,299.92578125,299.92578125,2018-01-01,29,14,0.3609720468521118,41,15,STANDARD,0,1628.1273193359375,R_A3
0.0,300.07696533203125,300.07696533203125,2018-01-01,29,15,0.49591192603111267,41,16,STANDARD,0,1630.382568359375,R_A3
0.0,300.2087707519531,300.2087707519531,2018-01-01,29,16,0.8077481985092163,41,17,STANDARD,0,1632.3485107421875,R_A3
0.0,300.3819885253906,300.3819885253906,2018-01-01,29,26,0.17453907430171967,41,18,STANDARD,0,1634.93212890625,R_A3
0.0,300.61602783203125,300.61602783203125,2018-01-01,29,27,0.04366595670580864,41,19,STANDARD,0,1638.42236328125,R_A3
0.0,300.8500671386719,300.8500671386719,2018-01-01,29,28,0.05148309841752052,41,20,STANDARD,0,1641.912841796875,R_A3
0.0,301.0841064453125,301.0841064453125,2018-01-01,29,29,0.2164543867111206,41,21,STANDARD,0,1645.4031982421875,R_A3
0.0,301.31817626953125,301.31817626953125,2018-01-01,29,30,0.059979237616062164,41,22,STANDARD,0,1648.8934326171875,R_A3
0.0,300.1520690917969,300.1520690917969,2018-01-01,30,1,0.04868064075708389,52,1,STANDARD,0,1631.5025634765625,R_A4
0.0,299.8266906738281,299.8266906738281,2018-01-01,31,1,0.04774724692106247,52,2,STANDARD,0,1626.649169921875,R_A4
0.0,299.965087890625,299.965087890625,2018-01-01,31,2,0.048292066901922226,52,3,STANDARD,0,1628.713623046875,R_A4
0.0,300.1034851074219,300.1034851074219,2018-01-01,31,3,0.05006842315196991,52,4,STANDARD,0,1630.7779541015625,R_A4
0.0,300.24188232421875,300.24188232421875,2018-01-01,31,4,0.05287516117095947,52,5,STANDARD,0,1632.8424072265625,R_A4
0.0,300.193359375,300.193359375,2018-01-01,32,4,0.05145825818181038,52,6,STANDARD,0,1632.118408203125,R_A4
0.0,300.31884765625,300.31884765625,2018-01-01,32,5,0.05377872660756111,52,7,STANDARD,0,1633.9901123046875,R_A4
0.0,300.5306091308594,300.5306091308594,2018-01-01,32,5,0.1463804543018341,51,8,STANDARD,0,1637.1483154296875,R_A4
0.0,300.4078063964844,300.4078063964844,2018-01-01,32,4,0.05387371778488159,51,9,STANDARD,0,1635.317138671875,R_A4
0.0,300.4957580566406,300.4957580566406,2018-01-01,33,4,0.056854214519262314,51,10,STANDARD,0,1636.628662109375,R_A4
0.0,300.8477783203125,300.8477783203125,2018-01-01,33,4,0.06186746433377266,50,11,STANDARD,0,1641.87890625,R_A4
0.0,300.72320556640625,300.72320556640625,2018-01-01,34,4,0.05941760167479515,50,12,STANDARD,0,1640.0208740234375,R_A4
0.0,300.7530212402344,300.7530212402344,2018-01-01,35,4,0.05745995044708252,50,13,STANDARD,0,1640.465576171875,R_A4
0.0,300.63397216796875,300.63397216796875,2018-01-01,35,3,0.198418989777565,50,14,STANDARD,0,1638.68994140625,R_A4
0.0,300.9685974121094,300.9685974121094,2018-01-01,35,3,0.18367770314216614,49,15,STANDARD,0,1643.6805419921875,R_A4
0.0,300.8485107421875,300.8485107421875,2018-01-01,35,2,0.22642914950847626,49,16,STANDARD,0,1641.8895263671875,R_A4
0.0,300.8915100097656,300.8915100097656,2018-01-01,36,29,0.30859991908073425,49,17,STANDARD,0,1642.53076171875,R_A4
0.0,300.89599609375,300.89599609375,2018-01-01,36,29,0.056555259972810745,48,18,STANDARD,0,1642.5977783203125,R_A4
0.0,301.29534912109375,301.29534912109375,2018-01-01,37,29,0.3283889591693878,48,19,STANDARD,0,1648.55322265625,R_A4
0.0,301.5744323730469,301.5744323730469,2018-01-01,38,29,0.28524765372276306,48,20,STANDARD,0,1652.71435546875,R_A4
0.0,301.96051025390625,301.96051025390625,2018-01-01,38,29,0.6481541991233826,47,21,STANDARD,0,1658.470458984375,R_A4
0.0,303.92181396484375,303.92181396484375,2018-01-01,31,1,1.0,20,1,STANDARD,0,1685.8468017578125,R_A5
0.0,304.1248779296875,304.1248779296875,2018-01-01,31,2,1.0,20,2,STANDARD,0,1687.9896240234375,R_A5
0.0,304.32794189453125,304.32794189453125,2018-01-01,31,3,1.0,20,3,STANDARD,0,1690.13232421875,R_A5
0.0,304.5309753417969,304.5309753417969,2018-01-01,31,4,1.0,20,4,STANDARD,0,1692.275146484375,R_A5
0.0,304.7340393066406,304.7340393066406,2018-01-01,31,5,1.0,20,5,STANDARD,0,1694.4178466796875,R_A5
0.0,304.9371032714844,304.9371032714844,2018-01-01,31,6,1.0,20,6,STANDARD,0,1696.5606689453125,R_A5
0.0,305.44598388671875,305.44598388671875,2018-01-01,31,7,1.0,20,7,STANDARD,0,1698.7034912109375,R_A5
0.0,305.6490478515625,305.6490478515625,2018-01-01,31,8,1.0,20,8,STANDARD,0,1700.84619140625,R_A5
0.0,305.3168029785156,305.3168029785156,2018-01-01,31,11,1.0,21,9,STANDARD,0,1700.5657958984375,R_A5
0.0,305.5071716308594,305.5071716308594,2018-01-01,31,12,1.0,21,10,STANDARD,0,1702.5748291015625,R_A5
0.0,305.70953369140625,305.70953369140625,2018-01-01,31,13,1.0,21,11,STANDARD,0,1704.583740234375,R_A5
0.0,305.8999328613281,305.8999328613281,2018-01-01,31,14,1.0,21,12,STANDARD,0,1706.5927734375,R_A5
0.0,306.09033203125,306.09033203125,2018-01-01,31,15,1.0,21,13,STANDARD,0,1708.601806640625,R_A5
0.0,306.42572021484375,306.42572021484375,2018-01-01,31,16,1.0,21,14,STANDARD,0,1710.6107177734375,R_A5
0.0,306.61334228515625,306.61334228515625,2018-01-01,31,17,1.0,21,15,STANDARD,0,1712.59033203125,R_A5
0.0,306.7359313964844,306.7359313964844,2018-01-01,31,18,1.0,21,16,STANDARD,0,1713.8837890625,R_A5
0.0,306.78369140625,306.78369140625,2018-01-01,31,19,1.0,21,17,STANDARD,0,1714.3878173828125,R_A5
0.0,306.7493896484375,306.7493896484375,2018-01-01,31,26,1.0,21,18,STANDARD,0,1715.6834716796875,R_A5
0.0,306.95977783203125,306.95977783203125,2018-01-01,31,27,1.0,21,19,STANDARD,0,1717.9031982421875,R_A5
0.0,307.4759216308594,307.4759216308594,2018-01-01,31,28,1.0,21,20,STANDARD,0,1720.1229248046875,R_A5
0.0,307.6863098144531,307.6863098144531,2018-01-01,31,29,1.0,21,21,STANDARD,0,1722.3427734375,R_A5
0.0,307.8966979980469,307.8966979980469,2018-01-01,31,30,1.0,21,22,STANDARD,0,1724.5625,R_A5
0.0,305.0690002441406,305.0690002441406,2018-01-01,17,1,1.0,42,1,STANDARD,0,1694.7257080078125,R_A6
0.0,305.2151794433594,305.2151794433594,2018-01-01,17,2,1.0,42,2,STANDARD,0,1696.2681884765625,R_A6
0.0,305.3613586425781,305.3613586425781,2018-01-01,17,3,1.0,42,3,STANDARD,0,1697.8106689453125,R_A6
0.0,305.5075378417969,305.5075378417969,2018-01-01,17,4,1.0,42,4,STANDARD,0,1699.3531494140625,R_A6
0.0,305.6537170410156,305.6537170410156,2018-01-01,17,5,1.0,42,5,STANDARD,0,1700.8956298828125,R_A6
0.0,305.7998962402344,305.7998962402344,2018-01-01,17,6,1.0,42,6,STANDARD,0,1702.4381103515625,R_A6
0.0,305.64703369140625,305.64703369140625,2018-01-01,17,7,1.0,42,7,STANDARD,0,1703.9805908203125,R_A6
0.0,305.793212890625,305.793212890625,2018-01-01,17,8,1.0,42,8,STANDARD,0,1705.5230712890625,R_A6
0.0,306.2384338378906,306.2384338378906,2018-01-01,17,9,1.0,42,9,STANDARD,0,1707.0654296875,R_A6
0.0,306.0788269042969,306.0788269042969,2018-01-01,17,10,1.0,42,10,STANDARD,0,1708.60791015625,R_A6
0.0,306.2595520019531,306.2595520019531,2018-01-01,17,11,1.0,42,11,STANDARD,0,1710.5135498046875,R_A6
0.0,306.47454833984375,306.47454833984375,2018-01-01,17,12,1.0,42,12,STANDARD,0,1712.7823486328125,R_A6
0.0,306.7015380859375,306.7015380859375,2018-01-01,17,13,1.0,42,13,STANDARD,0,1715.051025390625,R_A6
0.0,306.91656494140625,306.91656494140625,2018-01-01,17,14,1.0,42,14,STANDARD,0,1717.31982421875,R_A6
0.0,307.131591796875,307.131591796875,2018-01-01,17,15,1.0,42,15,STANDARD,0,1719.588623046875,R_A6
0.0,307.49163818359375,307.49163818359375,2018-01-01,17,16,1.0,42,16,STANDARD,0,1721.857421875,R_A6
0.0,307.7066650390625,307.7066650390625,2018-01-01,17,17,1.0,42,17,STANDARD,0,1724.126220703125,R_A6
0.0,307.8621520996094,307.8621520996094,2018-01-01,17,18,1.0,42,18,STANDARD,0,1725.7669677734375,R_A6
0.0,307.8344421386719,307.8344421386719,2018-01-01,17,26,1.0,42,19,STANDARD,0,1727.132080078125,R_A6
0.0,308.3030090332031,308.3030090332031,2018-01-01,17,27,1.0,42,20,STANDARD,0,1728.849365234375,R_A6
0.0,308.4657897949219,308.4657897949219,2018-01-01,17,28,1.0,42,21,STANDARD,0,1730.56689453125,R_A6
0.0,308.6285705566406,308.6285705566406,2018-01-01,17,29,1.0,42,22,STANDARD,0,1732.2843017578125,R_A6
0.0,308.4855651855469,308.4855651855469,2018-01-01,17,30,1.0,42,23,STANDARD,0,1734.001708984375,R_A6
0.0,298.1825256347656,298.1825256347656,2018-03-01,22,1,0.052353329956531525,30,1,STANDARD,0,1640.4129638671875,R_A2
0.0,298.29888916015625,298.29888916015625,2018-03-01,22,2,0.054922472685575485,30,2,STANDARD,0,1642.1497802734375,R_A2
0.0,298.4153137207031,298.4153137207031,2018-03-01,22,3,0.05775677412748337,30,3,STANDARD,0,1643.88671875,R_A2
