DRAWDOWN,WELLMODEL,SWAT,PRESSURE,CONIDX,SGAS,CONBPRES,DATE,CONIPOS,DEPTH,WELL,CONJPOS,CONKPOS
0,STANDARD,0.05634743347764015,300.8627624511719,1,0.0,300.8627624511719,2018-01-01,22,1642.7618408203125,R_A2,30,1
0,STANDARD,0.05849171802401543,300.9828186035156,2,0.0,300.9828186035156,2018-01-01,22,1644.552001953125,R_A2,30,2
0,STANDARD,0.061240751296281815,301.10284423828125,3,0.0,301.10284423828125,2018-01-01,22,1646.342041015625,R_A2,30,3
0,STANDARD,0.06652785837650299,301.222900390625,4,0.0,301.222900390625,2018-01-01,22,1648.132080078125,R_A2,30,4
0,STANDARD,0.06799080967903137,301.3429260253906,5,0.0,301.3429260253906,2018-01-01,22,1649.9222412109375,R_A2,30,5
0,STANDARD,0.16644662618637085,301.4629821777344,6,0.0,301.4629821777344,2018-01-01,22,1651.7122802734375,R_A2,30,6
0,STANDARD,0.16911526024341583,301.5830383300781,7,0.0,301.5830383300781,2018-01-01,22,1653.5023193359375,R_A2,30,7
0,STANDARD,0.6481541991233826,301.7030944824219,8,0.0,301.7030944824219,2018-01-01,22,1655.2923583984375,R_A2,30,8
0,STANDARD,0.9018961191177368,301.8231506347656,9,0.0,301.8231506347656,2018-01-01,22,1657.08251953125,R_A2,30,9
0,STANDARD,0.9119720458984375,301.9432373046875,10,0.0,301.9432373046875,2018-01-01,22,1658.87255859375,R_A2,30,10
0,STANDARD,0.07363301515579224,302.06951904296875,11,0.0,302.06951904296875,2018-01-01,22,1660.755615234375,R_A2,30,11
0,STANDARD,0.07488157600164413,302.20208740234375,12,0.0,302.20208740234375,2018-01-01,22,1662.7315673828125,R_A2,30,12
0,STANDARD,0.4488733410835266,302.3346252441406,13,0.0,302.3346252441406,2018-01-01,22,1664.7076416015625,R_A2,30,13
0,STANDARD,0.5044460892677307,302.4671936035156,14,0.0,302.4671936035156,2018-01-01,22,1666.6837158203125,R_A2,30,14
0,STANDARD,0.9286457896232605,302.5997314453125,15,0.0,302.5997314453125,2018-01-01,22,1668.6597900390625,R_A2,30,15
0,STANDARD,0.9525449275970459,302.7322998046875,16,0.0,302.7322998046875,2018-01-01,22,1670.6357421875,R_A2,30,16
0,STANDARD,0.9417567849159241,302.6693115234375,17,0.0,302.6693115234375,2018-01-01,22,1669.6966552734375,R_A2,29,16
0,STANDARD,0.898004412651062,302.8149108886719,18,0.0,302.8149108886719,2018-01-01,22,1671.866943359375,R_A2,29,17
0,STANDARD,0.9683901071548462,302.9510498046875,19,0.0,302.9510498046875,2018-01-01,22,1673.896484375,R_A2,29,18
0,STANDARD,0.9975674748420715,303.0361328125,20,0.0,303.0361328125,2018-01-01,22,1675.1644287109375,R_A2,29,19
0,STANDARD,1.0,303.11993408203125,21,0.0,303.11993408203125,2018-01-01,22,1676.41357421875,R_A2,29,26
0,STANDARD,1.0,303.244140625,22,0.0,303.244140625,2018-01-01,22,1678.264892578125,R_A2,29,27
0,STANDARD,1.0,303.6845397949219,23,0.0,303.6845397949219,2018-01-01,22,1680.1162109375,R_A2,29,28
0,STANDARD,1.0,303.8599853515625,24,0.0,303.8599853515625,2018-01-01,22,1681.967529296875,R_A2,29,29
0,STANDARD,1.0,304.0354309082031,25,0.0,304.0354309082031,2018-01-01,22,1683.8187255859375,R_A2,29,30
0,STANDARD,0.6481541991233826,298.5669250488281,1,0.0,298.5669250488281,2018-01-01,28,1608.5142822265625,R_A3,41,1
0,STANDARD,0.19362252950668335,298.7013854980469,2,0.0,298.7013854980469,2018-01-01,28,1610.5205078125,R_A3,41,2
0,STANDARD,0.11823459714651108,298.8358459472656,3,0.0,298.8358459472656,2018-01-01,28,1612.526611328125,R_A3,41,3
0,STANDARD,0.13458967208862305,298.9703063964844,4,0.0,298.9703063964844,2018-01-01,28,1614.5328369140625,R_A3,41,4
0,STANDARD,0.6481541991233826,299.1047668457031,5,0.0,299.1047668457031,2018-01-01,28,1616.5390625,R_A3,41,5
0,STANDARD,0.19578766822814941,299.2392272949219,6,0.0,299.2392272949219,2018-01-01,28,1618.545166015625,R_A3,41,6
0,STANDARD,0.09826094657182693,299.37371826171875,7,0.0,299.37371826171875,2018-01-01,28,1620.5513916015625,R_A3,41,7
0,STANDARD,0.20738893747329712,299.5081787109375,8,0.0,299.5081787109375,2018-01-01,28,1622.5576171875,R_A3,41,8
