ZONE,REGION,BULK_OIL,PORE_OIL,HCPV_OIL,STOIIP_OIL
UpperReek,1,282153335.66,45408696.05,34325892.12,21588611.04
UpperReek,2,0.0,0.0,0.0,0.0
MidReek,1,191868083.45,35185839.44,27665745.11,17399839.4
MidReek,2,0.0,0.0,0.0,0.0
LowerReek,1,124534307.64,25657148.03,21049347.52,13238583.12
LowerReek,2,0.0,0.0,0.0,0.0
