WELLMODEL,CONKPOS,DATE,DEPTH,CONJPOS,CONIPOS,CONBPRES,PRESSURE,CONIDX,DRAWDOWN,WELL,SGAS,SWAT
STANDARD,1,2018-01-01,1639.2421875,30,22,300.6839904785156,300.6839904785156,1,0,R_A2,0.0,0.05201936885714531
STANDARD,2,2018-01-01,1640.891845703125,30,22,300.7945861816406,300.7945861816406,2,0,R_A2,0.0,0.05306447669863701
STANDARD,3,2018-01-01,1642.541259765625,30,22,300.90521240234375,300.90521240234375,3,0,R_A2,0.0,0.057173747569322586
STANDARD,4,2018-01-01,1644.1907958984375,30,22,301.01580810546875,301.01580810546875,4,0,R_A2,0.0,0.06031841039657593
STANDARD,5,2018-01-01,1645.84033203125,30,22,301.1264343261719,301.1264343261719,5,0,R_A2,0.0,0.0619204081594944
STANDARD,6,2018-01-01,1647.4898681640625,30,22,301.237060546875,301.237060546875,6,0,R_A2,0.0,0.6481541991233826
STANDARD,7,2018-01-01,1649.1392822265625,30,22,301.34765625,301.34765625,7,0,R_A2,0.0,0.8648523688316345
STANDARD,8,2018-01-01,1650.788818359375,30,22,301.4582824707031,301.4582824707031,8,0,R_A2,0.0,0.8453491926193237
STANDARD,9,2018-01-01,1652.4383544921875,30,22,301.56890869140625,301.56890869140625,9,0,R_A2,0.0,0.87298983335495
STANDARD,10,2018-01-01,1654.087890625,30,22,301.6795654296875,301.6795654296875,10,0,R_A2,0.0,0.8672002553939819
STANDARD,11,2018-01-01,1655.9405517578125,30,22,301.8038024902344,301.8038024902344,11,0,R_A2,0.0,0.0645018070936203
STANDARD,13,2018-01-01,1660.0523681640625,30,22,302.07958984375,302.07958984375,12,0,R_A2,0.0,0.4201931357383728
STANDARD,14,2018-01-01,1662.108154296875,30,22,302.2174987792969,302.2174987792969,13,0,R_A2,0.0,0.4643005132675171
STANDARD,15,2018-01-01,1664.1640625,30,22,302.35540771484375,302.35540771484375,14,0,R_A2,0.0,0.8849517107009888
STANDARD,16,2018-01-01,1666.2198486328125,30,22,302.4933166503906,302.4933166503906,15,0,R_A2,0.0,0.8859463334083557
STANDARD,17,2018-01-01,1668.2757568359375,30,22,302.6312255859375,302.6312255859375,16,0,R_A2,0.0,0.8622015118598938
STANDARD,18,2018-01-01,1678.815185546875,29,22,303.33831787109375,303.33831787109375,17,0,R_A2,0.0,0.9985702037811279
STANDARD,25,2018-01-01,1679.9642333984375,29,22,303.4154357910156,303.4154357910156,18,0,R_A2,0.0,1.0
STANDARD,26,2018-01-01,1681.6341552734375,29,22,303.5274658203125,303.5274658203125,19,0,R_A2,0.0,1.0
STANDARD,27,2018-01-01,1683.30419921875,29,22,303.9866638183594,303.9866638183594,20,0,R_A2,0.0,1.0
STANDARD,28,2018-01-01,1684.97412109375,29,22,304.1448974609375,304.1448974609375,21,0,R_A2,0.0,1.0
STANDARD,29,2018-01-01,1686.64404296875,29,22,304.30316162109375,304.30316162109375,22,0,R_A2,0.0,1.0
STANDARD,1,2018-01-01,1608.8519287109375,41,28,298.6467590332031,298.6467590332031,1,0,R_A3,0.0,0.2232147753238678
STANDARD,2,2018-01-01,1610.8187255859375,41,28,298.778564453125,298.778564453125,2,0,R_A3,0.0,0.19478550553321838
STANDARD,3,2018-01-01,1612.7855224609375,41,28,298.910400390625,298.910400390625,3,0,R_A3,0.0,0.17134031653404236
STANDARD,3,2018-01-01,1606.7733154296875,41,29,298.5074462890625,298.5074462890625,4,0,R_A3,0.0,0.1893651932477951
STANDARD,4,2018-01-01,1608.7342529296875,41,29,298.6388854980469,298.6388854980469,5,0,R_A3,0.0,0.19310319423675537
STANDARD,5,2018-01-01,1610.6953125,41,29,298.7702941894531,298.7702941894531,6,0,R_A3,0.0,0.811294436454773
STANDARD,6,2018-01-01,1612.65625,41,29,298.9017333984375,298.9017333984375,7,0,R_A3,0.0,0.6481541991233826
STANDARD,7,2018-01-01,1614.6171875,41,29,299.03314208984375,299.03314208984375,8,0,R_A3,0.0,0.19644157588481903
STANDARD,8,2018-01-01,1616.578125,41,29,299.1645812988281,299.1645812988281,9,0,R_A3,0.0,0.19611582159996033
STANDARD,9,2018-01-01,1618.5390625,41,29,299.2960205078125,299.2960205078125,10,0,R_A3,0.0,0.7935880422592163
STANDARD,10,2018-01-01,1620.5,41,29,299.4274597167969,299.4274597167969,11,0,R_A3,0.0,0.8076916933059692
STANDARD,11,2018-01-01,1622.571044921875,41,29,299.5662841796875,299.5662841796875,12,0,R_A3,0.0,0.048926908522844315
STANDARD,12,2018-01-01,1624.752197265625,41,29,299.7125244140625,299.7125244140625,13,0,R_A3,0.0,0.05471062287688255
STANDARD,13,2018-01-01,1626.9334716796875,41,29,299.8587341308594,299.8587341308594,14,0,R_A3,0.0,0.36474937200546265
STANDARD,15,2018-01-01,1631.2957763671875,41,29,300.15118408203125,300.15118408203125,15,0,R_A3,0.0,0.6229398846626282
STANDARD,16,2018-01-01,1633.0321044921875,41,29,300.2676086425781,300.2676086425781,16,0,R_A3,0.0,0.7968034148216248
STANDARD,25,2018-01-01,1635.3717041015625,41,29,300.4244689941406,300.4244689941406,17,0,R_A3,0.0,1.0
STANDARD,26,2018-01-01,1638.7593994140625,41,29,300.651611328125,300.651611328125,18,0,R_A3,0.0,0.1461428850889206
STANDARD,27,2018-01-01,1642.1470947265625,41,29,300.8787841796875,300.8787841796875,19,0,R_A3,0.0,0.04816768318414688
STANDARD,28,2018-01-01,1645.5347900390625,41,29,301.10595703125,301.10595703125,20,0,R_A3,0.0,0.6481541991233826
STANDARD,29,2018-01-01,1648.9224853515625,41,29,301.3331298828125,301.3331298828125,21,0,R_A3,0.0,0.09106794744729996
STANDARD,1,2018-01-01,1627.2364501953125,52,30,299.8790588378906,299.8790588378906,1,0,R_A4,0.0,0.04666076973080635
STANDARD,1,2018-01-01,1625.024169921875,52,31,299.7307434082031,299.7307434082031,2,0,R_A4,0.0,0.04607219621539116
STANDARD,2,2018-01-01,1627.1070556640625,52,31,299.8703918457031,299.8703918457031,3,0,R_A4,0.0,0.04824545234441757
STANDARD,3,2018-01-01,1629.18994140625,52,31,300.010009765625,300.010009765625,4,0,R_A4,0.0,0.04885822534561157
STANDARD,4,2018-01-01,1631.27294921875,52,31,300.149658203125,300.149658203125,5,0,R_A4,0.0,0.050639811903238297
STANDARD,5,2018-01-01,1633.3558349609375,52,31,300.289306640625,300.289306640625,6,0,R_A4,0.0,0.05260498449206352
STANDARD,5,2018-01-01,1633.9161376953125,52,32,300.3268737792969,300.3268737792969,7,0,R_A4,0.0,0.053627919405698776
STANDARD,6,2018-01-01,1635.8148193359375,52,32,300.45416259765625,300.45416259765625,8,0,R_A4,0.0,0.05523176118731499
STANDARD,6,2018-01-01,1636.08544921875,51,32,300.4723205566406,300.4723205566406,9,0,R_A4,0.0,0.05266040936112404
STANDARD,5,2018-01-01,1634.2698974609375,51,32,300.3505859375,300.3505859375,10,0,R_A4,0.0,0.054782427847385406
STANDARD,5,2018-01-01,1637.4833984375,51,33,300.5660705566406,300.5660705566406,11,0,R_A4,0.0,0.055100202560424805
STANDARD,4,2018-01-01,1635.632080078125,51,33,300.4419250488281,300.4419250488281,12,0,R_A4,0.0,0.05663995072245598
STANDARD,5,2018-01-01,1641.8624267578125,50,33,300.85968017578125,300.85968017578125,13,0,R_A4,0.0,0.05924931913614273
STANDARD,5,2018-01-01,1641.4139404296875,50,34,300.82958984375,300.82958984375,14,0,R_A4,0.0,0.05872625112533569
STANDARD,4,2018-01-01,1639.529052734375,50,34,300.7032165527344,300.7032165527344,15,0,R_A4,0.0,0.06093846261501312
STANDARD,4,2018-01-01,1640.57470703125,50,35,300.7733459472656,300.7733459472656,16,0,R_A4,0.0,0.060325149446725845
STANDARD,3,2018-01-01,1638.748046875,50,35,300.6508483886719,300.6508483886719,17,0,R_A4,0.0,0.15417182445526123
STANDARD,3,2018-01-01,1643.6634521484375,49,35,300.9804382324219,300.9804382324219,18,0,R_A4,0.0,0.2268729954957962
STANDARD,2,2018-01-01,1641.8411865234375,49,35,300.8582458496094,300.8582458496094,19,0,R_A4,0.0,0.23352323472499847
STANDARD,28,2018-01-01,1642.9732666015625,49,36,300.9341735839844,300.9341735839844,20,0,R_A4,0.0,0.29042378067970276
STANDARD,28,2018-01-01,1644.65380859375,48,36,301.0468444824219,301.0468444824219,21,0,R_A4,0.0,0.6481541991233826
STANDARD,28,2018-01-01,1651.0054931640625,48,37,301.4728088378906,301.4728088378906,22,0,R_A4,0.0,0.6481541991233826
STANDARD,27,2018-01-01,1645.542236328125,48,37,301.1064453125,301.1064453125,23,0,R_A4,0.0,0.6481541991233826
STANDARD,27,2018-01-01,1652.0230712890625,48,38,301.54107666015625,301.54107666015625,24,0,R_A4,0.0,0.6481541991233826
STANDARD,27,2018-01-01,1660.7947998046875,47,38,302.12939453125,302.12939453125,25,0,R_A4,0.0,0.6481541991233826
STANDARD,1,2018-01-01,1685.709716796875,20,31,303.9088134765625,303.9088134765625,1,0,R_A5,0.0,1.0
STANDARD,2,2018-01-01,1687.8148193359375,20,31,304.1083068847656,304.1083068847656,2,0,R_A5,0.0,1.0
STANDARD,3,2018-01-01,1689.9197998046875,20,31,304.3077697753906,304.3077697753906,3,0,R_A5,0.0,1.0
STANDARD,4,2018-01-01,1692.0247802734375,20,31,304.50726318359375,304.50726318359375,4,0,R_A5,0.0,1.0
STANDARD,5,2018-01-01,1694.1297607421875,20,31,304.7067565917969,304.7067565917969,5,0,R_A5,0.0,1.0
STANDARD,6,2018-01-01,1696.23486328125,20,31,304.9062194824219,304.9062194824219,6,0,R_A5,0.0,1.0
STANDARD,7,2018-01-01,1698.33984375,20,31,305.4114990234375,305.4114990234375,7,0,R_A5,0.0,1.0
STANDARD,11,2018-01-01,1701.1162109375,21,31,305.36895751953125,305.36895751953125,8,0,R_A5,0.0,1.0
STANDARD,12,2018-01-01,1703.1754150390625,21,31,305.5641174316406,305.5641174316406,9,0,R_A5,0.0,1.0
STANDARD,13,2018-01-01,1705.234619140625,21,31,305.7712097167969,305.7712097167969,10,0,R_A5,0.0,1.0
STANDARD,14,2018-01-01,1707.2938232421875,21,31,305.96636962890625,305.96636962890625,11,0,R_A5,0.0,1.0
STANDARD,15,2018-01-01,1709.35302734375,21,31,306.3065490722656,306.3065490722656,12,0,R_A5,0.0,1.0
STANDARD,16,2018-01-01,1711.4122314453125,21,31,306.5016784667969,306.5016784667969,13,0,R_A5,0.0,1.0
STANDARD,17,2018-01-01,1713.3084716796875,21,31,306.681396484375,306.681396484375,14,0,R_A5,0.0,1.0
STANDARD,18,2018-01-01,1714.568603515625,21,31,306.80084228515625,306.80084228515625,15,0,R_A5,0.0,1.0
STANDARD,25,2018-01-01,1716.216064453125,21,31,306.79986572265625,306.79986572265625,16,0,R_A5,0.0,1.0
STANDARD,26,2018-01-01,1718.38525390625,21,31,307.0054626464844,307.0054626464844,17,0,R_A5,0.0,1.0
STANDARD,27,2018-01-01,1720.554443359375,21,31,307.5168151855469,307.5168151855469,18,0,R_A5,0.0,1.0
STANDARD,28,2018-01-01,1722.7236328125,21,31,307.722412109375,307.722412109375,19,0,R_A5,0.0,1.0
STANDARD,29,2018-01-01,1724.892822265625,21,31,307.9280090332031,307.9280090332031,20,0,R_A5,0.0,1.0
STANDARD,1,2018-01-01,1693.740478515625,42,17,304.97564697265625,304.97564697265625,1,0,R_A6,0.0,1.0
STANDARD,2,2018-01-01,1695.2647705078125,42,17,305.1200866699219,305.1200866699219,2,0,R_A6,0.0,1.0
STANDARD,3,2018-01-01,1696.7890625,42,17,305.2645263671875,305.2645263671875,3,0,R_A6,0.0,1.0
STANDARD,4,2018-01-01,1698.313232421875,42,17,305.40899658203125,305.40899658203125,4,0,R_A6,0.0,1.0
STANDARD,5,2018-01-01,1699.83740234375,42,17,305.5534362792969,305.5534362792969,5,0,R_A6,0.0,1.0
STANDARD,6,2018-01-01,1701.361572265625,42,17,305.3988342285156,305.3988342285156,6,0,R_A6,0.0,1.0
STANDARD,7,2018-01-01,1702.8858642578125,42,17,305.54327392578125,305.54327392578125,7,0,R_A6,0.0,1.0
STANDARD,8,2018-01-01,1704.4100341796875,42,17,305.6877136230469,305.6877136230469,8,0,R_A6,0.0,1.0
STANDARD,9,2018-01-01,1705.934326171875,42,17,306.1312255859375,306.1312255859375,9,0,R_A6,0.0,1.0
STANDARD,10,2018-01-01,1707.45849609375,42,17,305.96990966796875,305.96990966796875,10,0,R_A6,0.0,1.0
STANDARD,11,2018-01-01,1709.3426513671875,42,17,306.1485900878906,306.1485900878906,11,0,R_A6,0.0,1.0
STANDARD,12,2018-01-01,1711.5867919921875,42,17,306.36126708984375,306.36126708984375,12,0,R_A6,0.0,1.0
STANDARD,13,2018-01-01,1713.830810546875,42,17,306.5859069824219,306.5859069824219,13,0,R_A6,0.0,1.0
STANDARD,14,2018-01-01,1716.074951171875,42,17,306.798583984375,306.798583984375,14,0,R_A6,0.0,1.0
STANDARD,15,2018-01-01,1718.3189697265625,42,17,307.0112609863281,307.0112609863281,15,0,R_A6,0.0,1.0
STANDARD,16,2018-01-01,1720.56298828125,42,17,307.36895751953125,307.36895751953125,16,0,R_A6,0.0,1.0
STANDARD,17,2018-01-01,1722.8070068359375,42,17,307.5816345214844,307.5816345214844,17,0,R_A6,0.0,1.0
STANDARD,18,2018-01-01,1724.4349365234375,42,17,307.7359313964844,307.7359313964844,18,0,R_A6,0.0,1.0
STANDARD,25,2018-01-01,1725.790771484375,42,17,307.70733642578125,307.70733642578125,19,0,R_A6,0.0,1.0
STANDARD,26,2018-01-01,1727.4906005859375,42,17,308.1742248535156,308.1742248535156,20,0,R_A6,0.0,1.0
STANDARD,27,2018-01-01,1729.1905517578125,42,17,308.3353271484375,308.3353271484375,21,0,R_A6,0.0,1.0
STANDARD,28,2018-01-01,1730.890380859375,42,17,308.4964294433594,308.4964294433594,22,0,R_A6,0.0,1.0
STANDARD,29,2018-01-01,1732.5902099609375,42,17,308.3517761230469,308.3517761230469,23,0,R_A6,0.0,1.0
STANDARD,1,2018-03-01,1639.2421875,30,22,297.712158203125,297.712158203125,1,0,R_A2,0.0,0.0520399808883667
STANDARD,2,2018-03-01,1640.891845703125,30,22,297.8227233886719,297.8227233886719,2,0,R_A2,0.0,0.053085971623659134
STANDARD,3,2018-03-01,1642.541259765625,30,22,297.9332580566406,297.9332580566406,3,0,R_A2,0.0,0.057192642241716385
STANDARD,4,2018-03-01,1644.1907958984375,30,22,298.0437927246094,298.0437927246094,4,0,R_A2,0.0,0.0603347085416317
STANDARD,5,2018-03-01,1645.84033203125,30,22,298.1543273925781,298.1543273925781,5,0,R_A2,0.0,0.06196724995970726
STANDARD,6,2018-03-01,1647.4898681640625,30,22,298.2431640625,298.2431640625,6,0,R_A2,0.0,0.6491182446479797
STANDARD,7,2018-03-01,1649.1392822265625,30,22,298.3751220703125,298.3751220703125,7,0,R_A2,0.0,0.8647294640541077
STANDARD,8,2018-03-01,1650.788818359375,30,22,298.4923095703125,298.4923095703125,8,0,R_A2,0.0,0.845209002494812
STANDARD,9,2018-03-01,1652.4383544921875,30,22,298.85748291015625,298.85748291015625,9,0,R_A2,0.0,0.8728818297386169
STANDARD,10,2018-03-01,1654.087890625,30,22,299.0625915527344,299.0625915527344,10,0,R_A2,0.0,0.8670627474784851
STANDARD,11,2018-03-01,1655.9405517578125,30,22,298.9719543457031,298.9719543457031,11,0,R_A2,0.0,0.06473192572593689
STANDARD,13,2018-03-01,1660.0523681640625,30,22,299.6188049316406,299.6188049316406,12,0,R_A2,0.0,0.4202162027359009
STANDARD,14,2018-03-01,1662.108154296875,30,22,299.7568359375,299.7568359375,13,0,R_A2,0.0,0.46428927779197693
STANDARD,15,2018-03-01,1664.1640625,30,22,299.8941345214844,299.8941345214844,14,0,R_A2,0.0,0.8847482204437256
STANDARD,16,2018-03-01,1666.2198486328125,30,22,300.03094482421875,300.03094482421875,15,0,R_A2,0.0,0.8858605623245239
STANDARD,17,2018-03-01,1668.2757568359375,30,22,300.16845703125,300.16845703125,16,0,R_A2,0.0,0.8620978593826294
STANDARD,18,2018-03-01,1678.815185546875,29,22,300.711181640625,300.711181640625,17,0,R_A2,0.0,0.9985690712928772
STANDARD,25,2018-03-01,1679.9642333984375,29,22,301.9210510253906,301.9210510253906,18,0,R_A2,-7.798096342921321e-14,1.0
STANDARD,26,2018-03-01,1681.6341552734375,29,22,301.627197265625,301.627197265625,19,0,R_A2,2.822767789911057e-15,1.0
STANDARD,27,2018-03-01,1683.30419921875,29,22,303.06768798828125,303.06768798828125,20,0,R_A2,2.5525138812765736e-15,1.0
STANDARD,28,2018-03-01,1684.97412109375,29,22,303.6004333496094,303.6004333496094,21,0,R_A2,2.291360176990035e-16,1.0
STANDARD,29,2018-03-01,1686.64404296875,29,22,301.9321594238281,301.9321594238281,22,0,R_A2,-2.0298261682594188e-10,1.0
STANDARD,1,2018-04-28,1685.709716796875,20,31,281.62799072265625,281.62799072265625,1,0,R_A5,-5.511935352586761e-09,0.9999998807907104
STANDARD,2,2018-04-28,1687.8148193359375,20,31,281.82757568359375,281.82757568359375,2,0,R_A5,-5.666796809578045e-09,0.9999998807907104
STANDARD,3,2018-04-28,1689.9197998046875,20,31,282.0274963378906,282.0274963378906,3,0,R_A5,-6.232001581452096e-09,0.9999998807907104
STANDARD,4,2018-04-28,1692.0247802734375,20,31,282.227294921875,282.227294921875,4,0,R_A5,-6.498832139101296e-09,0.9999998807907104
STANDARD,5,2018-04-28,1694.1297607421875,20,31,282.4267883300781,282.4267883300781,5,0,R_A5,-5.297972283102581e-09,0.9999998807907104
STANDARD,6,2018-04-28,1696.23486328125,20,31,282.6264343261719,282.6264343261719,6,0,R_A5,-4.856612445536257e-09,0.9999998807907104
STANDARD,7,2018-04-28,1698.33984375,20,31,283.1435852050781,283.1435852050781,7,0,R_A5,-1.4816594132160965e-11,1.0
STANDARD,11,2018-04-28,1701.1162109375,21,31,282.04425048828125,282.04425048828125,8,0,R_A5,-1.031202033485723e-11,1.0
STANDARD,12,2018-04-28,1703.1754150390625,21,31,282.2399597167969,282.2399597167969,9,0,R_A5,-8.701985312886684e-12,1.0
STANDARD,13,2018-04-28,1705.234619140625,21,31,282.447265625,282.447265625,10,0,R_A5,-5.241291884013066e-13,1.0
STANDARD,14,2018-04-28,1707.2938232421875,21,31,282.643798828125,282.643798828125,11,0,R_A5,-5.096950964587899e-13,1.0
STANDARD,15,2018-04-28,1709.35302734375,21,31,282.991455078125,282.991455078125,12,0,R_A5,-7.885573839955598e-14,1.0
STANDARD,16,2018-04-28,1711.4122314453125,21,31,283.2496643066406,283.2496643066406,13,0,R_A5,0.0,1.0
STANDARD,17,2018-04-28,1713.3084716796875,21,31,283.49114990234375,283.49114990234375,14,0,R_A5,-3.1310671151077094e-14,1.0
STANDARD,18,2018-04-28,1714.568603515625,21,31,283.6135559082031,283.6135559082031,15,0,R_A5,0.0,1.0
STANDARD,25,2018-04-28,1716.216064453125,21,31,287.23370361328125,287.23370361328125,16,0,R_A5,-8.280857519604636e-15,1.0
STANDARD,26,2018-04-28,1718.38525390625,21,31,287.45623779296875,287.45623779296875,17,0,R_A5,-1.5390449738207287e-14,1.0
STANDARD,27,2018-04-28,1720.554443359375,21,31,298.0943908691406,298.0943908691406,18,0,R_A5,-1.4766872320046049e-21,1.0
STANDARD,28,2018-04-28,1722.7236328125,21,31,304.8197021484375,304.8197021484375,19,0,R_A5,-3.987424294273164e-23,1.0
STANDARD,29,2018-04-28,1724.892822265625,21,31,307.2187805175781,307.2187805175781,20,0,R_A5,-2.9311628234396942e-25,1.0
STANDARD,1,2018-07-03,1608.8519287109375,41,28,276.28631591796875,276.28631591796875,1,0,R_A3,0.0,0.22378894686698914
STANDARD,2,2018-07-03,1610.8187255859375,41,28,276.4169616699219,276.4169616699219,2,0,R_A3,0.0,0.19524240493774414
STANDARD,3,2018-07-03,1612.7855224609375,41,28,276.5474548339844,276.5474548339844,3,0,R_A3,0.0,0.17185662686824799
STANDARD,3,2018-07-03,1606.7733154296875,41,29,276.2183532714844,276.2183532714844,4,0,R_A3,0.0,0.19062164425849915
STANDARD,4,2018-07-03,1608.7342529296875,41,29,276.3487243652344,276.3487243652344,5,0,R_A3,0.0,0.19439081847667694
STANDARD,5,2018-07-03,1610.6953125,41,29,276.61328125,276.61328125,6,0,R_A3,0.0,0.8062205910682678
STANDARD,6,2018-07-03,1612.65625,41,29,276.6208801269531,276.6208801269531,7,0,R_A3,0.0,0.6496942043304443
STANDARD,7,2018-07-03,1614.6171875,41,29,276.7589111328125,276.7589111328125,8,0,R_A3,0.0,0.19861260056495667
STANDARD,8,2018-07-03,1616.578125,41,29,276.8896789550781,276.8896789550781,9,0,R_A3,0.0,0.1984725445508957
STANDARD,9,2018-07-03,1618.5390625,41,29,277.1411437988281,277.1411437988281,10,0,R_A3,0.0,0.7927107810974121
