CONIDX,SGAS,CONJPOS,DEPTH,DRAWDOWN,WELL,CONIPOS,DATE,WELLMODEL,SWAT,PRESSURE,CONBPRES,CONKPOS
1,0.0,30,1641.626953125,0,R_A2,22,2018-01-01,STANDARD,0.06789464503526688,300.8394775390625,300.8394775390625,1
2,0.0,30,1643.421142578125,0,R_A2,22,2018-01-01,STANDARD,0.05652296915650368,300.95977783203125,300.95977783203125,2
3,0.0,30,1645.21533203125,0,R_A2,22,2018-01-01,STANDARD,0.05773616209626198,301.080078125,301.080078125,3
4,0.0,30,1647.009521484375,0,R_A2,22,2018-01-01,STANDARD,0.06137147918343544,301.2004089355469,301.2004089355469,4
5,0.0,30,1648.8037109375,0,R_A2,22,2018-01-01,STANDARD,0.106421560049057,301.32073974609375,301.32073974609375,5
6,0.0,30,1650.5977783203125,0,R_A2,22,2018-01-01,STANDARD,0.3102824091911316,301.4410400390625,301.4410400390625,6
7,0.0,30,1652.3919677734375,0,R_A2,22,2018-01-01,STANDARD,0.8781581521034241,301.5613708496094,301.5613708496094,7
8,0.0,30,1654.1861572265625,0,R_A2,22,2018-01-01,STANDARD,0.8610418438911438,301.68170166015625,301.68170166015625,8
9,0.0,30,1655.9803466796875,0,R_A2,22,2018-01-01,STANDARD,0.8914104700088501,301.80206298828125,301.80206298828125,9
10,0.0,30,1657.7744140625,0,R_A2,22,2018-01-01,STANDARD,0.9009562730789185,301.9223937988281,301.9223937988281,10
11,0.0,30,1659.656494140625,0,R_A2,22,2018-01-01,STANDARD,0.0688929557800293,302.0486145019531,302.0486145019531,11
12,0.0,30,1661.6263427734375,0,R_A2,22,2018-01-01,STANDARD,0.07249287515878677,302.1807556152344,302.1807556152344,12
13,0.0,30,1663.5963134765625,0,R_A2,22,2018-01-01,STANDARD,0.43868589401245117,302.3128967285156,302.3128967285156,13
14,0.0,30,1665.566162109375,0,R_A2,22,2018-01-01,STANDARD,0.466709703207016,302.4450378417969,302.4450378417969,14
15,0.0,30,1667.5361328125,0,R_A2,22,2018-01-01,STANDARD,0.5953529477119446,302.5771789550781,302.5771789550781,15
16,0.0,30,1669.506103515625,0,R_A2,22,2018-01-01,STANDARD,0.9257777333259583,302.7093505859375,302.7093505859375,16
17,0.0,30,1671.4759521484375,0,R_A2,22,2018-01-01,STANDARD,0.8814688324928284,302.84149169921875,302.84149169921875,17
18,0.0,29,1671.93603515625,0,R_A2,22,2018-01-01,STANDARD,0.8825249075889587,302.8723449707031,302.8723449707031,17
19,0.0,29,1673.97021484375,0,R_A2,22,2018-01-01,STANDARD,0.9411693215370178,303.0088195800781,303.0088195800781,18
20,0.0,29,1675.9964599609375,0,R_A2,22,2018-01-01,STANDARD,1.0,303.144775390625,303.144775390625,26
21,0.0,29,1677.76708984375,0,R_A2,22,2018-01-01,STANDARD,1.0,303.2635803222656,303.2635803222656,27
22,0.0,29,1679.537841796875,0,R_A2,22,2018-01-01,STANDARD,0.6802273392677307,303.38238525390625,303.38238525390625,28
23,0.0,29,1681.3084716796875,0,R_A2,22,2018-01-01,STANDARD,0.7654366493225098,303.5011901855469,303.5011901855469,29
24,0.0,29,1683.0791015625,0,R_A2,22,2018-01-01,STANDARD,1.0,303.6595458984375,303.6595458984375,30
1,0.0,41,1611.4981689453125,0,R_A3,28,2018-01-01,STANDARD,0.25022202730178833,298.8196716308594,298.8196716308594,1
2,0.0,41,1613.60986328125,0,R_A3,28,2018-01-01,STANDARD,0.17175817489624023,298.9612121582031,298.9612121582031,2
3,0.0,41,1615.7215576171875,0,R_A3,28,2018-01-01,STANDARD,0.11823459714651108,299.1027526855469,299.1027526855469,3
4,0.0,41,1617.8333740234375,0,R_A3,28,2018-01-01,STANDARD,0.1430634707212448,299.2442932128906,299.2442932128906,4
5,0.0,41,1619.945068359375,0,R_A3,28,2018-01-01,STANDARD,0.6481541991233826,299.3858642578125,299.3858642578125,5
6,0.0,41,1605.8780517578125,0,R_A3,29,2018-01-01,STANDARD,0.8156445622444153,298.4430236816406,298.4430236816406,5
7,0.0,41,1608.0242919921875,0,R_A3,29,2018-01-01,STANDARD,0.32938387989997864,298.5868835449219,298.5868835449219,6
8,0.0,41,1610.1705322265625,0,R_A3,29,2018-01-01,STANDARD,0.1909170001745224,298.730712890625,298.730712890625,7
9,0.0,41,1612.3167724609375,0,R_A3,29,2018-01-01,STANDARD,0.1952543556690216,298.8745422363281,298.8745422363281,8
10,0.0,41,1614.462890625,0,R_A3,29,2018-01-01,STANDARD,0.7919297218322754,299.0184020996094,299.0184020996094,9
