WELLMODEL,CONJPOS,DRAWDOWN,PRESSURE,CONIDX,CONIPOS,CONBPRES,CONKPOS,WELL,SWAT,DATE,DEPTH,SGAS
STANDARD,30,0,300.6733093261719,1,22,300.6733093261719,1,R_A2,0.055748213082551956,2018-01-01,1641.094970703125,0.0
STANDARD,30,0,300.7936096191406,2,22,300.7936096191406,2,R_A2,0.05881066620349884,2018-01-01,1642.8890380859375,0.0
STANDARD,30,0,300.9139099121094,3,22,300.9139099121094,3,R_A2,0.06129923462867737,2018-01-01,1644.68310546875,0.0
STANDARD,30,0,301.0342102050781,4,22,301.0342102050781,4,R_A2,0.06717785447835922,2018-01-01,1646.4771728515625,0.0
STANDARD,30,0,301.1545104980469,5,22,301.1545104980469,5,R_A2,0.13372820615768433,2018-01-01,1648.2713623046875,0.0
STANDARD,30,0,301.27484130859375,6,22,301.27484130859375,6,R_A2,0.30576056241989136,2018-01-01,1650.0654296875,0.0
STANDARD,30,0,301.3951721191406,7,22,301.3951721191406,7,R_A2,0.893852174282074,2018-01-01,1651.859619140625,0.0
STANDARD,30,0,301.5154724121094,8,22,301.5154724121094,8,R_A2,0.6481541991233826,2018-01-01,1653.6536865234375,0.0
STANDARD,30,0,301.63580322265625,9,22,301.63580322265625,9,R_A2,0.18723928928375244,2018-01-01,1655.44775390625,0.0
STANDARD,30,0,301.7561340332031,10,22,301.7561340332031,10,R_A2,0.9045571684837341,2018-01-01,1657.2418212890625,0.0
STANDARD,30,0,301.88323974609375,11,22,301.88323974609375,11,R_A2,0.07894028723239899,2018-01-01,1659.1368408203125,0.0
STANDARD,30,0,302.01708984375,12,22,302.01708984375,12,R_A2,0.079011470079422,2018-01-01,1661.132568359375,0.0
STANDARD,30,0,302.1509704589844,13,22,302.1509704589844,13,R_A2,0.45304223895072937,2018-01-01,1663.12841796875,0.0
STANDARD,30,0,302.28485107421875,14,22,302.28485107421875,14,R_A2,0.5042955279350281,2018-01-01,1665.1241455078125,0.0
STANDARD,30,0,302.4187316894531,15,22,302.4187316894531,15,R_A2,0.6907110214233398,2018-01-01,1667.1199951171875,0.0
STANDARD,30,0,302.5526123046875,16,22,302.5526123046875,16,R_A2,0.964935839176178,2018-01-01,1669.11572265625,0.0
STANDARD,30,0,302.6864929199219,17,22,302.6864929199219,17,R_A2,0.9508187174797058,2018-01-01,1671.111572265625,0.0
STANDARD,30,0,302.8123779296875,18,22,302.8123779296875,18,R_A2,0.983161985874176,2018-01-01,1672.9881591796875,0.0
