PRESSURE,CONJPOS,CONIPOS,WELL,CONKPOS,CONIDX,SWAT,CONBPRES,DATE,DRAWDOWN,WELLMODEL,SGAS,DEPTH
300.8522644042969,30,22,R_A2,1,1,0.05380452424287796,300.8522644042969,2018-01-01,0,STANDARD,0.0,1641.79736328125
300.9712219238281,30,22,R_A2,2,2,0.0545540452003479,300.9712219238281,2018-01-01,0,STANDARD,0.0,1643.571044921875
301.09014892578125,30,22,R_A2,3,3,0.05807434022426605,301.09014892578125,2018-01-01,0,STANDARD,0.0,1645.3446044921875
301.2090759277344,30,22,R_A2,4,4,0.0634254738688469,301.2090759277344,2018-01-01,0,STANDARD,0.0,1647.1182861328125
301.3280334472656,30,22,R_A2,5,5,0.06759980320930481,301.3280334472656,2018-01-01,0,STANDARD,0.0,1648.8919677734375
301.44696044921875,30,22,R_A2,6,6,0.2154865562915802,301.44696044921875,2018-01-01,0,STANDARD,0.0,1650.66552734375
301.56591796875,30,22,R_A2,7,7,0.8723104596138,301.56591796875,2018-01-01,0,STANDARD,0.0,1652.4390869140625
301.68487548828125,30,22,R_A2,8,8,0.8634534478187561,301.68487548828125,2018-01-01,0,STANDARD,0.0,1654.2127685546875
301.8038330078125,30,22,R_A2,9,9,0.8904322385787964,301.8038330078125,2018-01-01,0,STANDARD,0.0,1655.986328125
301.92279052734375,30,22,R_A2,10,10,0.8970745801925659,301.92279052734375,2018-01-01,0,STANDARD,0.0,1657.760009765625
302.0516052246094,30,22,R_A2,11,11,0.06964720785617828,302.0516052246094,2018-01-01,0,STANDARD,0.0,1659.6805419921875
302.1903076171875,30,22,R_A2,12,12,0.07206768542528152,302.1903076171875,2018-01-01,0,STANDARD,0.0,1661.748046875
302.3289794921875,30,22,R_A2,13,13,0.4301087260246277,302.3289794921875,2018-01-01,0,STANDARD,0.0,1663.8154296875
302.4676513671875,30,22,R_A2,14,14,0.46549394726753235,302.4676513671875,2018-01-01,0,STANDARD,0.0,1665.8828125
302.6063537597656,30,22,R_A2,15,15,0.9123666882514954,302.6063537597656,2018-01-01,0,STANDARD,0.0,1667.9503173828125
302.74505615234375,30,22,R_A2,16,16,0.931530237197876,302.74505615234375,2018-01-01,0,STANDARD,0.0,1670.017822265625
302.8837585449219,30,22,R_A2,17,17,0.8816284537315369,302.8837585449219,2018-01-01,0,STANDARD,0.0,1672.085205078125
303.00103759765625,30,22,R_A2,18,18,0.944923996925354,303.00103759765625,2018-01-01,0,STANDARD,0.0,1673.8333740234375
303.1785888671875,29,22,R_A2,18,19,0.9836404323577881,303.1785888671875,2018-01-01,0,STANDARD,0.0,1676.47998046875
303.2881164550781,29,22,R_A2,25,20,0.6481541991233826,303.2881164550781,2018-01-01,0,STANDARD,0.0,1678.1121826171875
303.4034423828125,29,22,R_A2,26,21,1.0,303.4034423828125,2018-01-01,0,STANDARD,0.0,1679.8310546875
303.5187683105469,29,22,R_A2,27,22,1.0,303.5187683105469,2018-01-01,0,STANDARD,0.0,1681.5499267578125
303.9833068847656,29,22,R_A2,28,23,1.0,303.9833068847656,2018-01-01,0,STANDARD,0.0,1683.268798828125
304.14617919921875,29,22,R_A2,29,24,1.0,304.14617919921875,2018-01-01,0,STANDARD,0.0,1684.987548828125
