DATE,DRAWDOWN,CONIPOS,CONKPOS,PRESSURE,WELL,CONIDX,DEPTH,CONBPRES,CONJPOS,SGAS,SWAT,WELLMODEL
2018-01-01,0,22,1,300.6719055175781,R_A2,1,1639.1199951171875,300.6719055175781,30,0.0,0.05291155353188515,STANDARD
2018-01-01,0,22,2,300.7879638671875,R_A2,2,1640.850830078125,300.7879638671875,30,0.0,0.05430096387863159,STANDARD
2018-01-01,0,22,3,300.9040222167969,R_A2,3,1642.58154296875,300.9040222167969,30,0.0,0.05656973645091057,STANDARD
2018-01-01,0,22,4,301.02008056640625,R_A2,4,1644.312255859375,301.02008056640625,30,0.0,0.06155454367399216,STANDARD
2018-01-01,0,22,5,301.13616943359375,R_A2,5,1646.0430908203125,301.13616943359375,30,0.0,0.06455208361148834,STANDARD
2018-01-01,0,22,6,301.2522277832031,R_A2,6,1647.77392578125,301.2522277832031,30,0.0,0.6481541991233826,STANDARD
2018-01-01,0,22,7,301.3683166503906,R_A2,7,1649.5047607421875,301.3683166503906,30,0.0,0.8591175675392151,STANDARD
2018-01-01,0,22,8,301.484375,R_A2,8,1651.2354736328125,301.484375,30,0.0,0.6481541991233826,STANDARD
2018-01-01,0,22,9,301.6004638671875,R_A2,9,1652.96630859375,301.6004638671875,30,0.0,0.12514960765838623,STANDARD
2018-01-01,0,22,10,301.7165222167969,R_A2,10,1654.6971435546875,301.7165222167969,30,0.0,0.16356399655342102,STANDARD
2018-01-01,0,22,11,301.8432312011719,R_A2,11,1656.586181640625,301.8432312011719,30,0.0,0.06642311811447144,STANDARD
2018-01-01,0,22,12,301.9805603027344,R_A2,12,1658.633544921875,301.9805603027344,30,0.0,0.06431609392166138,STANDARD
2018-01-01,0,22,13,302.1178894042969,R_A2,13,1660.680908203125,302.1178894042969,30,0.0,0.4226483702659607,STANDARD
2018-01-01,0,22,14,302.2552185058594,R_A2,14,1662.7283935546875,302.2552185058594,30,0.0,0.4616509675979614,STANDARD
2018-01-01,0,22,15,302.392578125,R_A2,15,1664.7757568359375,302.392578125,30,0.0,0.8909114599227905,STANDARD
2018-01-01,0,22,16,302.5299072265625,R_A2,16,1666.8232421875,302.5299072265625,30,0.0,0.888505220413208,STANDARD
2018-01-01,0,22,16,302.9209899902344,R_A2,17,1672.6527099609375,302.9209899902344,29,0.0,0.946879506111145,STANDARD
2018-01-01,0,22,17,303.06427001953125,R_A2,18,1674.7882080078125,303.06427001953125,29,0.0,0.9387896060943604,STANDARD
2018-01-01,0,22,18,303.183837890625,R_A2,19,1676.5704345703125,303.183837890625,29,0.0,0.9818931818008423,STANDARD
2018-01-01,0,22,25,303.2909851074219,R_A2,20,1678.16748046875,303.2909851074219,29,0.0,1.0,STANDARD
2018-01-01,0,22,26,303.4088134765625,R_A2,21,1679.9234619140625,303.4088134765625,29,0.0,0.8279209733009338,STANDARD
2018-01-01,0,22,27,303.5266418457031,R_A2,22,1681.679443359375,303.5266418457031,29,0.0,1.0,STANDARD
2018-01-01,0,22,28,303.99908447265625,R_A2,23,1683.435302734375,303.99908447265625,29,0.0,1.0,STANDARD
2018-01-01,0,22,29,304.16546630859375,R_A2,24,1685.1912841796875,304.16546630859375,29,0.0,1.0,STANDARD
2018-01-01,0,28,1,298.6347961425781,R_A3,1,1608.731201171875,298.6347961425781,41,0.0,0.6481541991233826,STANDARD
2018-01-01,0,28,2,298.767333984375,R_A3,2,1610.7086181640625,298.767333984375,41,0.0,0.2279055118560791,STANDARD
2018-01-01,0,28,3,298.8998718261719,R_A3,3,1612.6861572265625,298.8998718261719,41,0.0,0.13139869272708893,STANDARD
2018-01-01,0,29,3,298.3579406738281,R_A3,4,1604.60009765625,298.3579406738281,41,0.0,0.1649787575006485,STANDARD
2018-01-01,0,29,4,298.4969177246094,R_A3,5,1606.674072265625,298.4969177246094,41,0.0,0.6481541991233826,STANDARD
2018-01-01,0,29,5,298.63592529296875,R_A3,6,1608.7479248046875,298.63592529296875,41,0.0,0.8065663576126099,STANDARD
2018-01-01,0,29,6,298.77490234375,R_A3,7,1610.82177734375,298.77490234375,41,0.0,0.6481541991233826,STANDARD
2018-01-01,0,29,7,298.9139099121094,R_A3,8,1612.8956298828125,298.9139099121094,41,0.0,0.1949479877948761,STANDARD
2018-01-01,0,29,8,299.05291748046875,R_A3,9,1614.969482421875,299.05291748046875,41,0.0,0.19604846835136414,STANDARD
